Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,28-233,CHI,@,MIA,W (+8),1,29:39,2.0,10.0,.200,1.0,6.0,.167,1,2.0,.500,2.0,3.0,5.0,4.0,2.0,0.0,4.0,4.0,6.0,0.9,+9,4.0,1.0,0.25,52,65,5,59,28,60,54,42,28,4,5,67,67,10,62,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.8125,0.7142857142857143,0.7972972972972973,0.7368421052631579,0.8108108108108109,0.84375,0.7241379310344828,0.875,,,0.8,0.7142857142857143,0.8170731707317073,0.8170731707317073,0.8333333333333334,0.8051948051948052,3,16,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2388059701492537,0.0,17,1.0,80.0,4.705882352941177,0.4999999999999982,83.7,4.923529411764706
1,2,2,2022-10-21,28-235,CHI,@,WAS,L (-2),1,30:45,1.0,4.0,.250,0.0,2.0,.000,1,2.0,.500,0.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,1.1,-8,2.0,1.0,0.5,52,65,5,59,28,60,54,42,28,4,5,67,67,10,62,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.8125,0.7142857142857143,0.7972972972972973,0.7368421052631579,0.8108108108108109,0.84375,0.7241379310344828,0.875,,,0.8,0.7142857142857143,0.8170731707317073,0.8170731707317073,0.8333333333333334,0.8051948051948052,3,16,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2388059701492537,0.0,17,1.0,60.0,3.5294117647058822,0.6999999999999993,68.1,4.0058823529411764
2,3,3,2022-10-22,28-236,CHI,,CLE,L (-32),0,16:36,0.0,1.0,.000,0.0,1.0,.000,2,2.0,1.000,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.6,-15,0.0,0.0,,52,65,5,59,28,60,54,42,28,4,5,67,67,10,62,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.8125,0.7142857142857143,0.7972972972972973,0.7368421052631579,0.8108108108108109,0.84375,0.7241379310344828,0.875,,,0.8,0.7142857142857143,0.8170731707317073,0.8170731707317073,0.8333333333333334,0.8051948051948052,3,16,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2388059701492537,0.0,17,4.0,68.0,4.0,2.8000000000000003,79.9,4.7
3,4,4,2022-10-24,28-238,CHI,,BOS,W (+18),0,18:21,2.0,2.0,1.000,1.0,1.0,1.000,2,2.0,1.000,0.0,3.0,3.0,4.0,0.0,2.0,2.0,2.0,7.0,8.7,+29,1.0,1.0,1.0,52,65,5,59,28,60,54,42,28,4,5,67,67,10,62,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.8125,0.7142857142857143,0.7972972972972973,0.7368421052631579,0.8108108108108109,0.84375,0.7241379310344828,0.875,,,0.8,0.7142857142857143,0.8170731707317073,0.8170731707317073,0.8333333333333334,0.8051948051948052,3,16,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2388059701492537,0.0,17,10.0,101.0,5.941176470588236,7.899999999999999,97.4,5.729411764705882
4,5,5,2022-10-26,28-240,CHI,,IND,W (+15),0,23:16,3.0,4.0,.750,2.0,3.0,.667,0,0.0,,0.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,8.0,11.3,+18,1.0,1.0,1.0,52,65,5,59,28,60,54,42,28,4,5,67,67,10,62,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.8125,0.7142857142857143,0.7972972972972973,0.7368421052631579,0.8108108108108109,0.84375,0.7241379310344828,0.875,,,0.8,0.7142857142857143,0.8170731707317073,0.8170731707317073,0.8333333333333334,0.8051948051948052,3,16,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2388059701492537,0.0,17,13.0,86.0,5.0588235294117645,11.299999999999995,78.29999999999998,4.605882352941175
5,6,6,2022-10-28,28-242,CHI,@,SAS,L (-5),1,23:32,1.0,5.0,.200,1.0,3.0,.333,0,0.0,,3.0,0.0,3.0,4.0,1.0,0.0,1.0,1.0,3.0,4.4,-11,2.0,0.0,0.0,52,65,5,59,28,60,54,42,28,4,5,67,67,10,62,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.8125,0.7142857142857143,0.7972972972972973,0.7368421052631579,0.8108108108108109,0.84375,0.7241379310344828,0.875,,,0.8,0.7142857142857143,0.8170731707317073,0.8170731707317073,0.8333333333333334,0.8051948051948052,3,16,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2388059701492537,0.0,17,5.0,75.0,4.411764705882353,4.4,78.2,4.6000000000000005
6,7,7,2022-10-29,28-243,CHI,,PHI,L (-5),1,35:10,2.0,5.0,.400,1.0,2.0,.500,4,4.0,1.000,0.0,3.0,3.0,6.0,3.0,1.0,1.0,1.0,9.0,13.7,+7,3.0,1.0,0.3333333333333333,52,65,5,59,28,60,54,42,28,4,5,67,67,10,62,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.8125,0.7142857142857143,0.7972972972972973,0.7368421052631579,0.8108108108108109,0.84375,0.7241379310344828,0.875,,,0.8,0.7142857142857143,0.8170731707317073,0.8170731707317073,0.8333333333333334,0.8051948051948052,3,16,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2388059701492537,0.0,17,12.0,54.0,3.176470588235294,12.099999999999998,70.09999999999998,4.1235294117647046
7,8,8,2022-11-01,28-246,CHI,@,BRK,W (+9),0,25:01,1.0,4.0,.250,1.0,2.0,.500,1,2.0,.500,0.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,4.8,+11,2.0,0.0,0.0,52,65,5,59,28,60,54,42,28,4,5,67,67,10,62,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.8125,0.7142857142857143,0.7972972972972973,0.7368421052631579,0.8108108108108109,0.84375,0.7241379310344828,0.875,,,0.8,0.7142857142857143,0.8170731707317073,0.8170731707317073,0.8333333333333334,0.8051948051948052,3,16,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2388059701492537,0.0,17,6.0,71.0,4.176470588235294,4.4,80.5,4.735294117647059
8,9,9,2022-11-02,28-247,CHI,,CHO,W (+18),0,24:11,2.0,3.0,.667,1.0,2.0,.500,1,2.0,.500,0.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,6.0,5.9,+12,1.0,1.0,1.0,52,65,5,59,28,60,54,42,28,4,5,67,67,10,62,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.8125,0.7142857142857143,0.7972972972972973,0.7368421052631579,0.8108108108108109,0.84375,0.7241379310344828,0.875,,,0.8,0.7142857142857143,0.8170731707317073,0.8170731707317073,0.8333333333333334,0.8051948051948052,3,16,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2388059701492537,0.0,17,5.0,89.0,5.235294117647059,5.499999999999998,84.39999999999999,4.96470588235294
9,10,10,2022-11-04,28-249,CHI,@,BOS,L (-4),0,22:39,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,3.0,0.0,1.0,3.0,3.0,5.0,2.6,-14,1.0,1.0,1.0,52,65,5,59,28,60,54,42,28,4,5,67,67,10,62,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.8125,0.7142857142857143,0.7972972972972973,0.7368421052631579,0.8108108108108109,0.84375,0.7241379310344828,0.875,,,0.8,0.7142857142857143,0.8170731707317073,0.8170731707317073,0.8333333333333334,0.8051948051948052,3,16,65.0,67.0,35.0,31.0,0.0967741935483871,0.0,0.2388059701492537,0.0,17,4.0,71.0,4.176470588235294,2.5999999999999988,79.39999999999999,4.670588235294117
