Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,27-223,CHI,@,MIA,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,81.0,4.764705882352941,0.0,84.19999999999999,4.9529411764705875
1,2,,2022-10-21,27-225,CHI,@,WAS,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,61.0,3.588235294117647,0.0,68.8,4.047058823529412
2,3,1,2022-10-22,27-226,CHI,,CLE,L (-32),1,28:20,9.0,17.0,.529,2.0,6.0,.333,3,4.0,.750,0.0,3.0,3.0,4.0,2.0,0.0,0.0,2.0,23.0,19.2,-19,11.0,7.0,0.6363636363636364,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,11.0,61.0,3.588235294117647,17.999999999999996,64.69999999999999,3.805882352941176
3,4,2,2022-10-24,27-228,CHI,,BOS,W (+18),1,32:19,5.0,15.0,.333,3.0,5.0,.600,6,7.0,.857,0.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0,19.0,10.8,+4,10.0,2.0,0.2,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,0.0,111.0,6.529411764705882,8.399999999999999,96.9,5.7
4,5,3,2022-10-26,27-230,CHI,,IND,W (+15),1,34:37,6.0,13.0,.462,6.0,8.0,.750,10,12.0,.833,0.0,6.0,6.0,5.0,1.0,0.0,5.0,1.0,28.0,21.4,+12,5.0,0.0,0.0,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,10.0,89.0,5.235294117647059,17.399999999999995,72.19999999999999,4.247058823529411
5,6,,2022-10-28,27-232,CHI,@,SAS,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,80.0,4.705882352941177,0.0,82.60000000000001,4.858823529411765
6,7,4,2022-10-29,27-233,CHI,,PHI,L (-5),1,33:45,8.0,19.0,.421,2.0,9.0,.222,2,2.0,1.000,0.0,2.0,2.0,3.0,0.0,0.0,2.0,4.0,20.0,9.0,-10,10.0,6.0,0.6,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,2.0,64.0,3.764705882352941,8.2,73.99999999999999,4.352941176470587
7,8,5,2022-11-01,27-236,CHI,@,BRK,W (+9),1,37:13,10.0,21.0,.476,5.0,11.0,.455,4,4.0,1.000,1.0,2.0,3.0,5.0,0.0,0.0,1.0,2.0,29.0,21.3,+7,10.0,5.0,0.5,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,11.0,66.0,3.882352941176471,19.700000000000003,65.19999999999999,3.835294117647058
8,9,6,2022-11-02,27-237,CHI,,CHO,W (+18),1,31:57,4.0,16.0,.250,2.0,7.0,.286,0,0.0,,0.0,4.0,4.0,6.0,2.0,0.0,0.0,0.0,10.0,7.8,+19,9.0,2.0,0.2222222222222222,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,6.0,88.0,5.176470588235294,7.800000000000001,82.1,4.829411764705882
9,10,7,2022-11-04,27-239,CHI,@,BOS,L (-4),1,36:40,6.0,13.0,.462,2.0,6.0,.333,2,3.0,.667,1.0,6.0,7.0,3.0,2.0,0.0,2.0,4.0,16.0,11.9,-11,7.0,4.0,0.5714285714285714,62,64,75,7,70,36,70,61,47,27,5,7,77,77,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,0.9253731343283582,0.9552238805970148,0.9375,1.0,0.945945945945946,0.9473684210526316,0.945945945945946,0.953125,0.8103448275862069,0.84375,,,1.0,1.0,0.9390243902439024,0.9390243902439024,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,10.0,65.0,3.823529411764706,11.1,70.89999999999999,4.170588235294117
