Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,25-096,DEN,@,IND,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,,84.0,4.941176470588236,0.0,96.4,5.670588235294118
11,12,,2022-11-11,25-098,DEN,@,BOS,L (-19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,,62.0,3.647058823529412,0.0,85.1,5.0058823529411764
12,13,,2022-11-13,25-100,DEN,@,CHI,W (+23),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,,103.0,6.0588235294117645,0.0,112.59999999999997,6.623529411764704
13,14,,2022-11-16,25-103,DEN,,NYK,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,,61.0,3.588235294117647,0.0,67.2,3.9529411764705884
14,15,3,2022-11-18,25-105,DEN,@,DAL,L (-28),0,3:52,0.0,2.0,.000,0.0,0.0,,0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+1,2.0,0.0,0.0,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,0.0,56.0,3.294117647058824,0.0,70.4,4.141176470588236
15,16,,2022-11-20,25-107,DEN,@,DAL,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,,63.0,3.7058823529411766,0.0,64.4,3.7882352941176474
16,17,,2022-11-22,25-109,DEN,,DET,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,,82.0,4.823529411764706,0.0,101.4,5.964705882352941
17,18,4,2022-11-23,25-110,DEN,@,OKC,W (+5),0,9:47,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.9,-5,0.0,0.0,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,3.0,101.0,5.941176470588236,0.8999999999999999,128.89999999999998,7.582352941176469
18,19,5,2022-11-25,25-112,DEN,@,LAC,W (+10),0,2:01,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8,-9,0.0,0.0,,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,-2.0,80.0,4.705882352941177,-1.7999999999999998,97.8,5.752941176470588
19,20,6,2022-11-28,25-115,DEN,,HOU,W (+16),0,2:01,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-3,1.0,0.0,0.0,12,7,17,17,11,8,14,10,8,15,10,15,9,16,12,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.1764705882352941,0.125,0.2125,0.2236842105263158,,0.2558139534883721,0.2051282051282051,0.3255813953488372,0.1538461538461538,0.1428571428571428,0.1973684210526315,0.1612903225806451,0.217391304347826,0.391304347826087,0.2666666666666666,0.2264150943396226,2,4,2.0,68.0,59.0,0.0294117647058823,0.0,0.0677966101694915,17,-1.0,110.0,6.470588235294118,-1.1,121.6,7.152941176470588
