Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,34-106,DEN,UTA,0,4.716666666666667,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,-2.2,-2,1.0,0.0,0.0,33,18,41,42,25,22,14,30,28,37,30,36,19,38,30,68.0,56.0,80.0,76.0,,43.0,39.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4852941176470588,0.3214285714285714,0.5125,0.5526315789473685,,0.5813953488372093,0.5641025641025641,0.8235294117647058,0.4615384615384615,0.5,0.4868421052631579,0.4838709677419355,0.5217391304347826,0.8260869565217391,0.6333333333333333,0.5660377358490566,9,12,2.0,68.0,59.0,0.1323529411764706,0.0,0.2033898305084746,17,-1.0,52.0,3.0588235294117645,-2.2,68.2,4.011764705882353,6.5,-0.5,-6.6,-5.5,-1.1,0.0113744075829383,0.407,0.092,0.031,-0.5,-0.8,L (-21),L (-21)
2.0,,2022-10-21,34-108,DEN,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,18,41,42,25,22,14,30,28,37,30,36,19,38,30,68.0,56.0,80.0,76.0,,43.0,39.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4852941176470588,0.3214285714285714,0.5125,0.5526315789473685,,0.5813953488372093,0.5641025641025641,0.8235294117647058,0.4615384615384615,0.5,0.4868421052631579,0.4838709677419355,0.5217391304347826,0.8260869565217391,0.6333333333333333,0.5660377358490566,9,12,2.0,68.0,59.0,0.1323529411764706,0.0,0.2033898305084746,17,,88.0,5.176470588235294,0.0,101.2,5.952941176470588,6.5,-0.5,-6.6,-5.5,-1.1,0.0113744075829383,0.407,0.092,0.031,-0.5,-0.8,W (+5),W (+5)
3.0,,2022-10-22,34-109,DEN,OKC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,18,41,42,25,22,14,30,28,37,30,36,19,38,30,68.0,56.0,80.0,76.0,,43.0,39.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4852941176470588,0.3214285714285714,0.5125,0.5526315789473685,,0.5813953488372093,0.5641025641025641,0.8235294117647058,0.4615384615384615,0.5,0.4868421052631579,0.4838709677419355,0.5217391304347826,0.8260869565217391,0.6333333333333333,0.5660377358490566,9,12,2.0,68.0,59.0,0.1323529411764706,0.0,0.2033898305084746,17,,81.0,4.764705882352941,0.0,92.39999999999998,5.435294117647057,6.5,-0.5,-6.6,-5.5,-1.1,0.0113744075829383,0.407,0.092,0.031,-0.5,-0.8,W (+5),W (+5)
4.0,2.0,2022-10-24,34-111,DEN,POR,0,3.5666666666666664,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.3,-3,0.0,0.0,,33,18,41,42,25,22,14,30,28,37,30,36,19,38,30,68.0,56.0,80.0,76.0,,43.0,39.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4852941176470588,0.3214285714285714,0.5125,0.5526315789473685,,0.5813953488372093,0.5641025641025641,0.8235294117647058,0.4615384615384615,0.5,0.4868421052631579,0.4838709677419355,0.5217391304347826,0.8260869565217391,0.6333333333333333,0.5660377358490566,9,12,2.0,68.0,59.0,0.1323529411764706,0.0,0.2033898305084746,17,0.0,62.0,3.647058823529412,-0.3,70.10000000000001,4.123529411764706,6.5,-0.5,-6.6,-5.5,-1.1,0.0113744075829383,0.407,0.092,0.031,-0.5,-0.8,L (-25),L (-25)
5.0,3.0,2022-10-26,34-113,DEN,LAL,0,2.7666666666666666,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3,-7,2.0,0.0,0.0,33,18,41,42,25,22,14,30,28,37,30,36,19,38,30,68.0,56.0,80.0,76.0,,43.0,39.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4852941176470588,0.3214285714285714,0.5125,0.5526315789473685,,0.5813953488372093,0.5641025641025641,0.8235294117647058,0.4615384615384615,0.5,0.4868421052631579,0.4838709677419355,0.5217391304347826,0.8260869565217391,0.6333333333333333,0.5660377358490566,9,12,2.0,68.0,59.0,0.1323529411764706,0.0,0.2033898305084746,17,1.0,103.0,6.0588235294117645,0.3,111.29999999999998,6.547058823529411,6.5,-0.5,-6.6,-5.5,-1.1,0.0113744075829383,0.407,0.092,0.031,-0.5,-0.8,W (+11),W (+11)
6.0,4.0,2022-10-28,34-115,DEN,UTA,0,3.4166666666666665,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-0.4,-2,2.0,1.0,0.5,33,18,41,42,25,22,14,30,28,37,30,36,19,38,30,68.0,56.0,80.0,76.0,,43.0,39.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4852941176470588,0.3214285714285714,0.5125,0.5526315789473685,,0.5813953488372093,0.5641025641025641,0.8235294117647058,0.4615384615384615,0.5,0.4868421052631579,0.4838709677419355,0.5217391304347826,0.8260869565217391,0.6333333333333333,0.5660377358490566,9,12,2.0,68.0,59.0,0.1323529411764706,0.0,0.2033898305084746,17,-1.0,64.0,3.764705882352941,-0.4,70.30000000000001,4.135294117647059,6.5,-0.5,-6.6,-5.5,-1.1,0.0113744075829383,0.407,0.092,0.031,-0.5,-0.8,W (+16),W (+16)
7.0,5.0,2022-10-30,34-117,DEN,LAL,0,8.183333333333334,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.1,-4,2.0,1.0,0.5,33,18,41,42,25,22,14,30,28,37,30,36,19,38,30,68.0,56.0,80.0,76.0,,43.0,39.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4852941176470588,0.3214285714285714,0.5125,0.5526315789473685,,0.5813953488372093,0.5641025641025641,0.8235294117647058,0.4615384615384615,0.5,0.4868421052631579,0.4838709677419355,0.5217391304347826,0.8260869565217391,0.6333333333333333,0.5660377358490566,9,12,2.0,68.0,59.0,0.1323529411764706,0.0,0.2033898305084746,17,-2.0,72.0,4.235294117647059,-1.0999999999999996,85.19999999999999,5.011764705882352,6.5,-0.5,-6.6,-5.5,-1.1,0.0113744075829383,0.407,0.092,0.031,-0.5,-0.8,L (-11),L (-11)
8.0,,2022-11-03,34-121,DEN,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,18,41,42,25,22,14,30,28,37,30,36,19,38,30,68.0,56.0,80.0,76.0,,43.0,39.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4852941176470588,0.3214285714285714,0.5125,0.5526315789473685,,0.5813953488372093,0.5641025641025641,0.8235294117647058,0.4615384615384615,0.5,0.4868421052631579,0.4838709677419355,0.5217391304347826,0.8260869565217391,0.6333333333333333,0.5660377358490566,9,12,2.0,68.0,59.0,0.1323529411764706,0.0,0.2033898305084746,17,,92.0,5.411764705882353,0.0,103.29999999999998,6.076470588235293,6.5,-0.5,-6.6,-5.5,-1.1,0.0113744075829383,0.407,0.092,0.031,-0.5,-0.8,W (+12),W (+12)
9.0,,2022-11-05,34-123,DEN,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,18,41,42,25,22,14,30,28,37,30,36,19,38,30,68.0,56.0,80.0,76.0,,43.0,39.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4852941176470588,0.3214285714285714,0.5125,0.5526315789473685,,0.5813953488372093,0.5641025641025641,0.8235294117647058,0.4615384615384615,0.5,0.4868421052631579,0.4838709677419355,0.5217391304347826,0.8260869565217391,0.6333333333333333,0.5660377358490566,9,12,2.0,68.0,59.0,0.1323529411764706,0.0,0.2033898305084746,17,,95.0,5.588235294117647,0.0,101.3,5.958823529411765,6.5,-0.5,-6.6,-5.5,-1.1,0.0113744075829383,0.407,0.092,0.031,-0.5,-0.8,W (+25),W (+25)
10.0,,2022-11-07,34-125,DEN,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,18,41,42,25,22,14,30,28,37,30,36,19,38,30,68.0,56.0,80.0,76.0,,43.0,39.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4852941176470588,0.3214285714285714,0.5125,0.5526315789473685,,0.5813953488372093,0.5641025641025641,0.8235294117647058,0.4615384615384615,0.5,0.4868421052631579,0.4838709677419355,0.5217391304347826,0.8260869565217391,0.6333333333333333,0.5660377358490566,9,12,2.0,68.0,59.0,0.1323529411764706,0.0,0.2033898305084746,17,,80.0,4.705882352941177,0.0,91.7,5.394117647058824,6.5,-0.5,-6.6,-5.5,-1.1,0.0113744075829383,0.407,0.092,0.031,-0.5,-0.8,W (+6),W (+6)
