Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,27-033,DEN,UTA,1.0,32.96666666666667,10.0,17.0,0.588,0.0,2.0,0.0,2.0,2.0,1.0,4.0,6.0,10.0,2.0,1.0,1.0,1.0,1.0,22.0,20.4,-7.0,15.0,10.0,0.6666666666666666,37,67,62,29,30,33,12,60,45,65,50,61,15,46,44,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6607142857142857,0.8375,0.8157894736842105,,0.6744186046511628,0.7692307692307693,0.7674418604651163,0.7058823529411765,0.9230769230769232,0.8035714285714286,0.8552631578947368,0.8064516129032258,0.8840579710144928,0.6521739130434783,0.7666666666666667,0.8301886792452831,12,13,2.0,68.0,59.0,0.1764705882352941,0.0,0.2203389830508474,17,16.0,35.0,2.0588235294117645,19.600000000000005,46.39999999999999,2.729411764705882,19.5,6.8,2.1,2.4,-0.3,0.1167983149025803,0.617,0.227,0.413,2.1,4.6,L (-21),L (-21)
2.0,2.0,2022-10-21,27-035,DEN,GSW,1.0,28.78333333333333,5.0,12.0,0.417,0.0,6.0,0.0,0.0,0.0,,1.0,2.0,3.0,3.0,0.0,0.0,3.0,1.0,10.0,3.6,-10.0,6.0,5.0,0.8333333333333334,37,67,62,29,30,33,12,60,45,65,50,61,15,46,44,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6607142857142857,0.8375,0.8157894736842105,,0.6744186046511628,0.7692307692307693,0.7674418604651163,0.7058823529411765,0.9230769230769232,0.8035714285714286,0.8552631578947368,0.8064516129032258,0.8840579710144928,0.6521739130434783,0.7666666666666667,0.8301886792452831,12,13,2.0,68.0,59.0,0.1764705882352941,0.0,0.2203389830508474,17,1.0,87.0,5.117647058823529,3.6,97.6,5.741176470588235,19.5,6.8,2.1,2.4,-0.3,0.1167983149025803,0.617,0.227,0.413,2.1,4.6,W (+5),W (+5)
3.0,3.0,2022-10-22,27-036,DEN,OKC,1.0,28.366666666666667,3.0,9.0,0.333,1.0,3.0,0.333,4.0,8.0,0.5,5.0,5.0,10.0,2.0,0.0,2.0,2.0,0.0,11.0,10.1,19.0,6.0,2.0,0.3333333333333333,37,67,62,29,30,33,12,60,45,65,50,61,15,46,44,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6607142857142857,0.8375,0.8157894736842105,,0.6744186046511628,0.7692307692307693,0.7674418604651163,0.7058823529411765,0.9230769230769232,0.8035714285714286,0.8552631578947368,0.8064516129032258,0.8840579710144928,0.6521739130434783,0.7666666666666667,0.8301886792452831,12,13,2.0,68.0,59.0,0.1764705882352941,0.0,0.2203389830508474,17,6.0,75.0,4.411764705882353,8.499999999999996,83.89999999999999,4.935294117647058,19.5,6.8,2.1,2.4,-0.3,0.1167983149025803,0.617,0.227,0.413,2.1,4.6,W (+5),W (+5)
4.0,4.0,2022-10-24,27-038,DEN,POR,1.0,27.616666666666667,12.0,16.0,0.75,0.0,2.0,0.0,2.0,2.0,1.0,2.0,4.0,6.0,1.0,0.0,0.0,1.0,4.0,26.0,20.3,-16.0,14.0,12.0,0.8571428571428571,37,67,62,29,30,33,12,60,45,65,50,61,15,46,44,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6607142857142857,0.8375,0.8157894736842105,,0.6744186046511628,0.7692307692307693,0.7674418604651163,0.7058823529411765,0.9230769230769232,0.8035714285714286,0.8552631578947368,0.8064516129032258,0.8840579710144928,0.6521739130434783,0.7666666666666667,0.8301886792452831,12,13,2.0,68.0,59.0,0.1764705882352941,0.0,0.2203389830508474,17,14.0,48.0,2.823529411764706,19.500000000000007,50.3,2.9588235294117644,19.5,6.8,2.1,2.4,-0.3,0.1167983149025803,0.617,0.227,0.413,2.1,4.6,L (-25),L (-25)
5.0,5.0,2022-10-26,27-040,DEN,LAL,1.0,28.5,2.0,8.0,0.25,0.0,3.0,0.0,2.0,4.0,0.5,3.0,6.0,9.0,5.0,0.0,2.0,0.0,1.0,6.0,8.8,19.0,5.0,2.0,0.4,37,67,62,29,30,33,12,60,45,65,50,61,15,46,44,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6607142857142857,0.8375,0.8157894736842105,,0.6744186046511628,0.7692307692307693,0.7674418604651163,0.7058823529411765,0.9230769230769232,0.8035714285714286,0.8552631578947368,0.8064516129032258,0.8840579710144928,0.6521739130434783,0.7666666666666667,0.8301886792452831,12,13,2.0,68.0,59.0,0.1764705882352941,0.0,0.2203389830508474,17,10.0,94.0,5.529411764705882,8.0,103.6,6.094117647058823,19.5,6.8,2.1,2.4,-0.3,0.1167983149025803,0.617,0.227,0.413,2.1,4.6,W (+11),W (+11)
6.0,6.0,2022-10-28,27-042,DEN,UTA,1.0,21.316666666666663,1.0,4.0,0.25,1.0,3.0,0.333,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,-0.5,0.0,1.0,0.0,0.0,37,67,62,29,30,33,12,60,45,65,50,61,15,46,44,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6607142857142857,0.8375,0.8157894736842105,,0.6744186046511628,0.7692307692307693,0.7674418604651163,0.7058823529411765,0.9230769230769232,0.8035714285714286,0.8552631578947368,0.8064516129032258,0.8840579710144928,0.6521739130434783,0.7666666666666667,0.8301886792452831,12,13,2.0,68.0,59.0,0.1764705882352941,0.0,0.2203389830508474,17,-2.0,65.0,3.823529411764706,-0.5000000000000002,70.4,4.141176470588236,19.5,6.8,2.1,2.4,-0.3,0.1167983149025803,0.617,0.227,0.413,2.1,4.6,W (+16),W (+16)
7.0,7.0,2022-10-30,27-044,DEN,LAL,1.0,30.683333333333334,7.0,11.0,0.636,3.0,4.0,0.75,1.0,2.0,0.5,1.0,5.0,6.0,0.0,0.0,2.0,1.0,3.0,18.0,14.1,17.0,7.0,4.0,0.5714285714285714,37,67,62,29,30,33,12,60,45,65,50,61,15,46,44,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6607142857142857,0.8375,0.8157894736842105,,0.6744186046511628,0.7692307692307693,0.7674418604651163,0.7058823529411765,0.9230769230769232,0.8035714285714286,0.8552631578947368,0.8064516129032258,0.8840579710144928,0.6521739130434783,0.7666666666666667,0.8301886792452831,12,13,2.0,68.0,59.0,0.1764705882352941,0.0,0.2203389830508474,17,12.0,58.0,3.411764705882353,13.7,70.4,4.141176470588236,19.5,6.8,2.1,2.4,-0.3,0.1167983149025803,0.617,0.227,0.413,2.1,4.6,L (-11),L (-11)
8.0,8.0,2022-11-03,27-048,DEN,OKC,1.0,35.53333333333333,10.0,13.0,0.769,3.0,4.0,0.75,4.0,5.0,0.8,2.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,27.0,26.9,-1.0,9.0,7.0,0.7777777777777778,37,67,62,29,30,33,12,60,45,65,50,61,15,46,44,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6607142857142857,0.8375,0.8157894736842105,,0.6744186046511628,0.7692307692307693,0.7674418604651163,0.7058823529411765,0.9230769230769232,0.8035714285714286,0.8552631578947368,0.8064516129032258,0.8840579710144928,0.6521739130434783,0.7666666666666667,0.8301886792452831,12,13,2.0,68.0,59.0,0.1764705882352941,0.0,0.2203389830508474,17,18.0,74.0,4.352941176470588,25.3,77.99999999999999,4.588235294117646,19.5,6.8,2.1,2.4,-0.3,0.1167983149025803,0.617,0.227,0.413,2.1,4.6,W (+12),W (+12)
9.0,9.0,2022-11-05,27-050,DEN,SAS,1.0,22.55,4.0,6.0,0.667,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,6.0,2.0,0.0,0.0,0.0,1.0,8.0,8.2,15.0,5.0,4.0,0.8,37,67,62,29,30,33,12,60,45,65,50,61,15,46,44,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6607142857142857,0.8375,0.8157894736842105,,0.6744186046511628,0.7692307692307693,0.7674418604651163,0.7058823529411765,0.9230769230769232,0.8035714285714286,0.8552631578947368,0.8064516129032258,0.8840579710144928,0.6521739130434783,0.7666666666666667,0.8301886792452831,12,13,2.0,68.0,59.0,0.1764705882352941,0.0,0.2203389830508474,17,8.0,87.0,5.117647058823529,8.2,93.1,5.476470588235294,19.5,6.8,2.1,2.4,-0.3,0.1167983149025803,0.617,0.227,0.413,2.1,4.6,W (+25),W (+25)
10.0,10.0,2022-11-07,27-052,DEN,SAS,1.0,29.7,3.0,5.0,0.6,0.0,1.0,0.0,3.0,5.0,0.6,2.0,3.0,5.0,5.0,4.0,1.0,0.0,1.0,9.0,16.0,10.0,4.0,3.0,0.75,37,67,62,29,30,33,12,60,45,65,50,61,15,46,44,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6607142857142857,0.8375,0.8157894736842105,,0.6744186046511628,0.7692307692307693,0.7674418604651163,0.7058823529411765,0.9230769230769232,0.8035714285714286,0.8552631578947368,0.8064516129032258,0.8840579710144928,0.6521739130434783,0.7666666666666667,0.8301886792452831,12,13,2.0,68.0,59.0,0.1764705882352941,0.0,0.2203389830508474,17,14.0,66.0,3.882352941176471,14.8,76.89999999999999,4.523529411764706,19.5,6.8,2.1,2.4,-0.3,0.1167983149025803,0.617,0.227,0.413,2.1,4.6,W (+6),W (+6)
