Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,36-052,DEN,UTA,0,14.616666666666667,2.0,5.0,.400,0.0,1.0,.000,2,2.0,1.000,1.0,3.0,4.0,0.0,1.0,0.0,2.0,3.0,6.0,2.7,-14,4.0,2.0,0.5,45,25,55,52,19,26,28,8,44,52,44,46,18,37,31,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6617647058823529,0.4464285714285714,0.6875,0.6842105263157895,,0.4418604651162791,0.6666666666666666,0.6511627906976745,0.4705882352941176,0.676923076923077,0.6842105263157895,0.7096774193548387,0.6666666666666666,0.782608695652174,0.6166666666666667,0.5849056603773585,11,16,2.0,68.0,59.0,0.1617647058823529,0.0,0.2711864406779661,17,2.0,49.0,2.8823529411764706,1.9000000000000004,64.1,3.770588235294117,11.0,1.7,-3.4,-2.4,-1.0,0.0460242232754081,0.576,0.317,0.357,-0.4,0.8,L (-21),L (-21)
2.0,2.0,2022-10-21,36-054,DEN,GSW,0,19.066666666666663,3.0,5.0,.600,2.0,2.0,1.000,2,2.0,1.000,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,10.0,9.3,+14,3.0,1.0,0.3333333333333333,45,25,55,52,19,26,28,8,44,52,44,46,18,37,31,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6617647058823529,0.4464285714285714,0.6875,0.6842105263157895,,0.4418604651162791,0.6666666666666666,0.6511627906976745,0.4705882352941176,0.676923076923077,0.6842105263157895,0.7096774193548387,0.6666666666666666,0.782608695652174,0.6166666666666667,0.5849056603773585,11,16,2.0,68.0,59.0,0.1617647058823529,0.0,0.2711864406779661,17,7.0,81.0,4.764705882352941,8.499999999999996,92.7,5.452941176470588,11.0,1.7,-3.4,-2.4,-1.0,0.0460242232754081,0.576,0.317,0.357,-0.4,0.8,W (+5),W (+5)
3.0,3.0,2022-10-22,36-055,DEN,OKC,0,19.633333333333333,5.0,5.0,1.000,2.0,2.0,1.000,2,4.0,.500,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,14.0,12.6,-14,3.0,3.0,1.0,45,25,55,52,19,26,28,8,44,52,44,46,18,37,31,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6617647058823529,0.4464285714285714,0.6875,0.6842105263157895,,0.4418604651162791,0.6666666666666666,0.6511627906976745,0.4705882352941176,0.676923076923077,0.6842105263157895,0.7096774193548387,0.6666666666666666,0.782608695652174,0.6166666666666667,0.5849056603773585,11,16,2.0,68.0,59.0,0.1617647058823529,0.0,0.2711864406779661,17,8.0,73.0,4.294117647058823,11.8,80.6,4.741176470588235,11.0,1.7,-3.4,-2.4,-1.0,0.0460242232754081,0.576,0.317,0.357,-0.4,0.8,W (+5),W (+5)
4.0,4.0,2022-10-24,36-057,DEN,POR,0,19.73333333333333,3.0,8.0,.375,0.0,1.0,.000,1,2.0,.500,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,7.0,4.1,-15,7.0,3.0,0.4285714285714285,45,25,55,52,19,26,28,8,44,52,44,46,18,37,31,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6617647058823529,0.4464285714285714,0.6875,0.6842105263157895,,0.4418604651162791,0.6666666666666666,0.6511627906976745,0.4705882352941176,0.676923076923077,0.6842105263157895,0.7096774193548387,0.6666666666666666,0.782608695652174,0.6166666666666667,0.5849056603773585,11,16,2.0,68.0,59.0,0.1617647058823529,0.0,0.2711864406779661,17,1.0,61.0,3.588235294117647,3.6999999999999993,66.10000000000001,3.888235294117648,11.0,1.7,-3.4,-2.4,-1.0,0.0460242232754081,0.576,0.317,0.357,-0.4,0.8,L (-25),L (-25)
5.0,5.0,2022-10-26,36-059,DEN,LAL,0,21.933333333333334,3.0,8.0,.375,0.0,2.0,.000,4,4.0,1.000,1.0,3.0,4.0,3.0,2.0,0.0,0.0,3.0,10.0,10.1,+7,6.0,3.0,0.5,45,25,55,52,19,26,28,8,44,52,44,46,18,37,31,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6617647058823529,0.4464285714285714,0.6875,0.6842105263157895,,0.4418604651162791,0.6666666666666666,0.6511627906976745,0.4705882352941176,0.676923076923077,0.6842105263157895,0.7096774193548387,0.6666666666666666,0.782608695652174,0.6166666666666667,0.5849056603773585,11,16,2.0,68.0,59.0,0.1617647058823529,0.0,0.2711864406779661,17,7.0,97.0,5.705882352941177,8.5,103.1,6.064705882352941,11.0,1.7,-3.4,-2.4,-1.0,0.0460242232754081,0.576,0.317,0.357,-0.4,0.8,W (+11),W (+11)
6.0,6.0,2022-10-28,36-061,DEN,UTA,0,24.683333333333334,3.0,5.0,.600,0.0,1.0,.000,4,5.0,.800,2.0,4.0,6.0,2.0,0.0,0.0,0.0,2.0,10.0,10.5,+19,4.0,3.0,0.75,45,25,55,52,19,26,28,8,44,52,44,46,18,37,31,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6617647058823529,0.4464285714285714,0.6875,0.6842105263157895,,0.4418604651162791,0.6666666666666666,0.6511627906976745,0.4705882352941176,0.676923076923077,0.6842105263157895,0.7096774193548387,0.6666666666666666,0.782608695652174,0.6166666666666667,0.5849056603773585,11,16,2.0,68.0,59.0,0.1617647058823529,0.0,0.2711864406779661,17,8.0,55.0,3.235294117647059,8.899999999999999,60.99999999999999,3.5882352941176467,11.0,1.7,-3.4,-2.4,-1.0,0.0460242232754081,0.576,0.317,0.357,-0.4,0.8,W (+16),W (+16)
7.0,7.0,2022-10-30,36-063,DEN,LAL,0,16.916666666666668,2.0,7.0,.286,0.0,2.0,.000,1,2.0,.500,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,1.4,-26,5.0,2.0,0.4,45,25,55,52,19,26,28,8,44,52,44,46,18,37,31,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6617647058823529,0.4464285714285714,0.6875,0.6842105263157895,,0.4418604651162791,0.6666666666666666,0.6511627906976745,0.4705882352941176,0.676923076923077,0.6842105263157895,0.7096774193548387,0.6666666666666666,0.782608695652174,0.6166666666666667,0.5849056603773585,11,16,2.0,68.0,59.0,0.1617647058823529,0.0,0.2711864406779661,17,-1.0,71.0,4.176470588235294,1.0000000000000004,83.1,4.888235294117647,11.0,1.7,-3.4,-2.4,-1.0,0.0460242232754081,0.576,0.317,0.357,-0.4,0.8,L (-11),L (-11)
8.0,8.0,2022-11-03,36-067,DEN,OKC,0,19.35,3.0,5.0,.600,0.0,1.0,.000,1,2.0,.500,0.0,4.0,4.0,0.0,2.0,0.0,3.0,2.0,7.0,3.7,+6,4.0,3.0,0.75,45,25,55,52,19,26,28,8,44,52,44,46,18,37,31,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6617647058823529,0.4464285714285714,0.6875,0.6842105263157895,,0.4418604651162791,0.6666666666666666,0.6511627906976745,0.4705882352941176,0.676923076923077,0.6842105263157895,0.7096774193548387,0.6666666666666666,0.782608695652174,0.6166666666666667,0.5849056603773585,11,16,2.0,68.0,59.0,0.1617647058823529,0.0,0.2711864406779661,17,3.0,89.0,5.235294117647059,3.299999999999999,100.0,5.882352941176471,11.0,1.7,-3.4,-2.4,-1.0,0.0460242232754081,0.576,0.317,0.357,-0.4,0.8,W (+12),W (+12)
9.0,9.0,2022-11-05,36-069,DEN,SAS,0,25.45,4.0,8.0,.500,1.0,2.0,.500,0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,4.0,1.0,9.0,3.3,+10,6.0,3.0,0.5,45,25,55,52,19,26,28,8,44,52,44,46,18,37,31,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6617647058823529,0.4464285714285714,0.6875,0.6842105263157895,,0.4418604651162791,0.6666666666666666,0.6511627906976745,0.4705882352941176,0.676923076923077,0.6842105263157895,0.7096774193548387,0.6666666666666666,0.782608695652174,0.6166666666666667,0.5849056603773585,11,16,2.0,68.0,59.0,0.1617647058823529,0.0,0.2711864406779661,17,2.0,93.0,5.470588235294118,3.299999999999999,98.0,5.764705882352941,11.0,1.7,-3.4,-2.4,-1.0,0.0460242232754081,0.576,0.317,0.357,-0.4,0.8,W (+25),W (+25)
10.0,10.0,2022-11-07,36-071,DEN,SAS,0,18.116666666666667,3.0,5.0,.600,0.0,2.0,.000,0,1.0,.000,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,6.0,4.3,-4,3.0,3.0,1.0,45,25,55,52,19,26,28,8,44,52,44,46,18,37,31,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,76.0,62.0,69.0,23.0,60.0,53.0,0.6617647058823529,0.4464285714285714,0.6875,0.6842105263157895,,0.4418604651162791,0.6666666666666666,0.6511627906976745,0.4705882352941176,0.676923076923077,0.6842105263157895,0.7096774193548387,0.6666666666666666,0.782608695652174,0.6166666666666667,0.5849056603773585,11,16,2.0,68.0,59.0,0.1617647058823529,0.0,0.2711864406779661,17,3.0,77.0,4.529411764705882,4.299999999999999,87.4,5.141176470588236,11.0,1.7,-3.4,-2.4,-1.0,0.0460242232754081,0.576,0.317,0.357,-0.4,0.8,W (+6),W (+6)
