Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,29-243,DEN,UTA,1.0,35.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,6.0,2.0,1.0,1.0,2.0,2.0,6.2,3.0,1.0,0.0,0.0,65,40,74,70,33,33,37,15,64,52,60,68,18,54,47,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,62.0,69.0,23.0,60.0,53.0,0.9558823529411764,0.7142857142857143,0.925,0.9210526315789472,,0.7674418604651163,0.8461538461538461,0.8604651162790697,0.8823529411764706,0.9846153846153848,0.9285714285714286,0.967741935483871,0.9855072463768116,0.782608695652174,0.9,0.8867924528301887,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,9.0,42.0,2.4705882352941178,5.399999999999999,60.6,3.5647058823529414,11.5,4.5,-1.0,-1.6,0.6,0.0865718799368088,0.598,0.505,0.198,0.6,2.0,L (-21),L (-21)
2.0,2.0,2022-10-21,29-245,DEN,GSW,1.0,32.78333333333333,7.0,14.0,0.5,3.0,6.0,0.5,0.0,0.0,,2.0,2.0,4.0,1.0,2.0,0.0,2.0,3.0,17.0,11.5,-10.0,8.0,4.0,0.5,65,40,74,70,33,33,37,15,64,52,60,68,18,54,47,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,62.0,69.0,23.0,60.0,53.0,0.9558823529411764,0.7142857142857143,0.925,0.9210526315789472,,0.7674418604651163,0.8461538461538461,0.8604651162790697,0.8823529411764706,0.9846153846153848,0.9285714285714286,0.967741935483871,0.9855072463768116,0.782608695652174,0.9,0.8867924528301887,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,8.0,80.0,4.705882352941177,11.5,89.7,5.276470588235294,11.5,4.5,-1.0,-1.6,0.6,0.0865718799368088,0.598,0.505,0.198,0.6,2.0,W (+5),W (+5)
3.0,3.0,2022-10-22,29-246,DEN,OKC,1.0,31.916666666666668,7.0,13.0,0.538,6.0,10.0,0.6,1.0,1.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,2.0,5.0,21.0,13.6,16.0,3.0,1.0,0.3333333333333333,65,40,74,70,33,33,37,15,64,52,60,68,18,54,47,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,62.0,69.0,23.0,60.0,53.0,0.9558823529411764,0.7142857142857143,0.925,0.9210526315789472,,0.7674418604651163,0.8461538461538461,0.8604651162790697,0.8823529411764706,0.9846153846153848,0.9285714285714286,0.967741935483871,0.9855072463768116,0.782608695652174,0.9,0.8867924528301887,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,12.0,69.0,4.0588235294117645,13.200000000000005,79.19999999999999,4.658823529411764,11.5,4.5,-1.0,-1.6,0.6,0.0865718799368088,0.598,0.505,0.198,0.6,2.0,W (+5),W (+5)
4.0,4.0,2022-10-24,29-248,DEN,POR,1.0,30.416666666666668,2.0,6.0,0.333,1.0,3.0,0.333,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0,1.0,2.0,6.0,6.3,-15.0,3.0,1.0,0.3333333333333333,65,40,74,70,33,33,37,15,64,52,60,68,18,54,47,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,62.0,69.0,23.0,60.0,53.0,0.9558823529411764,0.7142857142857143,0.925,0.9210526315789472,,0.7674418604651163,0.8461538461538461,0.8604651162790697,0.8823529411764706,0.9846153846153848,0.9285714285714286,0.967741935483871,0.9855072463768116,0.782608695652174,0.9,0.8867924528301887,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,6.0,56.0,3.294117647058824,5.900000000000001,63.900000000000006,3.758823529411765,11.5,4.5,-1.0,-1.6,0.6,0.0865718799368088,0.598,0.505,0.198,0.6,2.0,L (-25),L (-25)
5.0,5.0,2022-10-26,29-250,DEN,LAL,1.0,25.25,4.0,7.0,0.571,3.0,5.0,0.6,2.0,2.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,13.0,12.2,12.0,2.0,1.0,0.5,65,40,74,70,33,33,37,15,64,52,60,68,18,54,47,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,62.0,69.0,23.0,60.0,53.0,0.9558823529411764,0.7142857142857143,0.925,0.9210526315789472,,0.7674418604651163,0.8461538461538461,0.8604651162790697,0.8823529411764706,0.9846153846153848,0.9285714285714286,0.967741935483871,0.9855072463768116,0.782608695652174,0.9,0.8867924528301887,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,10.0,94.0,5.529411764705882,11.399999999999997,100.2,5.894117647058824,11.5,4.5,-1.0,-1.6,0.6,0.0865718799368088,0.598,0.505,0.198,0.6,2.0,W (+11),W (+11)
6.0,,2022-10-28,29-252,DEN,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,65,40,74,70,33,33,37,15,64,52,60,68,18,54,47,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,62.0,69.0,23.0,60.0,53.0,0.9558823529411764,0.7142857142857143,0.925,0.9210526315789472,,0.7674418604651163,0.8461538461538461,0.8604651162790697,0.8823529411764706,0.9846153846153848,0.9285714285714286,0.967741935483871,0.9855072463768116,0.782608695652174,0.9,0.8867924528301887,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,63.0,3.7058823529411766,0.0,69.9,4.111764705882353,11.5,4.5,-1.0,-1.6,0.6,0.0865718799368088,0.598,0.505,0.198,0.6,2.0,W (+16),W (+16)
7.0,6.0,2022-10-30,29-254,DEN,LAL,1.0,33.483333333333334,3.0,8.0,0.375,3.0,4.0,0.75,0.0,0.0,,0.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,9.0,10.6,5.0,4.0,0.0,0.0,65,40,74,70,33,33,37,15,64,52,60,68,18,54,47,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,62.0,69.0,23.0,60.0,53.0,0.9558823529411764,0.7142857142857143,0.925,0.9210526315789472,,0.7674418604651163,0.8461538461538461,0.8604651162790697,0.8823529411764706,0.9846153846153848,0.9285714285714286,0.967741935483871,0.9855072463768116,0.782608695652174,0.9,0.8867924528301887,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,13.0,57.0,3.3529411764705883,10.599999999999998,73.5,4.323529411764706,11.5,4.5,-1.0,-1.6,0.6,0.0865718799368088,0.598,0.505,0.198,0.6,2.0,L (-11),L (-11)
8.0,7.0,2022-11-03,29-258,DEN,OKC,1.0,35.1,4.0,9.0,0.444,3.0,6.0,0.5,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,11.0,7.8,14.0,3.0,1.0,0.3333333333333333,65,40,74,70,33,33,37,15,64,52,60,68,18,54,47,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,62.0,69.0,23.0,60.0,53.0,0.9558823529411764,0.7142857142857143,0.925,0.9210526315789472,,0.7674418604651163,0.8461538461538461,0.8604651162790697,0.8823529411764706,0.9846153846153848,0.9285714285714286,0.967741935483871,0.9855072463768116,0.782608695652174,0.9,0.8867924528301887,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,7.0,85.0,5.0,7.799999999999998,95.5,5.617647058823529,11.5,4.5,-1.0,-1.6,0.6,0.0865718799368088,0.598,0.505,0.198,0.6,2.0,W (+12),W (+12)
9.0,8.0,2022-11-05,29-260,DEN,SAS,1.0,26.966666666666665,5.0,6.0,0.833,2.0,3.0,0.667,0.0,3.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,2.0,3.0,12.0,11.8,16.0,3.0,3.0,1.0,65,40,74,70,33,33,37,15,64,52,60,68,18,54,47,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,62.0,69.0,23.0,60.0,53.0,0.9558823529411764,0.7142857142857143,0.925,0.9210526315789472,,0.7674418604651163,0.8461538461538461,0.8604651162790697,0.8823529411764706,0.9846153846153848,0.9285714285714286,0.967741935483871,0.9855072463768116,0.782608695652174,0.9,0.8867924528301887,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,9.0,86.0,5.0588235294117645,11.8,89.49999999999999,5.26470588235294,11.5,4.5,-1.0,-1.6,0.6,0.0865718799368088,0.598,0.505,0.198,0.6,2.0,W (+25),W (+25)
10.0,9.0,2022-11-07,29-262,DEN,SAS,1.0,31.6,5.0,8.0,0.625,1.0,3.0,0.333,0.0,0.0,,0.0,4.0,4.0,3.0,3.0,0.0,2.0,1.0,11.0,11.3,17.0,5.0,4.0,0.8,65,40,74,70,33,33,37,15,64,52,60,68,18,54,47,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,62.0,69.0,23.0,60.0,53.0,0.9558823529411764,0.7142857142857143,0.925,0.9210526315789472,,0.7674418604651163,0.8461538461538461,0.8604651162790697,0.8823529411764706,0.9846153846153848,0.9285714285714286,0.967741935483871,0.9855072463768116,0.782608695652174,0.9,0.8867924528301887,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,11.0,69.0,4.0588235294117645,11.299999999999995,80.4,4.729411764705882,11.5,4.5,-1.0,-1.6,0.6,0.0865718799368088,0.598,0.505,0.198,0.6,2.0,W (+6),W (+6)
