Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,21-283,DEN,UTA,0,1.4666666666666668,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0.0,0.0,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,0.0,51.0,3.0,0.0,66.0,3.882352941176471,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,L (-21),L (-21)
2.0,,2022-10-21,21-285,DEN,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,,88.0,5.176470588235294,0.0,101.2,5.952941176470588,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,W (+5),W (+5)
3.0,2.0,2022-10-22,21-286,DEN,OKC,0,9.233333333333333,2.0,3.0,.667,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.1,-10,3.0,2.0,0.6666666666666666,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,0.0,81.0,4.764705882352941,0.1,92.29999999999998,5.429411764705882,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,W (+5),W (+5)
4.0,3.0,2022-10-24,21-288,DEN,POR,0,4.116666666666666,2.0,3.0,.667,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.5,-3,2.0,2.0,1.0,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,2.0,60.0,3.5294117647058822,2.5,67.30000000000001,3.958823529411765,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,L (-25),L (-25)
5.0,4.0,2022-10-26,21-290,DEN,LAL,0,2.7666666666666666,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,0.0,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,0.0,104.0,6.117647058823529,0.0,111.6,6.564705882352941,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,W (+11),W (+11)
6.0,5.0,2022-10-28,21-292,DEN,UTA,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-3,0.0,0.0,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,-1.0,64.0,3.764705882352941,-1.1,71.0,4.176470588235294,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,W (+16),W (+16)
7.0,,2022-10-30,21-294,DEN,LAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,,70.0,4.117647058823529,0.0,84.1,4.947058823529411,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,L (-11),L (-11)
8.0,6.0,2022-11-03,21-298,DEN,OKC,0,5.483333333333333,1.0,3.0,.333,0.0,0.0,,2,2.0,1.000,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,+4,3.0,1.0,0.3333333333333333,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,4.0,88.0,5.176470588235294,4.2,99.09999999999998,5.829411764705881,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,W (+12),W (+12)
9.0,,2022-11-05,21-300,DEN,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,,95.0,5.588235294117647,0.0,101.3,5.958823529411765,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,W (+25),W (+25)
10.0,,2022-11-07,21-302,DEN,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,44,33,51,50,30,26,30,12,42,31,47,37,41,16,41,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,0.6470588235294118,0.5892857142857143,0.6375,0.6578947368421053,,0.6976744186046512,0.6666666666666666,0.6976744186046512,0.7058823529411765,0.6461538461538462,0.5535714285714286,0.618421052631579,0.5967741935483871,0.5942028985507246,0.6956521739130435,0.6833333333333333,4,4,2.0,68.0,59.0,0.0588235294117647,0.0,0.0677966101694915,17,,80.0,4.705882352941177,0.0,91.7,5.394117647058824,12.5,1.6,-3.7,-2.7,-0.9,0.0291732490784623,0.62,0.332,0.316,-0.3,0.9,W (+6),W (+6)
