Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alondes Williams,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with Yuta Watanabe
0,1,,2022-10-19,29-044,BRK,,NOP,L (-22),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,21,15,1,10,22,22,2,22,22,10,25,9,0,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414
1,2,,2022-10-21,29-046,BRK,,TOR,W (+4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,21,15,1,10,22,22,2,22,22,10,25,9,0,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414
2,3,,2022-10-24,29-049,BRK,@,MEM,L (-10),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,21,15,1,10,22,22,2,22,22,10,25,9,0,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414
3,4,,2022-10-26,29-051,BRK,@,MIL,L (-11),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,21,15,1,10,22,22,2,22,22,10,25,9,0,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414
4,5,,2022-10-27,29-052,BRK,,DAL,L (-4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,21,15,1,10,22,22,2,22,22,10,25,9,0,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414
5,6,,2022-10-29,29-054,BRK,,IND,L (-9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,21,15,1,10,22,22,2,22,22,10,25,9,0,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414
6,7,,2022-10-31,29-056,BRK,,IND,W (+7),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,21,15,1,10,22,22,2,22,22,10,25,9,0,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414
7,8,,2022-11-01,29-057,BRK,,CHI,L (-9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,21,15,1,10,22,22,2,22,22,10,25,9,0,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414
8,9,,2022-11-04,29-060,BRK,@,WAS,W (+42),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,21,15,1,10,22,22,2,22,22,10,25,9,0,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414
9,10,,2022-11-05,29-061,BRK,@,CHO,W (+4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,21,15,1,10,22,22,2,22,22,10,25,9,0,24,22,21,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,58.0,0.0,0.5,0.2631578947368421,0.0434782608695652,0.2083333333333333,0.4150943396226415,0.2972972972972973,0.0555555555555555,0.4680851063829787,0.3666666666666666,0.2857142857142857,0.3289473684210526,0.225,0.0,0.3157894736842105,0.360655737704918,0.3620689655172414
