Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Dorian Finney-Smith,co_inf with Spencer Dinwiddie,co_inf with Nerlens Noel,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Payton Pritchard,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,23-185,BRK,NOP,1.0,24.78333333333333,6.0,7.0,0.857,0.0,0.0,,1.0,2.0,0.5,3.0,7.0,10.0,0.0,1.0,2.0,4.0,3.0,13.0,11.5,-15.0,7.0,6.0,0.8571428571428571,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,13.0,78.0,3.391304347826087,11.1,77.1,3.3521739130434782,20.8,9.2,3.1,0.9,2.2,0.1033889187735341,0.691,0.003,0.419,2.9,5.2,L (-22),L (-22)
2.0,2.0,2022-10-21,23-187,BRK,TOR,1.0,33.833333333333336,8.0,11.0,0.727,0.0,0.0,,3.0,8.0,0.375,7.0,4.0,11.0,0.0,1.0,4.0,0.0,2.0,19.0,21.6,9.0,11.0,8.0,0.7272727272727273,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,16.0,60.0,2.608695652173913,20.399999999999995,55.5,2.4130434782608696,20.8,9.2,3.1,0.9,2.2,0.1033889187735341,0.691,0.003,0.419,2.9,5.2,W (+4),W (+4)
3.0,3.0,2022-10-24,23-190,BRK,MEM,1.0,33.1,7.0,10.0,0.7,0.0,0.0,,2.0,2.0,1.0,2.0,5.0,7.0,0.0,0.0,2.0,0.0,4.0,16.0,14.5,-2.0,10.0,7.0,0.7,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,13.0,60.0,2.608695652173913,13.699999999999998,59.49999999999999,2.58695652173913,20.8,9.2,3.1,0.9,2.2,0.1033889187735341,0.691,0.003,0.419,2.9,5.2,L (-10),L (-10)
4.0,4.0,2022-10-26,23-192,BRK,MIL,1.0,23.433333333333334,1.0,4.0,0.25,0.0,0.0,,1.0,2.0,0.5,4.0,4.0,8.0,1.0,0.0,2.0,1.0,3.0,3.0,4.1,-10.0,4.0,1.0,0.25,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,7.0,57.0,2.4782608695652173,3.7,60.99999999999999,2.652173913043478,20.8,9.2,3.1,0.9,2.2,0.1033889187735341,0.691,0.003,0.419,2.9,5.2,L (-11),L (-11)
5.0,5.0,2022-10-27,23-193,BRK,DAL,1.0,28.666666666666668,3.0,7.0,0.429,0.0,1.0,0.0,1.0,4.0,0.25,3.0,3.0,6.0,1.0,0.0,0.0,1.0,1.0,7.0,4.4,3.0,6.0,3.0,0.5,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,2.0,80.0,3.4782608695652173,3.9999999999999982,91.9,3.995652173913044,20.8,9.2,3.1,0.9,2.2,0.1033889187735341,0.691,0.003,0.419,2.9,5.2,L (-4),L (-4)
6.0,6.0,2022-10-29,23-195,BRK,IND,1.0,22.08333333333333,4.0,6.0,0.667,0.0,0.0,,0.0,3.0,0.0,2.0,7.0,9.0,0.0,1.0,2.0,0.0,2.0,8.0,9.3,-6.0,6.0,4.0,0.6666666666666666,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,11.0,86.0,3.739130434782609,9.3,85.7,3.726086956521739,20.8,9.2,3.1,0.9,2.2,0.1033889187735341,0.691,0.003,0.419,2.9,5.2,L (-9),L (-9)
7.0,7.0,2022-10-31,23-197,BRK,IND,1.0,31.03333333333333,9.0,11.0,0.818,0.0,0.0,,1.0,2.0,0.5,3.0,6.0,9.0,4.0,1.0,4.0,4.0,4.0,19.0,19.4,17.0,11.0,9.0,0.8181818181818182,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,20.0,68.0,2.9565217391304346,19.0,86.10000000000001,3.7434782608695656,20.8,9.2,3.1,0.9,2.2,0.1033889187735341,0.691,0.003,0.419,2.9,5.2,W (+7),W (+7)
8.0,8.0,2022-11-01,23-198,BRK,CHI,1.0,34.583333333333336,4.0,4.0,1.0,0.0,0.0,,2.0,4.0,0.5,0.0,10.0,10.0,2.0,0.0,1.0,3.0,2.0,10.0,9.3,-4.0,4.0,4.0,1.0,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,12.0,71.0,3.0869565217391304,8.499999999999998,85.7,3.726086956521739,20.8,9.2,3.1,0.9,2.2,0.1033889187735341,0.691,0.003,0.419,2.9,5.2,L (-9),L (-9)
9.0,9.0,2022-11-04,23-201,BRK,WAS,1.0,28.25,9.0,10.0,0.9,0.0,0.0,,0.0,0.0,,2.0,7.0,9.0,1.0,0.0,3.0,0.0,2.0,18.0,20.1,32.0,10.0,9.0,0.9,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,21.0,81.0,3.5217391304347827,20.1,90.5,3.934782608695652,20.8,9.2,3.1,0.9,2.2,0.1033889187735341,0.691,0.003,0.419,2.9,5.2,W (+42),W (+42)
10.0,10.0,2022-11-05,23-202,BRK,CHO,1.0,25.433333333333334,5.0,7.0,0.714,0.0,0.0,,1.0,1.0,1.0,3.0,6.0,9.0,3.0,3.0,4.0,3.0,4.0,11.0,15.3,-8.0,7.0,5.0,0.7142857142857143,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,19.0,63.0,2.739130434782609,14.900000000000002,80.60000000000002,3.5043478260869576,20.8,9.2,3.1,0.9,2.2,0.1033889187735341,0.691,0.003,0.419,2.9,5.2,W (+4),W (+4)
