Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,31-183,UTA,,DEN,W (+21),1,14:56,3.0,5.0,.600,2.0,3.0,.667,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,8.0,1.4,-8,2.0,1.0,0.5,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,1.0,61.0,3.05,1.3999999999999986,63.60000000000001,3.1800000000000006
1,2,2,2022-10-21,31-185,UTA,@,MIN,W (+6),1,34:35,8.0,14.0,.571,5.0,6.0,.833,0,0.0,,1.0,2.0,3.0,3.0,4.0,1.0,4.0,6.0,21.0,16.1,+7,8.0,3.0,0.375,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,14.0,87.0,4.35,16.10000000000001,96.2,4.8100000000000005
2,3,3,2022-10-23,31-187,UTA,@,NOP,W (+1),1,37:17,7.0,12.0,.583,2.0,3.0,.667,4,5.0,.800,1.0,2.0,3.0,5.0,1.0,0.0,1.0,4.0,20.0,17.2,-8,9.0,5.0,0.5555555555555556,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,11.0,57.0,2.85,15.6,72.50000000000001,3.625000000000001
3,4,4,2022-10-24,31-188,UTA,@,HOU,L (-6),1,26:44,4.0,5.0,.800,2.0,2.0,1.000,3,4.0,.750,3.0,6.0,9.0,4.0,0.0,0.0,5.0,2.0,13.0,11.6,+8,3.0,2.0,0.6666666666666666,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,12.0,72.0,3.6,10.4,63.89999999999999,3.1949999999999994
4,5,5,2022-10-26,31-190,UTA,,HOU,W (+8),1,29:14,1.0,8.0,.125,0.0,2.0,.000,2,6.0,.333,3.0,5.0,8.0,6.0,1.0,0.0,4.0,6.0,4.0,-0.4,+8,6.0,1.0,0.1666666666666666,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,1.0,86.0,4.3,-1.200000000000001,74.6,3.7299999999999995
5,6,6,2022-10-28,31-192,UTA,@,DEN,L (-16),1,20:28,3.0,6.0,.500,1.0,3.0,.333,0,0.0,,1.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,7.0,6.5,-5,3.0,2.0,0.6666666666666666,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,8.0,67.0,3.35,6.499999999999998,61.6,3.08
6,7,7,2022-10-29,31-193,UTA,,MEM,W (+1),1,34:14,8.0,10.0,.800,4.0,6.0,.667,3,3.0,1.000,0.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,23.0,21.4,+6,4.0,4.0,1.0,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,18.0,48.0,2.4,20.2,61.500000000000014,3.0750000000000006
7,8,8,2022-10-31,31-195,UTA,,MEM,W (+16),1,21:13,2.0,7.0,.286,0.0,3.0,.000,3,4.0,.750,1.0,2.0,3.0,1.0,4.0,1.0,2.0,6.0,7.0,4.8,+5,4.0,2.0,0.5,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,3.0,59.0,2.95,3.599999999999998,58.0,2.9
8,9,9,2022-11-02,31-197,UTA,@,DAL,L (-3),1,22:44,3.0,5.0,.600,0.0,1.0,.000,0,0.0,,2.0,3.0,5.0,4.0,1.0,0.0,1.0,5.0,6.0,6.8,+3,4.0,3.0,0.75,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,10.0,48.0,2.4,6.800000000000001,43.70000000000002,2.185000000000001
9,10,10,2022-11-04,31-199,UTA,@,LAL,W (+14),1,30:14,7.0,10.0,.700,3.0,3.0,1.000,1,2.0,.500,2.0,2.0,4.0,3.0,1.0,0.0,0.0,4.0,18.0,16.9,+17,7.0,4.0,0.5714285714285714,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,14.0,74.0,3.7,16.499999999999996,73.0,3.65
10,11,11,2022-11-06,31-201,UTA,@,LAC,W (+8),1,29:27,2.0,4.0,.500,1.0,2.0,.500,4,4.0,1.000,0.0,4.0,4.0,4.0,1.0,0.0,3.0,5.0,9.0,7.0,+10,2.0,1.0,0.5,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,7.0,56.0,2.8,5.4,67.3,3.3649999999999998
11,12,12,2022-11-07,31-202,UTA,,LAL,W (+23),1,22:46,3.0,4.0,.750,0.0,0.0,,4,4.0,1.000,0.0,3.0,3.0,2.0,2.0,1.0,4.0,2.0,10.0,8.6,+8,4.0,3.0,0.75,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,6.0,83.0,4.15,6.999999999999998,99.8,4.99
12,13,13,2022-11-09,31-204,UTA,@,ATL,W (+6),1,20:35,6.0,10.0,.600,1.0,3.0,.333,1,2.0,.500,3.0,3.0,6.0,2.0,0.0,0.0,2.0,3.0,14.0,10.2,-11,7.0,5.0,0.7142857142857143,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,8.0,38.0,1.9,9.799999999999995,52.39999999999999,2.6199999999999997
13,14,14,2022-11-12,31-207,UTA,@,WAS,L (-9),1,28:15,4.0,10.0,.400,2.0,5.0,.400,0,0.0,,0.0,5.0,5.0,4.0,0.0,0.0,2.0,4.0,10.0,5.3,-20,5.0,2.0,0.4,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,7.0,45.0,2.25,5.299999999999999,61.09999999999999,3.0549999999999993
14,15,15,2022-11-13,31-208,UTA,@,PHI,L (-7),1,29:20,4.0,9.0,.444,0.0,4.0,.000,6,6.0,1.000,1.0,5.0,6.0,1.0,1.0,0.0,2.0,5.0,14.0,9.2,-16,5.0,4.0,0.8,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,5.0,28.0,1.4,6.799999999999999,41.29999999999999,2.0649999999999995
15,16,16,2022-11-15,31-210,UTA,,NYK,L (-7),1,28:37,7.0,13.0,.538,2.0,5.0,.400,11,13.0,.846,2.0,9.0,11.0,2.0,1.0,0.0,3.0,5.0,27.0,21.4,-7,8.0,5.0,0.625,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,12.0,44.0,2.2,16.999999999999996,51.7,2.585
16,17,17,2022-11-18,31-213,UTA,,PHO,W (+1),1,19:56,2.0,5.0,.400,0.0,1.0,.000,1,1.0,1.000,1.0,3.0,4.0,2.0,1.0,0.0,4.0,5.0,5.0,0.3,+19,4.0,2.0,0.5,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,2.0,57.0,2.85,-0.0999999999999996,69.30000000000001,3.4650000000000007
17,18,18,2022-11-19,31-214,UTA,@,POR,W (+5),1,31:00,2.0,6.0,.333,1.0,3.0,.333,0,0.0,,2.0,4.0,6.0,4.0,0.0,3.0,1.0,3.0,5.0,6.9,+7,3.0,1.0,0.3333333333333333,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,11.0,47.0,2.35,6.9,60.0,3.0
18,19,19,2022-11-21,31-216,UTA,@,LAC,L (-7),1,31:38,6.0,7.0,.857,3.0,3.0,1.000,4,4.0,1.000,3.0,4.0,7.0,4.0,2.0,0.0,1.0,4.0,19.0,22.0,-4,4.0,3.0,0.75,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,20.0,49.0,2.45,20.4,61.59999999999999,3.079999999999999
19,20,20,2022-11-23,31-218,UTA,,DET,L (-9),1,35:08,4.0,7.0,.571,0.0,2.0,.000,0,0.0,,1.0,2.0,3.0,6.0,2.0,1.0,0.0,2.0,8.0,12.1,+1,5.0,4.0,0.8,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,13.0,73.0,3.65,12.099999999999998,67.69999999999999,3.3849999999999993
