Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Jarred Vanderbilt,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,23-288,UTA,,DEN,W (+21),0,20:47,6.0,12.0,.500,1.0,4.0,.250,7,8.0,.875,1.0,4.0,5.0,2.0,0.0,0.0,2.0,2.0,20.0,14.1,+8,8.0,5.0,0.625,39,46,40,22,44,9,7,42,2,31,25,26,32,27,38,20,44,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.5,0.0,0.0,0.7540983606557377,0.5882352941176471,1.0,0.6666666666666666,0.6428571428571429,1.0,0.5185185185185185,0.2857142857142857,0.4626865671641791,0.423728813559322,0.4406779661016949,0.5714285714285714,0.5192307692307693,0.5846153846153846,0.5555555555555556,0.5945945945945946,3,3,41.0,52.0,67.0,0.073170731707317,0.0576923076923076,0.0,19,5.0,57.0,3.0,11.299999999999995,53.7,2.8263157894736843
1,2,2,2022-10-21,23-290,UTA,@,MIN,W (+6),0,19:19,2.0,6.0,.333,0.0,0.0,,7,8.0,.875,2.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,11.0,11.3,-7,6.0,2.0,0.3333333333333333,39,46,40,22,44,9,7,42,2,31,25,26,32,27,38,20,44,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.5,0.0,0.0,0.7540983606557377,0.5882352941176471,1.0,0.6666666666666666,0.6428571428571429,1.0,0.5185185185185185,0.2857142857142857,0.4626865671641791,0.423728813559322,0.4406779661016949,0.5714285714285714,0.5192307692307693,0.5846153846153846,0.5555555555555556,0.5945945945945946,3,3,41.0,52.0,67.0,0.073170731707317,0.0576923076923076,0.0,19,4.0,97.0,5.105263157894737,8.500000000000002,103.8,5.463157894736842
2,3,3,2022-10-23,23-292,UTA,@,NOP,W (+1),0,18:51,2.0,10.0,.200,1.0,3.0,.333,3,4.0,.750,3.0,2.0,5.0,1.0,2.0,0.0,2.0,1.0,8.0,4.4,+11,7.0,1.0,0.1428571428571428,39,46,40,22,44,9,7,42,2,31,25,26,32,27,38,20,44,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.5,0.0,0.0,0.7540983606557377,0.5882352941176471,1.0,0.6666666666666666,0.6428571428571429,1.0,0.5185185185185185,0.2857142857142857,0.4626865671641791,0.423728813559322,0.4406779661016949,0.5714285714285714,0.5192307692307693,0.5846153846153846,0.5555555555555556,0.5945945945945946,3,3,41.0,52.0,67.0,0.073170731707317,0.0576923076923076,0.0,19,0.0,68.0,3.5789473684210527,3.2,84.90000000000002,4.46842105263158
3,4,4,2022-10-24,23-293,UTA,@,HOU,L (-6),0,15:29,4.0,7.0,.571,1.0,2.0,.500,1,1.0,1.000,1.0,4.0,5.0,1.0,0.0,0.0,1.0,3.0,10.0,7.1,-5,5.0,3.0,0.6,39,46,40,22,44,9,7,42,2,31,25,26,32,27,38,20,44,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.5,0.0,0.0,0.7540983606557377,0.5882352941176471,1.0,0.6666666666666666,0.6428571428571429,1.0,0.5185185185185185,0.2857142857142857,0.4626865671641791,0.423728813559322,0.4406779661016949,0.5714285714285714,0.5192307692307693,0.5846153846153846,0.5555555555555556,0.5945945945945946,3,3,41.0,52.0,67.0,0.073170731707317,0.0576923076923076,0.0,19,7.0,77.0,4.052631578947368,6.699999999999997,67.60000000000001,3.5578947368421057
4,5,5,2022-10-26,23-295,UTA,,HOU,W (+8),0,10:22,2.0,3.0,.667,0.0,1.0,.000,0,1.0,.000,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.9,+10,2.0,2.0,1.0,39,46,40,22,44,9,7,42,2,31,25,26,32,27,38,20,44,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.5,0.0,0.0,0.7540983606557377,0.5882352941176471,1.0,0.6666666666666666,0.6428571428571429,1.0,0.5185185185185185,0.2857142857142857,0.4626865671641791,0.423728813559322,0.4406779661016949,0.5714285714285714,0.5192307692307693,0.5846153846153846,0.5555555555555556,0.5945945945945946,3,3,41.0,52.0,67.0,0.073170731707317,0.0576923076923076,0.0,19,0.0,87.0,4.578947368421052,1.9000000000000004,71.49999999999999,3.763157894736841
5,6,6,2022-10-28,23-297,UTA,@,DEN,L (-16),0,16:30,5.0,9.0,.556,1.0,4.0,.250,2,3.0,.667,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,13.0,7.0,-32,5.0,4.0,0.8,39,46,40,22,44,9,7,42,2,31,25,26,32,27,38,20,44,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.5,0.0,0.0,0.7540983606557377,0.5882352941176471,1.0,0.6666666666666666,0.6428571428571429,1.0,0.5185185185185185,0.2857142857142857,0.4626865671641791,0.423728813559322,0.4406779661016949,0.5714285714285714,0.5192307692307693,0.5846153846153846,0.5555555555555556,0.5945945945945946,3,3,41.0,52.0,67.0,0.073170731707317,0.0576923076923076,0.0,19,2.0,73.0,3.842105263157895,6.199999999999999,61.89999999999999,3.257894736842105
6,7,7,2022-10-29,23-298,UTA,,MEM,W (+1),1,31:52,7.0,12.0,.583,3.0,6.0,.500,2,2.0,1.000,1.0,1.0,2.0,4.0,0.0,1.0,3.0,2.0,19.0,14.1,+7,6.0,4.0,0.6666666666666666,39,46,40,22,44,9,7,42,2,31,25,26,32,27,38,20,44,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.5,0.0,0.0,0.7540983606557377,0.5882352941176471,1.0,0.6666666666666666,0.6428571428571429,1.0,0.5185185185185185,0.2857142857142857,0.4626865671641791,0.423728813559322,0.4406779661016949,0.5714285714285714,0.5192307692307693,0.5846153846153846,0.5555555555555556,0.5945945945945946,3,3,41.0,52.0,67.0,0.073170731707317,0.0576923076923076,0.0,19,9.0,57.0,3.0,13.3,68.40000000000002,3.600000000000001
7,8,8,2022-10-31,23-300,UTA,,MEM,W (+16),0,24:15,4.0,9.0,.444,2.0,4.0,.500,5,5.0,1.000,1.0,1.0,2.0,0.0,2.0,0.0,2.0,4.0,15.0,9.7,+19,5.0,2.0,0.4,39,46,40,22,44,9,7,42,2,31,25,26,32,27,38,20,44,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.5,0.0,0.0,0.7540983606557377,0.5882352941176471,1.0,0.6666666666666666,0.6428571428571429,1.0,0.5185185185185185,0.2857142857142857,0.4626865671641791,0.423728813559322,0.4406779661016949,0.5714285714285714,0.5192307692307693,0.5846153846153846,0.5555555555555556,0.5945945945945946,3,3,41.0,52.0,67.0,0.073170731707317,0.0576923076923076,0.0,19,3.0,59.0,3.1052631578947367,7.700000000000001,53.89999999999999,2.8368421052631576
8,9,9,2022-11-02,23-302,UTA,@,DAL,L (-3),0,30:52,7.0,16.0,.438,1.0,4.0,.250,4,5.0,.800,1.0,2.0,3.0,3.0,2.0,0.0,3.0,2.0,19.0,11.8,-4,12.0,6.0,0.5,39,46,40,22,44,9,7,42,2,31,25,26,32,27,38,20,44,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.5,0.0,0.0,0.7540983606557377,0.5882352941176471,1.0,0.6666666666666666,0.6428571428571429,1.0,0.5185185185185185,0.2857142857142857,0.4626865671641791,0.423728813559322,0.4406779661016949,0.5714285714285714,0.5192307692307693,0.5846153846153846,0.5555555555555556,0.5945945945945946,3,3,41.0,52.0,67.0,0.073170731707317,0.0576923076923076,0.0,19,3.0,55.0,2.894736842105264,10.200000000000005,40.30000000000002,2.1210526315789484
9,10,10,2022-11-04,23-304,UTA,@,LAL,W (+14),0,28:36,7.0,13.0,.538,3.0,5.0,.600,0,0.0,,2.0,2.0,4.0,3.0,0.0,0.0,2.0,3.0,17.0,11.6,+7,8.0,4.0,0.5,39,46,40,22,44,9,7,42,2,31,25,26,32,27,38,20,44,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.0,0.5,0.0,0.0,0.7540983606557377,0.5882352941176471,1.0,0.6666666666666666,0.6428571428571429,1.0,0.5185185185185185,0.2857142857142857,0.4626865671641791,0.423728813559322,0.4406779661016949,0.5714285714285714,0.5192307692307693,0.5846153846153846,0.5555555555555556,0.5945945945945946,3,3,41.0,52.0,67.0,0.073170731707317,0.0576923076923076,0.0,19,9.0,79.0,4.157894736842105,11.599999999999998,77.9,4.1000000000000005
