Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Walker Kessler,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,23-032,UTA,,DEN,W (+21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,62.0,3.1,0.0,65.0,3.25
1,2,,2022-10-21,23-034,UTA,@,MIN,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,101.0,5.05,0.0,112.3,5.615
2,3,,2022-10-23,23-036,UTA,@,NOP,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,68.0,3.4,0.0,88.10000000000001,4.405
3,4,,2022-10-24,23-037,UTA,@,HOU,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,84.0,4.2,0.0,74.3,3.715
4,5,,2022-10-26,23-039,UTA,,HOU,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,87.0,4.35,0.0,73.39999999999998,3.669999999999999
5,6,1,2022-10-28,23-041,UTA,@,DEN,L (-16),0,8:29,2.0,3.0,.667,0.0,0.0,,0,0.0,,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,4.0,5.0,+9,3.0,2.0,0.6666666666666666,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,5.0,70.0,3.5,5.0,63.1,3.1550000000000002
6,7,,2022-10-29,23-042,UTA,,MEM,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,66.0,3.3,0.0,81.70000000000002,4.085000000000001
7,8,2,2022-10-31,23-044,UTA,,MEM,W (+16),0,3:17,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,-1,0.0,0.0,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,3.0,59.0,2.95,0.4999999999999999,61.1,3.055
8,9,,2022-11-02,23-046,UTA,@,DAL,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,,58.0,2.9,0.0,50.50000000000003,2.5250000000000012
9,10,3,2022-11-04,23-048,UTA,@,LAL,W (+14),0,1:17,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+2,0.0,0.0,,20,17,9,24,28,6,27,12,1,19,7,15,17,32,21,30,30,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,74.0,0.4166666666666667,0.0,0.2179487179487179,0.0,0.5,0.3934426229508196,0.4117647058823529,0.2727272727272727,0.4090909090909091,0.8571428571428571,0.1428571428571428,0.2345679012345679,1.0,0.2238805970149253,0.288135593220339,0.5423728813559322,0.375,0.5769230769230769,0.4615384615384615,0.4054054054054054,12,13,41.0,52.0,67.0,0.2926829268292683,0.25,0.0,20,0.0,88.0,4.4,0.0,89.49999999999999,4.475
