Unnamed: 0,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Factor
0,1.0,San Diego Conquistadors*,84,20285,3907,8829,0.443,216,736,0.293,3691,8093,0.456,1476,1960,0.753,1432,2738,4170,1984,697,516,1320,1642,9506,-991.3333333333334
1,2.0,Carolina Cougars*,84,20360,3714,7659,0.485,25,140,0.179,3689,7519,0.491,1825,2447,0.746,1362,2465,3827,2027,1005,317,1644,2275,9278,-1012.8333333333334
2,3.0,New York Nets*,84,20285,3855,8038,0.48,81,256,0.316,3774,7782,0.485,1397,1852,0.754,1334,2772,4106,2025,828,568,1612,1979,9188,-1011.8333333333334
3,4.0,Kentucky Colonels*,84,20235,3681,8075,0.456,97,349,0.278,3584,7726,0.464,1565,2092,0.748,1483,2934,4417,2104,644,470,1474,1771,9024,-1051.3333333333333
4,5.0,Denver Rockets*,84,20285,3553,8042,0.442,107,325,0.329,3446,7717,0.447,1776,2271,0.782,1455,2697,4152,2004,595,408,1477,2079,8989,-1001.3333333333334
5,6.0,Virginia Squires*,84,20260,3426,7581,0.452,74,282,0.262,3352,7299,0.459,2007,2612,0.768,1343,2621,3964,1665,704,375,1713,2167,8933,-831.8333333333334
6,7.0,Indiana Pacers*,84,20360,3546,7886,0.45,171,543,0.315,3375,7343,0.46,1625,2242,0.725,1474,2896,4370,1825,735,459,1554,1926,8888,-911.8333333333334
7,8.0,Utah Stars*,84,20310,3584,7422,0.483,94,346,0.272,3490,7076,0.493,1566,1985,0.789,1153,2641,3794,1870,705,352,1428,1940,8828,-934.3333333333334
8,9.0,Memphis Tams,84,20260,3446,7507,0.459,79,294,0.269,3367,7213,0.467,1532,2023,0.757,1403,2621,4024,1920,623,341,1507,2082,8503,-959.3333333333334
9,10.0,San Antonio Spurs*,84,20360,3343,7347,0.455,51,241,0.212,3292,7106,0.463,1462,1878,0.778,1236,2645,3881,1808,600,225,1326,2197,8199,-903.3333333333334
10,,League Average,84,20300,3606,7839,0.46,100,351,0.283,3506,7487,0.468,1623,2136,0.76,1368,2703,4071,1923,714,403,1506,2006,8934,-960.8333333333334
