Unnamed: 0,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League_Factor,League_VOP
0,1,Sacramento Kings*,82,19830,3573.0,7232.0,.494,1128,3060,.369,2445,4172,.586,1624.0,2055.0,.790,782.0,2699,3481,2237.0,574,275,1106.0,1616,9898.0,0.6006053892382024,1.1208902280875734
1,2,Golden State Warriors*,82,19830,3538.0,7393.0,.479,1363,3540,.385,2175,3853,.564,1314.0,1655.0,.794,864.0,2793,3657,2446.0,588,323,1336.0,1757,9753.0,0.6006053892382024,1.1208902280875734
2,3,Atlanta Hawks*,82,19855,3658.0,7574.0,.483,882,2505,.352,2776,5069,.548,1513.0,1850.0,.818,920.0,2719,3639,2049.0,580,401,1060.0,1541,9711.0,0.6006053892382024,1.1208902280875734
3,4,Boston Celtics*,82,19980,3460.0,7278.0,.475,1315,3492,.377,2145,3786,.567,1436.0,1769.0,.812,796.0,2921,3717,2186.0,521,430,1095.0,1542,9671.0,0.6006053892382024,1.1208902280875734
4,5,Oklahoma City Thunder*,82,19855,3533.0,7590.0,.465,995,2797,.356,2538,4793,.530,1572.0,1944.0,.809,934.0,2645,3579,2002.0,676,341,1069.0,1722,9633.0,0.6006053892382024,1.1208902280875734
5,6,Los Angeles Lakers*,82,19880,3516.0,7298.0,.482,885,2558,.346,2631,4740,.555,1691.0,2182.0,.775,818.0,2930,3748,2072.0,526,378,1154.0,1466,9608.0,0.6006053892382024,1.1208902280875734
6,7,Utah Jazz,82,19805,3485.0,7365.0,.473,1094,3099,.353,2391,4266,.560,1536.0,1955.0,.786,968.0,2794,3762,2129.0,500,429,1259.0,1679,9600.0,0.6006053892382024,1.1208902280875734
7,8,Milwaukee Bucks*,82,19830,3504.0,7411.0,.473,1217,3306,.368,2287,4105,.557,1364.0,1837.0,.743,914.0,3074,3988,2115.0,521,403,1199.0,1481,9589.0,0.6006053892382024,1.1208902280875734
8,9,Memphis Grizzlies*,82,19780,3585.0,7551.0,.475,985,2807,.351,2600,4744,.548,1432.0,1954.0,.733,988.0,2835,3823,2135.0,680,473,1116.0,1643,9587.0,0.6006053892382024,1.1208902280875734
9,10,Indiana Pacers,82,19755,3444.0,7345.0,.469,1112,3030,.367,2332,4315,.540,1535.0,1944.0,.790,832.0,2575,3407,2213.0,631,478,1225.0,1741,9535.0,0.6006053892382024,1.1208902280875734
10,11,New York Knicks*,82,19955,3444.0,7328.0,.470,1037,2930,.354,2407,4398,.547,1589.0,2087.0,.761,1031.0,2790,3821,1880.0,527,340,1065.0,1666,9514.0,0.6006053892382024,1.1208902280875734
11,12,Denver Nuggets*,82,19755,3574.0,7088.0,.504,969,2559,.379,2605,4529,.575,1378.0,1834.0,.751,828.0,2699,3527,2368.0,618,368,1192.0,1525,9495.0,0.6006053892382024,1.1208902280875734
12,13,Minnesota Timberwolves*,82,19830,3515.0,7167.0,.490,997,2731,.365,2518,4436,.568,1467.0,1942.0,.755,749.0,2686,3435,2145.0,657,444,1258.0,1768,9494.0,0.6006053892382024,1.1208902280875734
13,14,Philadelphia 76ers*,82,19880,3347.0,6870.0,.487,1035,2675,.387,2312,4195,.551,1719.0,2058.0,.835,715.0,2641,3356,2063.0,635,389,1121.0,1675,9448.0,0.6006053892382024,1.1208902280875734
14,15,New Orleans Pelicans*,82,19855,3447.0,7180.0,.480,899,2468,.364,2548,4712,.541,1585.0,2000.0,.793,866.0,2717,3583,2122.0,681,337,1196.0,1678,9378.0,0.6006053892382024,1.1208902280875734
15,16,Dallas Mavericks,82,19930,3283.0,6909.0,.475,1246,3362,.371,2037,3547,.574,1554.0,2057.0,.755,625.0,2556,3181,1880.0,514,304,1002.0,1697,9366.0,0.6006053892382024,1.1208902280875734
16,17,Phoenix Suns*,82,19780,3453.0,7388.0,.467,1001,2674,.374,2452,4714,.520,1412.0,1781.0,.793,971.0,2657,3628,2235.0,585,432,1110.0,1739,9319.0,0.6006053892382024,1.1208902280875734
17,18,Los Angeles Clippers*,82,19830,3370.0,7059.0,.477,1041,2735,.381,2329,4324,.539,1533.0,1962.0,.781,803.0,2742,3545,1959.0,580,364,1167.0,1598,9314.0,0.6006053892382024,1.1208902280875734
18,19,Portland Trail Blazers,82,19730,3317.0,7001.0,.474,1056,2893,.365,2261,4108,.550,1609.0,2021.0,.796,774.0,2551,3325,1981.0,553,376,1185.0,1643,9299.0,0.6006053892382024,1.1208902280875734
19,20,Brooklyn Nets*,82,19730,3399.0,6978.0,.487,1048,2771,.378,2351,4207,.559,1449.0,1811.0,.800,674.0,2648,3322,2093.0,585,506,1127.0,1730,9295.0,0.6006053892382024,1.1208902280875734
20,Rk,Team,G,MP,,,FG%,3P,3PA,3P%,2P,2PA,2P%,,,FT%,,DRB,TRB,,STL,BLK,,PF,,0.6006053892382024,1.1208902280875734
21,21,Washington Wizards,82,19755,3456.0,7127.0,.485,925,2601,.356,2531,4526,.559,1442.0,1838.0,.785,774.0,2804,3578,2083.0,561,424,1158.0,1539,9279.0,0.6006053892382024,1.1208902280875734
22,22,Chicago Bulls*,82,19905,3488.0,7116.0,.490,854,2367,.361,2634,4749,.555,1446.0,1788.0,.809,694.0,2779,3473,2006.0,644,371,1097.0,1551,9276.0,0.6006053892382024,1.1208902280875734
23,23,San Antonio Spurs,82,19855,3533.0,7593.0,.465,911,2640,.345,2622,4953,.529,1292.0,1739.0,.743,965.0,2619,3584,2232.0,572,322,1253.0,1630,9269.0,0.6006053892382024,1.1208902280875734
24,24,Toronto Raptors*,82,19805,3434.0,7489.0,.459,880,2626,.335,2554,4863,.525,1506.0,1922.0,.784,1043.0,2485,3528,1961.0,772,424,956.0,1641,9254.0,0.6006053892382024,1.1208902280875734
25,25,Cleveland Cavaliers*,82,19880,3408.0,6984.0,.488,950,2589,.367,2458,4395,.559,1439.0,1844.0,.780,795.0,2574,3369,2045.0,586,384,1094.0,1560,9205.0,0.6006053892382024,1.1208902280875734
26,26,Orlando Magic,82,19780,3323.0,7074.0,.470,883,2551,.346,2440,4523,.539,1607.0,2050.0,.784,833.0,2713,3546,1906.0,603,382,1236.0,1652,9136.0,0.6006053892382024,1.1208902280875734
27,27,Charlotte Hornets,82,19830,3385.0,7413.0,.457,881,2669,.330,2504,4744,.528,1447.0,1933.0,.749,901.0,2751,3652,2062.0,634,425,1164.0,1661,9098.0,0.6006053892382024,1.1208902280875734
28,28,Houston Rockets,82,19755,3329.0,7287.0,.457,856,2619,.327,2473,4668,.530,1567.0,2078.0,.754,1100.0,2695,3795,1835.0,600,374,1332.0,1679,9081.0,0.6006053892382024,1.1208902280875734
29,29,Detroit Pistons,82,19805,3244.0,7140.0,.454,934,2659,.351,2310,4481,.516,1623.0,2106.0,.771,916.0,2564,3480,1884.0,574,308,1237.0,1813,9045.0,0.6006053892382024,1.1208902280875734
30,30,Miami Heat*,82,19805,3215.0,6991.0,.460,980,2852,.344,2235,4139,.540,1567.0,1885.0,.831,796.0,2533,3329,1955.0,655,243,1106.0,1516,8977.0,0.6006053892382024,1.1208902280875734
31,,League Average,82,19828,3442.0,7241.0,.475,1012,2806,.361,2430,4435,.548,1508.0,1929.0,.782,856.0,2706,3562,2076.0,598,382,1156.0,1638,9404.0,0.6006053892382024,1.1208902280875734
