Unnamed: 0,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League_Factor,League_VOP
0,1.0,Virginia Squires*,84,20335,4014,8497,0.472,54,215,0.251,3960,8282,0.478,2273,2975,0.764,1589,2974,4563,2231,,,1716,2371,10355,0.6005808370790369,1.025184489578832
1,2.0,Kentucky Colonels*,84,20185,3929,8520,0.461,193,597,0.323,3736,7923,0.472,2213,2930,0.755,1604,3186,4790,1878,,,1569,2271,10264,0.6005808370790369,1.025184489578832
2,3.0,Texas Chaparrals*,84,20385,3964,8938,0.443,241,776,0.311,3723,8162,0.456,2038,2661,0.766,1733,2964,4697,1901,,,1475,2093,10207,0.6005808370790369,1.025184489578832
3,4.0,Indiana Pacers*,84,20360,3796,8202,0.463,306,1024,0.299,3490,7178,0.486,2104,2741,0.768,1420,2953,4373,2068,,,1429,1953,10002,0.6005808370790369,1.025184489578832
4,5.0,Pittsburgh Condors,84,20230,3906,8661,0.451,177,578,0.306,3729,8083,0.461,2012,2659,0.757,1764,3067,4831,1619,,,1724,2208,10001,0.6005808370790369,1.025184489578832
5,6.0,Utah Stars*,84,20260,3787,8409,0.45,201,676,0.297,3586,7733,0.464,2219,2831,0.784,1666,3200,4866,1789,,,1405,2050,9994,0.6005808370790369,1.025184489578832
6,7.0,Denver Rockets*,84,20435,3852,8780,0.439,103,400,0.258,3749,8380,0.447,2158,2841,0.76,1759,3090,4849,1642,,,1658,1996,9965,0.6005808370790369,1.025184489578832
7,8.0,Carolina Cougars,84,20305,3823,8329,0.459,191,556,0.344,3632,7773,0.467,1851,2809,0.659,1516,2706,4222,1745,,,1644,2172,9688,0.6005808370790369,1.025184489578832
8,9.0,The Floridians*,84,20335,3659,8026,0.456,82,268,0.306,3577,7758,0.461,2179,2852,0.764,1442,2854,4296,1939,,,1627,2140,9579,0.6005808370790369,1.025184489578832
9,10.0,New York Nets*,84,20260,3638,7704,0.472,38,170,0.224,3600,7534,0.478,2013,2653,0.759,1330,2779,4109,1877,,,1782,2203,9327,0.6005808370790369,1.025184489578832
10,11.0,Memphis Pros*,84,20260,3700,8383,0.441,111,415,0.267,3589,7968,0.45,1664,2287,0.728,1615,3023,4638,1893,,,1551,2164,9175,0.6005808370790369,1.025184489578832
11,,League Average,84,20305,3824,8404,0.455,154,516,0.299,3670,7889,0.465,2066,2749,0.751,1585,2981,4567,1871,,,1598,2147,9869,0.6005808370790369,1.025184489578832
