Unnamed: 0,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League_Factor,League_VOP
0,1.0,Dallas Chaparrals*,84,20310,3775,8265,0.457,187,584,0.32,3588,7681,0.467,2340,2968,0.788,1482,3154,4636,1633,,,1709,2138,10077,0.5984932964978886,1.0037383809934621
1,2.0,Washington Capitols*,84,20235,3709,7988,0.464,108,352,0.307,3601,7636,0.472,2403,3177,0.756,1526,3103,4629,1961,,,1991,2329,9929,0.5984932964978886,1.0037383809934621
2,3.0,Denver Rockets*,84,20360,3743,8381,0.447,188,684,0.275,3555,7697,0.462,2023,2713,0.746,1621,3224,4845,1621,,,1404,2064,9697,0.5984932964978886,1.0037383809934621
3,4.0,Los Angeles Stars*,84,20410,3575,8120,0.44,131,489,0.268,3444,7631,0.451,2266,3022,0.75,1498,3099,4597,1772,,,1593,2234,9547,0.5984932964978886,1.0037383809934621
4,5.0,Kentucky Colonels*,84,20360,3593,8378,0.429,330,923,0.358,3263,7455,0.438,2020,2733,0.739,1714,3019,4733,1765,,,1637,2409,9536,0.5984932964978886,1.0037383809934621
5,6.0,Indiana Pacers*,84,20285,3593,7896,0.455,215,784,0.274,3378,7112,0.475,2110,2846,0.741,1496,2937,4433,1826,,,1485,2125,9511,0.5984932964978886,1.0037383809934621
6,7.0,Miami Floridians,84,20185,3598,8345,0.431,88,342,0.257,3510,8003,0.439,2225,2991,0.744,1685,2806,4491,1281,,,1569,2264,9509,0.5984932964978886,1.0037383809934621
7,8.0,Pittsburgh Pipers,84,20335,3721,8370,0.445,128,477,0.268,3593,7893,0.455,1875,2673,0.701,1661,3059,4720,1629,,,1760,2184,9445,0.5984932964978886,1.0037383809934621
8,9.0,New York Nets*,84,20335,3543,7854,0.451,70,282,0.248,3473,7572,0.459,1990,2826,0.704,1609,2547,4156,1762,,,1714,2381,9146,0.5984932964978886,1.0037383809934621
9,10.0,New Orleans Buccaneers,84,20435,3463,7982,0.434,168,596,0.282,3295,7386,0.446,1970,2531,0.778,1342,3100,4442,1638,,,1526,2091,9064,0.5984932964978886,1.0037383809934621
10,11.0,Carolina Cougars*,84,20260,3470,7859,0.442,89,329,0.271,3381,7530,0.449,1942,2662,0.73,1470,2839,4309,1746,,,1621,2243,8971,0.5984932964978886,1.0037383809934621
11,,League Average,84,20319,3617,8131,0.445,155,531,0.291,3462,7600,0.456,2106,2831,0.744,1555,2990,4545,1694,,,1637,2224,9494,0.5984932964978886,1.0037383809934621
