Unnamed: 0,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League_Factor,League_VOP
0,1.0,Pittsburgh Condors,84,20310,3912,8226,0.476,140,448,0.313,3772,7778,0.485,2052,2725,0.753,1596,2842,4438,1835,,,1714,2185,10016,0.5994900338569781,1.0363246005945448
1,2.0,Virginia Squires*,84,20385,3913,8458,0.463,61,247,0.247,3852,8211,0.469,2101,2788,0.754,1720,2941,4661,1764,,,1645,2234,9988,0.5994900338569781,1.0363246005945448
2,3.0,Utah Stars*,84,20285,3731,7767,0.48,171,481,0.356,3560,7286,0.489,2259,2863,0.789,1479,3056,4535,1854,,,1508,2060,9892,0.5994900338569781,1.0363246005945448
3,4.0,Kentucky Colonels*,84,20260,3803,7796,0.488,134,391,0.343,3669,7405,0.495,2003,2697,0.743,1419,3083,4502,2136,,,1543,1959,9743,0.5994900338569781,1.0363246005945448
4,5.0,Carolina Cougars,84,20235,3818,8391,0.455,140,496,0.282,3678,7895,0.466,1870,2536,0.737,1501,2808,4309,1735,,,1480,2173,9646,0.5994900338569781,1.0363246005945448
5,6.0,Indiana Pacers*,84,20360,3601,7805,0.461,220,750,0.293,3381,7055,0.479,2065,2756,0.749,1574,3004,4578,1731,,,1524,1908,9487,0.5994900338569781,1.0363246005945448
6,7.0,New York Nets*,84,20435,3697,7698,0.48,92,318,0.289,3605,7380,0.488,1990,2589,0.769,1284,2871,4155,1842,,,1655,2065,9476,0.5994900338569781,1.0363246005945448
7,8.0,The Floridians*,84,20385,3547,7797,0.455,187,589,0.317,3360,7208,0.466,2190,2817,0.777,1225,2749,3974,1871,,,1505,2125,9471,0.5994900338569781,1.0363246005945448
8,9.0,Denver Rockets*,84,20310,3703,8247,0.449,41,178,0.23,3662,8069,0.454,1953,2601,0.751,1626,2855,4481,1995,,,1450,2334,9400,0.5994900338569781,1.0363246005945448
9,10.0,Memphis Pros,84,20285,3500,8408,0.416,154,652,0.236,3346,7756,0.431,1875,2525,0.743,1845,2960,4805,1611,,,1565,2169,9029,0.5994900338569781,1.0363246005945448
10,11.0,Dallas Chaparrals*,84,20410,3362,7502,0.448,103,307,0.336,3259,7195,0.453,1943,2498,0.778,1331,2660,3991,1486,,,1216,2315,8770,0.5994900338569781,1.0363246005945448
11,,League Average,84,20333,3690,8009,0.461,131,442,0.297,3559,7567,0.47,2027,2672,0.759,1509,2894,4403,1805,,,1528,2139,9538,0.5994900338569781,1.0363246005945448
