Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,20-043,PHI,,PHO,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,78.0,4.875,0.0,84.49999999999997,5.281249999999998
11,12,,2022-11-10,20-046,PHI,@,ATL,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,59.0,3.6875,0.0,63.1,3.94375
12,13,,2022-11-12,20-048,PHI,,ATL,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,103.0,6.4375,0.0,106.29999999999998,6.643749999999999
13,14,,2022-11-13,20-049,PHI,,UTA,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,82.0,5.125,0.0,94.40000000000002,5.900000000000001
14,15,,2022-11-18,20-054,PHI,,MIL,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,80.0,5.0,0.0,90.9,5.68125
15,16,,2022-11-19,20-055,PHI,,MIN,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,66.0,4.125,0.0,69.1,4.31875
16,17,,2022-11-22,20-058,PHI,,BRK,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,89.0,5.5625,0.0,95.7,5.98125
17,18,,2022-11-23,20-059,PHI,@,CHO,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,68.0,4.25,0.0,72.60000000000001,4.5375000000000005
18,19,,2022-11-25,20-061,PHI,@,ORL,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,84.0,5.25,0.0,96.1,6.00625
19,20,,2022-11-27,20-063,PHI,@,ORL,W (+30),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,13,16,15,8,12,1,7,11,12,16,16,14,11,56.0,77.0,37.0,78.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.2142857142857142,0.1688311688311688,0.4324324324324324,0.1923076923076923,0.1379310344827586,0.1818181818181818,0.0,0.0,0.5,0.0985915492957746,0.0,0.1929824561403508,0.16,0.2318840579710145,0.0,0.2105263157894736,0.1891891891891892,0.1833333333333333,7,4,38.0,79.0,80.0,0.0875,0.1052631578947368,0.0,16,,122.0,7.625,0.0,127.7,7.98125
