Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Saben Lee,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
11,12,9,2022-11-10,23-149,PHI,@,ATL,L (-9),0,9:12,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,1.0,2.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,-0.3,-14,1.0,0.0,0.0,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,2.0,57.0,3.0,-0.2999999999999998,63.39999999999999,3.3368421052631576
12,13,10,2022-11-12,23-151,PHI,,ATL,W (+12),0,7:59,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,-1.3,-10,0.0,0.0,,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,1.0,102.0,5.368421052631579,-1.3,107.6,5.663157894736842
13,14,11,2022-11-13,23-152,PHI,,UTA,W (+7),0,4:45,0.0,2.0,.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.4,-7,2.0,0.0,0.0,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,0.0,82.0,4.315789473684211,-0.4,94.8,4.989473684210526
14,15,12,2022-11-18,23-157,PHI,,MIL,W (+8),0,12:26,1.0,2.0,.500,0.0,0.0,,0,0.0,,1.0,5.0,6.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,+5,2.0,1.0,0.5,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,7.0,73.0,3.842105263157895,2.999999999999999,87.89999999999999,4.626315789473684
15,16,13,2022-11-19,23-158,PHI,,MIN,L (-3),0,12:26,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,4.0,5.0,3.0,1.0,0.0,0.0,3.0,2.0,5.5,-9,1.0,1.0,1.0,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,10.0,56.0,2.9473684210526314,5.499999999999999,63.6,3.3473684210526318
16,17,14,2022-11-22,23-161,PHI,,BRK,W (+9),0,31:13,7.0,9.0,.778,0.0,0.0,,5,6.0,.833,5.0,5.0,10.0,0.0,3.0,2.0,2.0,1.0,19.0,22.1,+21,9.0,7.0,0.7777777777777778,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,17.0,72.0,3.789473684210526,20.1,75.60000000000001,3.978947368421053
17,18,15,2022-11-23,23-162,PHI,@,CHO,L (-6),0,21:43,3.0,4.0,.750,0.0,0.0,,0,0.0,,1.0,7.0,8.0,1.0,2.0,3.0,2.0,4.0,6.0,8.4,-7,4.0,3.0,0.75,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,14.0,54.0,2.8421052631578947,8.4,64.20000000000002,3.3789473684210534
18,19,16,2022-11-25,23-164,PHI,@,ORL,W (+8),0,19:31,3.0,7.0,.429,0.0,1.0,.000,0,0.0,,5.0,2.0,7.0,2.0,1.0,0.0,0.0,6.0,6.0,6.4,-6,6.0,3.0,0.5,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,9.0,75.0,3.947368421052632,6.4,89.7,4.721052631578948
19,20,17,2022-11-27,23-166,PHI,@,ORL,W (+30),0,30:08,6.0,6.0,1.000,0.0,0.0,,0,0.0,,3.0,10.0,13.0,3.0,1.0,2.0,5.0,4.0,12.0,13.2,+28,6.0,6.0,1.0,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,20.0,102.0,5.368421052631579,13.2,114.5,6.026315789473684
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,,0.0,0.0,0.0,0.0,0.0
21,21,18,2022-11-28,23-167,PHI,,ATL,W (+3),0,12:32,1.0,2.0,.500,0.0,0.0,,0,0.0,,3.0,4.0,7.0,0.0,1.0,0.0,2.0,2.0,2.0,2.5,-1,2.0,1.0,0.5,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,6.0,83.0,4.368421052631579,2.500000000000001,96.4,5.0736842105263165
22,22,19,2022-11-30,23-169,PHI,@,CLE,L (-28),0,14:25,4.0,4.0,1.000,0.0,0.0,,1,2.0,.500,2.0,3.0,5.0,2.0,0.0,1.0,2.0,2.0,9.0,9.0,-12,4.0,4.0,1.0,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,9.0,32.0,1.6842105263157894,8.599999999999998,42.5,2.236842105263158
23,23,20,2022-12-02,23-171,PHI,@,MEM,L (-8),0,6:15,1.0,3.0,.333,0.0,0.0,,0,0.0,,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1.9,-16,3.0,1.0,0.3333333333333333,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,2.0,89.0,4.684210526315789,1.9,86.89999999999999,4.573684210526316
24,24,21,2022-12-05,23-174,PHI,@,HOU,L (-9),0,16:11,2.0,4.0,.500,0.0,0.0,,2,4.0,.500,2.0,1.0,3.0,0.0,0.0,3.0,0.0,5.0,6.0,5.0,-8,4.0,2.0,0.5,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,4.0,76.0,4.0,4.199999999999999,79.7,4.1947368421052635
25,25,22,2022-12-09,23-178,PHI,,LAL,W (+11),0,3:37,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.9,-12,1.0,0.0,0.0,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,-1.0,103.0,5.421052631578948,-1.9,109.2,5.747368421052632
26,26,23,2022-12-11,23-180,PHI,,CHO,W (+18),0,1:41,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+1,0.0,0.0,,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,0.0,122.0,6.421052631578948,0.0,125.1,6.584210526315789
27,27,24,2022-12-13,23-182,PHI,,SAC,W (+20),0,5:33,0.0,3.0,.000,0.0,0.0,,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-6,3.0,0.0,0.0,51,64,37,65,16,45,54,2,1,2,36,44,62,1,65,62,49,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,25.0,76.0,74.0,60.0,0.9107142857142856,0.8311688311688312,1.0,0.8333333333333334,1.0,0.7758620689655172,0.8181818181818182,0.1176470588235294,1.0,1.0,0.5070422535211268,0.0,0.7719298245614035,0.8266666666666667,0.04,0.8552631578947368,0.8378378378378378,0.8166666666666667,21,8,38.0,79.0,80.0,0.2625,0.2105263157894736,0.0,19,-1.0,95.0,5.0,-1.0999999999999996,101.0,5.315789473684211
