Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Shake Milton,Shared Games with Tobias Harris,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,co_inf with Jalen McDaniels,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2023-02-15,24-040,PHI,,CLE,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,78.0,6.5,0.0,61.5,5.125
1,2,,2023-02-23,24-048,PHI,,MEM,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,81.0,6.75,0.0,52.1,4.341666666666667
2,3,,2023-02-25,24-050,PHI,,BOS,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,88.0,7.333333333333333,0.0,61.29999999999998,5.108333333333332
3,4,,2023-02-27,24-052,PHI,,MIA,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,99.0,8.25,0.0,89.49999999999999,7.458333333333332
4,5,,2023-03-01,24-054,PHI,@,MIA,W (+23),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,76.0,6.333333333333333,0.0,59.6,4.966666666666667
5,6,,2023-03-02,24-055,PHI,@,DAL,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,101.0,8.416666666666666,0.0,49.69999999999999,4.141666666666666
6,7,,2023-03-04,24-057,PHI,@,MIL,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,90.0,7.5,0.0,76.89999999999999,6.408333333333332
7,8,,2023-03-06,24-059,PHI,@,IND,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,93.0,7.75,0.0,76.19999999999999,6.349999999999999
8,9,,2023-03-07,24-060,PHI,@,MIN,W (+23),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,80.0,6.666666666666667,0.0,43.400000000000006,3.616666666666667
9,10,,2023-03-10,24-063,PHI,,POR,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,2,2,1,1,2,2,2,2,2,2,2,2,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.0,0.0259740259740259,0.054054054054054,0.0128205128205128,0.0625,0.0344827586206896,0.0303030303030303,0.0,0.0,0.028169014084507,0.0,0.0350877192982456,0.0266666666666666,0.0289855072463768,0.0,0.0263157894736842,0.027027027027027,0.0,38.0,79.0,80.0,0.0,0.0,0.0,12,,71.0,5.916666666666667,0.0,55.1,4.591666666666667
