Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Gary Payton II,Shared Games with Greg Brown III,Shared Games with Jabari Walker,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Josh Hart,Shared Games with Justin Minaya,Shared Games with Justise Winslow,Shared Games with Jusuf Nurkić,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Kevin Knox,Shared Games with Cam Reddish,Shared Games with Matisse Thybulle,Shared Games with Ryan Arcidiacono,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,20-223,POR,SAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,100.0,4.761904761904762,0.0,103.6,4.933333333333333,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,W (+7),W (+7)
2.0,,2022-10-21,20-225,POR,PHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,79.0,3.761904761904762,0.0,86.39999999999998,4.114285714285713,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,W (+2),W (+2)
3.0,,2022-10-23,20-227,POR,LAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,101.0,4.809523809523809,0.0,96.2,4.580952380952381,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,W (+2),W (+2)
4.0,1.0,2022-10-24,20-228,POR,DEN,0,9.633333333333333,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,1.0,0.0,2.0,3.0,1.0,3.0,1.3,+4,0.0,0.0,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,3.0,106.0,5.047619047619048,1.299999999999999,118.3,5.633333333333333,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,W (+25),W (+25)
5.0,2.0,2022-10-26,20-230,POR,MIA,0,8.283333333333333,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,0.2,-2,1.0,1.0,1.0,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,2.0,54.0,2.571428571428572,0.2000000000000001,66.9,3.185714285714286,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,L (-21),L (-21)
6.0,3.0,2022-10-28,20-232,POR,HOU,0,16.8,3.0,7.0,.429,1.0,4.0,.250,1,2.0,.500,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,8.0,6.5,-5,3.0,2.0,0.6666666666666666,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,3.0,115.0,5.476190476190476,6.1,121.00000000000004,5.761904761904764,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,W (+14),W (+14)
7.0,4.0,2022-11-02,20-237,POR,MEM,0,17.566666666666666,4.0,9.0,.444,2.0,5.0,.400,0,0.0,,1.0,4.0,5.0,3.0,0.0,0.0,1.0,1.0,10.0,7.9,-3,4.0,2.0,0.5,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,8.0,54.0,2.571428571428572,7.899999999999997,60.1,2.861904761904762,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,L (-5),L (-5)
8.0,5.0,2022-11-04,20-239,POR,PHO,0,23.216666666666665,4.0,13.0,.308,2.0,8.0,.250,1,2.0,.500,1.0,1.0,2.0,1.0,2.0,0.0,3.0,4.0,11.0,2.2,+2,5.0,2.0,0.4,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,-2.0,90.0,4.285714285714286,1.8000000000000007,85.8,4.085714285714285,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,W (+2),W (+2)
9.0,6.0,2022-11-05,20-240,POR,PHO,0,30.85,3.0,12.0,.250,2.0,3.0,.667,0,2.0,.000,1.0,1.0,2.0,3.0,1.0,0.0,4.0,2.0,8.0,-0.7,-16,9.0,1.0,0.1111111111111111,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,-4.0,44.0,2.095238095238096,-0.6999999999999993,40.6,1.933333333333333,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,L (-20),L (-20)
10.0,,2022-11-07,20-242,POR,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,31,40,7,12,34,2,31,5,24,1,12,27,24,40,3,31,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,54.0,9.0,80.0,5.0,6,62.0,0.4838709677419355,0.0,0.5344827586206896,0.5128205128205128,0.3181818181818182,0.75,0.6071428571428571,0.4,0.492063492063492,0.2631578947368421,0.3157894736842105,0.25,0.4137931034482758,0.5192307692307693,0.4444444444444444,0.0,0.5,0.0,0.5,0.5,10,14,15,7,40.0,74.0,63.0,71.0,20.0,0.1587301587301587,0.35,0.0,0.2112676056338028,0.35,21,,67.0,3.1904761904761907,0.0,77.9,3.7095238095238097,9.0,-0.5,-5.4,-3.8,-1.6,0.0203247661038821,0.482,0.455,0.23,-0.4,-0.7,W (+3),W (+3)
