Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Chance Comanche,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Greg Brown III,Shared Games with Jabari Walker,Shared Games with Jerami Grant,Shared Games with Josh Hart,Shared Games with Justin Minaya,Shared Games with Justise Winslow,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Skylar Mays,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Kevin Knox,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1,1,2023-04-02,24-049,POR,MIN,0,13.4,3,6,0.5,1,1,1.0,0,0,,4,1,5,0,0,0,1,3,7,4.9,5,5,2,0.4,5,1,5,5,2,2,5,5,4,4,5,2,5,5,5,62.0,1,58.0,78.0,22.0,16.0,56.0,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.0806451612903225,1.0,0.0862068965517241,0.0641025641025641,0.0,0.125,0.0357142857142857,0.0793650793650793,0.0,0.0657894736842105,1.0,0.1379310344827586,0.0961538461538461,0.05,0.0925925925925925,0.0,0.0625,0.0,0.8333333333333334,0.0,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,15,5,95.0,6.333333333333333,4.900000000000001,90.79999999999998,6.053333333333332,0.0056995375846865,W (+2),W (+2)
2,2,2023-04-04,24-051,POR,MEM,1,28.916666666666668,2,6,0.333,0,3,0.0,0,0,,0,1,1,3,3,2,0,1,4,7.0,-9,3,2,0.6666666666666666,5,1,5,5,2,2,5,5,4,4,5,2,5,5,5,62.0,1,58.0,78.0,22.0,16.0,56.0,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.0806451612903225,1.0,0.0862068965517241,0.0641025641025641,0.0,0.125,0.0357142857142857,0.0793650793650793,0.0,0.0657894736842105,1.0,0.1379310344827586,0.0961538461538461,0.05,0.0925925925925925,0.0,0.0625,0.0,0.8333333333333334,0.0,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,15,7,72.0,4.8,7.0,80.99999999999999,5.4,0.0056995375846865,L (-10),L (-10)
3,3,2023-04-06,24-053,POR,SAS,1,31.933333333333334,8,10,0.8,0,1,0.0,0,0,,2,2,4,4,0,0,1,6,16,13.6,-4,9,8,0.8888888888888888,5,1,5,5,2,2,5,5,4,4,5,2,5,5,5,62.0,1,58.0,78.0,22.0,16.0,56.0,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.0806451612903225,1.0,0.0862068965517241,0.0641025641025641,0.0,0.125,0.0357142857142857,0.0793650793650793,0.0,0.0657894736842105,1.0,0.1379310344827586,0.0961538461538461,0.05,0.0925925925925925,0.0,0.0625,0.0,0.8333333333333334,0.0,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,15,13,88.0,5.866666666666666,13.6,77.70000000000002,5.1800000000000015,0.0056995375846865,L (-2),L (-2)
4,4,2023-04-08,24-055,POR,LAC,1,21.3,4,5,0.8,1,1,1.0,0,1,0.0,1,0,1,0,0,0,1,2,9,5.6,-5,4,3,0.75,5,1,5,5,2,2,5,5,4,4,5,2,5,5,5,62.0,1,58.0,78.0,22.0,16.0,56.0,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.0806451612903225,1.0,0.0862068965517241,0.0641025641025641,0.0,0.125,0.0357142857142857,0.0793650793650793,0.0,0.0657894736842105,1.0,0.1379310344827586,0.0961538461538461,0.05,0.0925925925925925,0.0,0.0625,0.0,0.8333333333333334,0.0,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,15,3,106.0,7.066666666666666,5.599999999999999,112.7,7.513333333333334,0.0056995375846865,L (-11),L (-11)
5,5,2023-04-09,24-056,POR,GSW,1,31.016666666666666,7,12,0.583,1,2,0.5,2,2,1.0,3,1,4,3,0,0,1,1,17,14.5,-25,10,6,0.6,5,1,5,5,2,2,5,5,4,4,5,2,5,5,5,62.0,1,58.0,78.0,22.0,16.0,56.0,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.0806451612903225,1.0,0.0862068965517241,0.0641025641025641,0.0,0.125,0.0357142857142857,0.0793650793650793,0.0,0.0657894736842105,1.0,0.1379310344827586,0.0961538461538461,0.05,0.0925925925925925,0.0,0.0625,0.0,0.8333333333333334,0.0,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,15,9,47.0,3.1333333333333333,13.699999999999998,53.7,3.58,0.0056995375846865,L (-56),L (-56)
