Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Chance Comanche,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Greg Brown III,Shared Games with Jabari Walker,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Josh Hart,Shared Games with Justin Minaya,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,10.0,2022-11-09,26-228,POR,CHO,1,26.23333333333333,3.0,6.0,.500,0.0,2.0,.000,0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,6.0,1.2,-12,4.0,3.0,0.75,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,1.0,72.0,4.235294117647059,1.200000000000002,74.0,4.352941176470588,9.3,0.4,-2.8,-3.4,0.6,0.0210775352188407,0.466,0.227,0.141,-0.2,-0.1,W (+10),W (+10)
12.0,11.0,2022-11-10,26-229,POR,NOP,1,38.38333333333333,3.0,12.0,.250,1.0,4.0,.250,5,8.0,.625,3.0,5.0,8.0,6.0,0.0,1.0,0.0,4.0,12.0,10.5,+2,8.0,2.0,0.25,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,7.0,62.0,3.647058823529412,8.499999999999998,60.49999999999999,3.5588235294117645,9.3,0.4,-2.8,-3.4,0.6,0.0210775352188407,0.466,0.227,0.141,-0.2,-0.1,W (+11),W (+11)
13.0,,2022-11-12,26-231,POR,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,,90.0,5.294117647058823,0.0,76.9,4.523529411764706,9.3,0.4,-2.8,-3.4,0.6,0.0210775352188407,0.466,0.227,0.141,-0.2,-0.1,L (-5),L (-5)
14.0,,2022-11-15,26-234,POR,SAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,,81.0,4.764705882352941,0.0,74.10000000000001,4.358823529411765,9.3,0.4,-2.8,-3.4,0.6,0.0210775352188407,0.466,0.227,0.141,-0.2,-0.1,W (+7),W (+7)
15.0,12.0,2022-11-17,26-236,POR,BRK,0,28.416666666666668,1.0,3.0,.333,0.0,0.0,,0,0.0,,1.0,3.0,4.0,3.0,2.0,0.0,1.0,5.0,2.0,3.0,+10,3.0,1.0,0.3333333333333333,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,7.0,51.0,3.0,3.0,58.400000000000006,3.435294117647059,9.3,0.4,-2.8,-3.4,0.6,0.0210775352188407,0.466,0.227,0.141,-0.2,-0.1,L (-2),L (-2)
16.0,13.0,2022-11-19,26-238,POR,UTA,0,26.28333333333333,0.0,2.0,.000,0.0,1.0,.000,1,2.0,.500,0.0,5.0,5.0,5.0,0.0,1.0,4.0,5.0,1.0,-1.1,+4,1.0,0.0,0.0,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,4.0,73.0,4.294117647058823,-1.4999999999999991,70.80000000000001,4.1647058823529415,9.3,0.4,-2.8,-3.4,0.6,0.0210775352188407,0.466,0.227,0.141,-0.2,-0.1,L (-5),L (-5)
17.0,14.0,2022-11-21,26-240,POR,MIL,0,17.833333333333332,4.0,8.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,8.0,1.5,-11,7.0,4.0,0.5714285714285714,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,-1.0,51.0,3.0,1.4999999999999991,54.9,3.2294117647058824,9.3,0.4,-2.8,-3.4,0.6,0.0210775352188407,0.466,0.227,0.141,-0.2,-0.1,L (-8),L (-8)
18.0,15.0,2022-11-23,26-242,POR,CLE,1,28.03333333333333,2.0,10.0,.200,1.0,3.0,.333,0,0.0,,2.0,2.0,4.0,6.0,2.0,1.0,0.0,3.0,5.0,6.5,-21,7.0,1.0,0.1428571428571428,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,8.0,68.0,4.0,6.499999999999997,54.7,3.217647058823529,9.3,0.4,-2.8,-3.4,0.6,0.0210775352188407,0.466,0.227,0.141,-0.2,-0.1,L (-18),L (-18)
19.0,16.0,2022-11-25,26-244,POR,NYK,1,46.38333333333333,3.0,10.0,.300,0.0,1.0,.000,1,2.0,.500,4.0,7.0,11.0,4.0,0.0,0.0,0.0,5.0,7.0,6.5,+2,9.0,3.0,0.3333333333333333,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,10.0,61.0,3.588235294117647,6.099999999999998,70.80000000000001,4.1647058823529415,9.3,0.4,-2.8,-3.4,0.6,0.0210775352188407,0.466,0.227,0.141,-0.2,-0.1,W (+3),W (+3)
20.0,17.0,2022-11-27,26-246,POR,BRK,1,37.18333333333333,5.0,10.0,.500,2.0,4.0,.500,2,2.0,1.000,1.0,6.0,7.0,6.0,0.0,0.0,3.0,4.0,14.0,11.1,-10,6.0,3.0,0.5,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,12.0,54.0,3.176470588235294,10.3,50.0,2.9411764705882355,9.3,0.4,-2.8,-3.4,0.6,0.0210775352188407,0.466,0.227,0.141,-0.2,-0.1,L (-14),L (-14)
21.0,18.0,2022-11-29,26-248,POR,LAC,1,33.733333333333334,4.0,10.0,.400,0.0,1.0,.000,2,2.0,1.000,2.0,11.0,13.0,2.0,1.0,0.0,2.0,3.0,10.0,8.5,-3,9.0,4.0,0.4444444444444444,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,12.0,75.0,4.411764705882353,7.699999999999999,65.00000000000001,3.8235294117647065,9.3,0.4,-2.8,-3.4,0.6,0.0210775352188407,0.466,0.227,0.141,-0.2,-0.1,,
22.0,19.0,2022-11-30,26-249,POR,LAL,1,36.3,9.0,11.0,.818,3.0,3.0,1.000,0,0.0,,1.0,4.0,5.0,4.0,0.0,0.0,3.0,5.0,21.0,16.6,-11,8.0,6.0,0.75,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,16.0,76.0,4.470588235294118,16.6,58.29999999999999,3.4294117647058817,9.3,0.4,-2.8,-3.4,0.6,0.0210775352188407,0.466,0.227,0.141,-0.2,-0.1,L (-6),L (-6)
23.0,20.0,2022-12-03,26-252,POR,UTA,1,39.35,1.0,3.0,.333,0.0,0.0,,0,0.0,,2.0,5.0,7.0,5.0,3.0,1.0,2.0,2.0,2.0,7.6,0,3.0,1.0,0.3333333333333333,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,13.0,50.0,2.9411764705882355,7.6,73.89999999999999,4.347058823529411,9.3,0.4,-2.8,-3.4,0.6,0.0210775352188407,0.466,0.227,0.141,-0.2,-0.1,L (-19),L (-19)
24.0,21.0,2022-12-04,26-253,POR,IND,0,23.5,2.0,6.0,.333,0.0,1.0,.000,0,0.0,,3.0,3.0,6.0,3.0,2.0,0.0,3.0,2.0,4.0,3.9,+13,5.0,2.0,0.4,27,1,17,27,8,15,4,27,4,27,3,26,12,18,28,5,21,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.4354838709677419,1.0,0.293103448275862,0.3461538461538461,0.0,0.5,0.2678571428571428,0.8,0.4285714285714285,0.2105263157894736,0.3552631578947368,0.75,0.5,0.3,0.3333333333333333,0.0,0.35,0.0,0.8333333333333334,0.3387096774193548,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,17,6.0,77.0,4.529411764705882,3.9,75.8,4.458823529411765,9.3,0.4,-2.8,-3.4,0.6,0.0210775352188407,0.466,0.227,0.141,-0.2,-0.1,W (+5),W (+5)
