Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Chance Comanche,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Gary Payton II,Shared Games with Greg Brown III,Shared Games with Jabari Walker,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Justin Minaya,Shared Games with Justise Winslow,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Olivier Sarr,Shared Games with Shaedon Sharpe,Shared Games with Shaquille Harrison,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford
0,1,1,2022-10-19,27-227,POR,@,SAC,W (+7),1,38.3,8.0,11.0,.727,0.0,0.0,,3,3,1.000,0,7,7,5,1,0,2,3,19,17.9,-1,11.0,8.0,0.7272727272727273,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,0,50,0,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581
1,2,2,2022-10-21,27-229,POR,,PHO,W (+2),1,40.983333333333334,3.0,9.0,.333,1.0,2.0,.500,3,4,.750,3,4,7,3,2,0,1,3,10,9.7,-3,7.0,2.0,0.2857142857142857,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,0,50,0,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581
2,3,3,2022-10-23,27-231,POR,@,LAL,W (+2),1,36.45,3.0,5.0,.600,1.0,1.0,1.000,2,2,1.000,2,14,16,5,2,0,3,2,9,14.0,-4,4.0,2.0,0.5,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,0,50,0,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581
3,4,4,2022-10-24,27-232,POR,,DEN,W (+25),1,34.5,3.0,7.0,.429,0.0,2.0,.000,0,1,.000,4,7,11,1,0,0,1,1,6,6.1,+20,5.0,3.0,0.6,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,0,50,0,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581
4,5,5,2022-10-26,27-234,POR,,MIA,L (-21),1,31.483333333333334,3.0,4.0,.750,1.0,1.0,1.000,3,3,1.000,2,4,6,6,3,1,2,2,10,16.1,-15,3.0,2.0,0.6666666666666666,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,0,50,0,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581
5,6,6,2022-10-28,27-236,POR,,HOU,W (+14),1,33.8,3.0,8.0,.375,0.0,2.0,.000,3,3,1.000,2,6,8,4,0,0,1,1,9,9.2,+10,6.0,3.0,0.5,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,0,50,0,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581
6,7,7,2022-11-02,27-241,POR,,MEM,L (-5),1,39.61666666666667,1.0,4.0,.250,0.0,1.0,.000,3,5,.600,2,4,6,4,1,1,3,4,5,4.3,-8,3.0,1.0,0.3333333333333333,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,0,50,0,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581
7,8,8,2022-11-04,27-243,POR,@,PHO,W (+2),1,38.28333333333333,3.0,7.0,.429,1.0,2.0,.500,0,0,,1,8,9,6,0,0,3,3,7,6.4,0,5.0,2.0,0.4,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,0,50,0,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581
8,9,9,2022-11-05,27-244,POR,@,PHO,L (-20),1,32.11666666666667,1.0,6.0,.167,1.0,1.0,1.000,1,2,.500,1,6,7,8,1,0,0,3,4,7.7,-18,5.0,0.0,0.0,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,0,50,0,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581
9,10,10,2022-11-07,27-246,POR,@,MIA,W (+3),1,36.85,3.0,5.0,.600,1.0,3.0,.333,5,7,.714,0,9,9,8,2,0,5,3,12,13.0,+13,2.0,2.0,1.0,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,0,50,0,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581
10,11,11,2022-11-09,27-248,POR,@,CHO,W (+10),1,35.25,2.0,9.0,.222,0.0,3.0,.000,1,3,.333,0,11,11,2,1,0,0,3,5,3.2,+3,6.0,2.0,0.3333333333333333,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,0,50,0,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581
11,12,12,2022-11-10,27-249,POR,@,NOP,W (+11),1,38.21666666666667,7.0,13.0,.538,1.0,3.0,.333,2,2,1.000,1,6,7,2,1,0,1,1,17,14.2,+10,10.0,6.0,0.6,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,0,50,0,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581
12,13,13,2022-11-12,27-251,POR,@,DAL,L (-5),1,36.28333333333333,0.0,9.0,.000,0.0,2.0,.000,2,6,.333,4,5,9,3,1,0,1,3,2,-0.7,0,7.0,0.0,0.0,49,1,41,50,13,14,31,5,49,7,4,27,43,24,32,0,50,0,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7903225806451613,1.0,0.7068965517241379,0.6410256410256411,0.5909090909090909,0.875,0.5535714285714286,1.0,0.7777777777777778,0.3684210526315789,1.0,0.9310344827586208,0.8269230769230769,0.6,0.5925925925925926,0.0,0.625,0.0,1.0,0.5645161290322581
