Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Chance Comanche,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Gary Payton II,Shared Games with Greg Brown III,Shared Games with Jabari Walker,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Josh Hart,Shared Games with Justin Minaya,Shared Games with Justise Winslow,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Kevin Knox,Shared Games with Cam Reddish,Shared Games with Matisse Thybulle,Shared Games with Ryan Arcidiacono,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,19-142,POR,SAC,0.0,16.3,4.0,6.0,0.667,3.0,3.0,1.0,1.0,2.0,0.5,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,12.0,9.5,8.0,3.0,1.0,0.3333333333333333,61,1,58,76,15,16,54,5,62,18,50,4,28,52,40,53,6,60,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,5.0,6,62.0,0.9838709677419356,1.0,1.0,0.9743589743589745,0.6818181818181818,1.0,0.9642857142857144,1.0,0.984126984126984,0.9473684210526316,0.6578947368421053,1.0,0.9655172413793104,1.0,1.0,0.9814814814814816,0.0,0.0,1.0,0.967741935483871,19,20,22,9,40.0,74.0,63.0,71.0,20.0,0.3015873015873015,0.5,0.0,0.3098591549295774,0.45,22,7.0,93.0,4.227272727272728,9.099999999999998,100.0,4.545454545454546,11.5,1.2,-3.3,-1.3,-2.0,0.0848478331003333,0.568,0.437,0.162,-0.6,0.6,W (+7),W (+7)
2.0,2.0,2022-10-21,19-144,POR,PHO,0.0,11.95,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,-3.4,7.0,1.0,0.0,0.0,61,1,58,76,15,16,54,5,62,18,50,4,28,52,40,53,6,60,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,5.0,6,62.0,0.9838709677419356,1.0,1.0,0.9743589743589745,0.6818181818181818,1.0,0.9642857142857144,1.0,0.984126984126984,0.9473684210526316,0.6578947368421053,1.0,0.9655172413793104,1.0,1.0,0.9814814814814816,0.0,0.0,1.0,0.967741935483871,19,20,22,9,40.0,74.0,63.0,71.0,20.0,0.3015873015873015,0.5,0.0,0.3098591549295774,0.45,22,-1.0,80.0,3.636363636363636,-3.4,89.79999999999998,4.081818181818181,11.5,1.2,-3.3,-1.3,-2.0,0.0848478331003333,0.568,0.437,0.162,-0.6,0.6,W (+2),W (+2)
3.0,3.0,2022-10-23,19-146,POR,LAL,0.0,16.266666666666666,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,3.6,8.0,5.0,2.0,0.4,61,1,58,76,15,16,54,5,62,18,50,4,28,52,40,53,6,60,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,5.0,6,62.0,0.9838709677419356,1.0,1.0,0.9743589743589745,0.6818181818181818,1.0,0.9642857142857144,1.0,0.984126984126984,0.9473684210526316,0.6578947368421053,1.0,0.9655172413793104,1.0,1.0,0.9814814814814816,0.0,0.0,1.0,0.967741935483871,19,20,22,9,40.0,74.0,63.0,71.0,20.0,0.3015873015873015,0.5,0.0,0.3098591549295774,0.45,22,4.0,97.0,4.409090909090909,3.5999999999999988,92.6,4.209090909090909,11.5,1.2,-3.3,-1.3,-2.0,0.0848478331003333,0.568,0.437,0.162,-0.6,0.6,W (+2),W (+2)
4.0,4.0,2022-10-24,19-147,POR,DEN,0.0,16.116666666666667,4.0,6.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,11.0,7.3,7.0,4.0,3.0,0.75,61,1,58,76,15,16,54,5,62,18,50,4,28,52,40,53,6,60,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,5.0,6,62.0,0.9838709677419356,1.0,1.0,0.9743589743589745,0.6818181818181818,1.0,0.9642857142857144,1.0,0.984126984126984,0.9473684210526316,0.6578947368421053,1.0,0.9655172413793104,1.0,1.0,0.9814814814814816,0.0,0.0,1.0,0.967741935483871,19,20,22,9,40.0,74.0,63.0,71.0,20.0,0.3015873015873015,0.5,0.0,0.3098591549295774,0.45,22,3.0,106.0,4.818181818181818,6.499999999999999,113.09999999999998,5.14090909090909,11.5,1.2,-3.3,-1.3,-2.0,0.0848478331003333,0.568,0.437,0.162,-0.6,0.6,W (+25),W (+25)
5.0,5.0,2022-10-26,19-149,POR,MIA,0.0,21.4,5.0,12.0,0.417,2.0,5.0,0.4,3.0,5.0,0.6,3.0,5.0,8.0,0.0,1.0,0.0,2.0,2.0,15.0,9.6,-9.0,7.0,3.0,0.4285714285714285,61,1,58,76,15,16,54,5,62,18,50,4,28,52,40,53,6,60,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,5.0,6,62.0,0.9838709677419356,1.0,1.0,0.9743589743589745,0.6818181818181818,1.0,0.9642857142857144,1.0,0.984126984126984,0.9473684210526316,0.6578947368421053,1.0,0.9655172413793104,1.0,1.0,0.9814814814814816,0.0,0.0,1.0,0.967741935483871,19,20,22,9,40.0,74.0,63.0,71.0,20.0,0.3015873015873015,0.5,0.0,0.3098591549295774,0.45,22,5.0,51.0,2.3181818181818183,8.400000000000002,58.7,2.6681818181818184,11.5,1.2,-3.3,-1.3,-2.0,0.0848478331003333,0.568,0.437,0.162,-0.6,0.6,L (-21),L (-21)
6.0,6.0,2022-10-28,19-151,POR,HOU,1.0,29.433333333333334,7.0,12.0,0.583,0.0,2.0,0.0,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,14.0,8.9,-1.0,10.0,7.0,0.7,61,1,58,76,15,16,54,5,62,18,50,4,28,52,40,53,6,60,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,5.0,6,62.0,0.9838709677419356,1.0,1.0,0.9743589743589745,0.6818181818181818,1.0,0.9642857142857144,1.0,0.984126984126984,0.9473684210526316,0.6578947368421053,1.0,0.9655172413793104,1.0,1.0,0.9814814814814816,0.0,0.0,1.0,0.967741935483871,19,20,22,9,40.0,74.0,63.0,71.0,20.0,0.3015873015873015,0.5,0.0,0.3098591549295774,0.45,22,5.0,113.0,5.136363636363637,8.9,118.20000000000002,5.372727272727274,11.5,1.2,-3.3,-1.3,-2.0,0.0848478331003333,0.568,0.437,0.162,-0.6,0.6,W (+14),W (+14)
7.0,7.0,2022-11-02,19-156,POR,MEM,1.0,24.133333333333333,1.0,6.0,0.167,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.1,-6.0,5.0,1.0,0.2,61,1,58,76,15,16,54,5,62,18,50,4,28,52,40,53,6,60,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,5.0,6,62.0,0.9838709677419356,1.0,1.0,0.9743589743589745,0.6818181818181818,1.0,0.9642857142857144,1.0,0.984126984126984,0.9473684210526316,0.6578947368421053,1.0,0.9655172413793104,1.0,1.0,0.9814814814814816,0.0,0.0,1.0,0.967741935483871,19,20,22,9,40.0,74.0,63.0,71.0,20.0,0.3015873015873015,0.5,0.0,0.3098591549295774,0.45,22,1.0,61.0,2.772727272727273,1.100000000000001,66.89999999999999,3.0409090909090906,11.5,1.2,-3.3,-1.3,-2.0,0.0848478331003333,0.568,0.437,0.162,-0.6,0.6,L (-5),L (-5)
8.0,8.0,2022-11-04,19-158,POR,PHO,1.0,27.566666666666663,4.0,8.0,0.5,2.0,3.0,0.667,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,10.0,5.8,-10.0,5.0,2.0,0.4,61,1,58,76,15,16,54,5,62,18,50,4,28,52,40,53,6,60,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,5.0,6,62.0,0.9838709677419356,1.0,1.0,0.9743589743589745,0.6818181818181818,1.0,0.9642857142857144,1.0,0.984126984126984,0.9473684210526316,0.6578947368421053,1.0,0.9655172413793104,1.0,1.0,0.9814814814814816,0.0,0.0,1.0,0.967741935483871,19,20,22,9,40.0,74.0,63.0,71.0,20.0,0.3015873015873015,0.5,0.0,0.3098591549295774,0.45,22,4.0,84.0,3.8181818181818175,5.8,81.80000000000001,3.718181818181818,11.5,1.2,-3.3,-1.3,-2.0,0.0848478331003333,0.568,0.437,0.162,-0.6,0.6,W (+2),W (+2)
9.0,9.0,2022-11-05,19-159,POR,PHO,1.0,26.916666666666668,6.0,12.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,1.0,2.0,2.0,13.0,6.1,-4.0,10.0,5.0,0.5,61,1,58,76,15,16,54,5,62,18,50,4,28,52,40,53,6,60,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,5.0,6,62.0,0.9838709677419356,1.0,1.0,0.9743589743589745,0.6818181818181818,1.0,0.9642857142857144,1.0,0.984126984126984,0.9473684210526316,0.6578947368421053,1.0,0.9655172413793104,1.0,1.0,0.9814814814814816,0.0,0.0,1.0,0.967741935483871,19,20,22,9,40.0,74.0,63.0,71.0,20.0,0.3015873015873015,0.5,0.0,0.3098591549295774,0.45,22,4.0,36.0,1.6363636363636365,6.100000000000001,33.8,1.5363636363636362,11.5,1.2,-3.3,-1.3,-2.0,0.0848478331003333,0.568,0.437,0.162,-0.6,0.6,L (-20),L (-20)
10.0,10.0,2022-11-07,19-161,POR,MIA,0.0,11.983333333333333,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,4.1,-4.0,1.0,1.0,1.0,61,1,58,76,15,16,54,5,62,18,50,4,28,52,40,53,6,60,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,5.0,6,62.0,0.9838709677419356,1.0,1.0,0.9743589743589745,0.6818181818181818,1.0,0.9642857142857144,1.0,0.984126984126984,0.9473684210526316,0.6578947368421053,1.0,0.9655172413793104,1.0,1.0,0.9814814814814816,0.0,0.0,1.0,0.967741935483871,19,20,22,9,40.0,74.0,63.0,71.0,20.0,0.3015873015873015,0.5,0.0,0.3098591549295774,0.45,22,3.0,64.0,2.909090909090909,4.1,73.80000000000001,3.354545454545455,11.5,1.2,-3.3,-1.3,-2.0,0.0848478331003333,0.568,0.437,0.162,-0.6,0.6,W (+3),W (+3)
