Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Chance Comanche,Shared Games with Damian Lillard,Shared Games with Gary Payton II,Shared Games with Greg Brown III,Shared Games with Jabari Walker,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Josh Hart,Shared Games with Justin Minaya,Shared Games with Justise Winslow,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Kevin Knox,Shared Games with Cam Reddish,Shared Games with Matisse Thybulle,Shared Games with Ryan Arcidiacono,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,25-260,POR,SAC,0,15.566666666666666,0.0,0.0,,0.0,0.0,,0,0.0,,1.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,2.6,+4,0.0,0.0,,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,6.0,94.0,4.2727272727272725,2.6,106.5,4.840909090909091,0.0557049145069362,W (+7),W (+7)
2.0,2.0,2022-10-21,25-262,POR,PHO,0,15.5,2.0,3.0,.667,0.0,0.0,,1,1.0,1.000,1.0,4.0,5.0,0.0,1.0,0.0,2.0,0.0,5.0,4.6,+5,3.0,2.0,0.6666666666666666,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,5.0,74.0,3.363636363636364,4.199999999999999,82.19999999999999,3.736363636363636,0.0557049145069362,W (+2),W (+2)
3.0,3.0,2022-10-23,25-264,POR,LAL,0,13.483333333333333,0.0,1.0,.000,0.0,0.0,,4,6.0,.667,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,4.9,-3,1.0,0.0,0.0,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,1.0,100.0,4.545454545454546,3.3,92.9,4.222727272727273,0.0557049145069362,W (+2),W (+2)
4.0,4.0,2022-10-24,25-265,POR,DEN,0,12.066666666666666,1.0,1.0,1.000,0.0,0.0,,2,2.0,1.000,1.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,4.0,5.2,-2,1.0,1.0,1.0,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,5.0,104.0,4.727272727272728,4.4,115.2,5.236363636363636,0.0557049145069362,W (+25),W (+25)
5.0,5.0,2022-10-26,25-267,POR,MIA,0,10.783333333333331,1.0,3.0,.333,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.6,-11,3.0,1.0,0.3333333333333333,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,0.0,56.0,2.5454545454545454,0.6,66.5,3.022727272727273,0.0557049145069362,L (-21),L (-21)
6.0,6.0,2022-10-28,25-269,POR,HOU,0,13.633333333333333,4.0,4.0,1.000,0.0,0.0,,2,2.0,1.000,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,10.0,8.6,+4,4.0,4.0,1.0,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,6.0,112.0,5.090909090909091,7.799999999999999,119.30000000000004,5.422727272727275,0.0557049145069362,W (+14),W (+14)
7.0,7.0,2022-11-02,25-274,POR,MEM,0,10.183333333333334,3.0,6.0,.500,0.0,0.0,,1,2.0,.500,3.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,7.0,1.9,-13,6.0,3.0,0.5,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,-1.0,63.0,2.863636363636364,1.5,66.5,3.022727272727273,0.0557049145069362,L (-5),L (-5)
8.0,8.0,2022-11-04,25-276,POR,PHO,0,23.216666666666665,5.0,5.0,1.000,0.0,0.0,,0,0.0,,1.0,3.0,4.0,1.0,0.0,1.0,1.0,2.0,10.0,9.7,+3,5.0,5.0,1.0,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,10.0,78.0,3.5454545454545454,9.699999999999998,77.9,3.540909090909091,0.0557049145069362,W (+2),W (+2)
9.0,9.0,2022-11-05,25-277,POR,PHO,0,16.3,2.0,4.0,.500,0.0,0.0,,1,2.0,.500,1.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,5.0,3.5,-27,4.0,2.0,0.5,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,3.0,37.0,1.681818181818182,3.1000000000000005,36.8,1.6727272727272726,0.0557049145069362,L (-20),L (-20)
10.0,10.0,2022-11-07,25-279,POR,MIA,0,13.1,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.6,+1,2.0,1.0,0.5,60,1,58,15,15,53,5,61,18,50,4,27,50,40,53,76,6,58,62.0,1,58.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.967741935483871,1.0,1.0,0.6818181818181818,0.9375,0.9464285714285714,1.0,0.9682539682539684,0.9473684210526316,0.6578947368421053,1.0,0.9310344827586208,0.9615384615384616,1.0,0.9814814814814816,0.0,0.95,0.0,1.0,0.935483870967742,18,20,22,9,40.0,74.0,63.0,71.0,20.0,0.2857142857142857,0.5,0.0,0.3098591549295774,0.45,22,3.0,64.0,2.909090909090909,2.6,75.30000000000001,3.4227272727272733,0.0557049145069362,W (+3),W (+3)
