Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Mike Muscala,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Mike Muscala,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Shared Games with Dario Šarić,Shared Games with Olivier Sarr,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,8,2022-11-09,23-130,OKC,,MIL,L (-4),0,4:57,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,+1,0.0,0.0,,65,28,30,22,68,47,35,68,45,36,66,37,33,60,60,70.0,34.0,,43.0,40.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9285714285714286,0.8235294117647058,,0.6976744186046512,0.55,0.9066666666666666,0.0,0.9591836734693876,0.813953488372093,0.8947368421052632,0.8490566037735849,0.8780487804878049,0.8918918918918919,0.5873015873015873,0.8461538461538461,0.8823529411764706,0.8955223880597015,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,5.0,82.0,4.823529411764706,4.0,96.1,5.652941176470588
11,12,9,2022-11-11,23-132,OKC,,TOR,W (+19),0,5:26,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.2,-11,1.0,1.0,1.0,65,28,30,22,68,47,35,68,45,36,66,37,33,60,60,70.0,34.0,,43.0,40.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9285714285714286,0.8235294117647058,,0.6976744186046512,0.55,0.9066666666666666,0.0,0.9591836734693876,0.813953488372093,0.8947368421052632,0.8490566037735849,0.8780487804878049,0.8918918918918919,0.5873015873015873,0.8461538461538461,0.8823529411764706,0.8955223880597015,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,0.0,81.0,4.764705882352941,0.1999999999999999,89.19999999999999,5.247058823529411
12,13,10,2022-11-13,23-134,OKC,@,NYK,W (+10),0,16:53,3.0,6.0,.500,2.0,5.0,.400,0,0.0,,0.0,3.0,3.0,1.0,2.0,0.0,3.0,3.0,8.0,4.4,+11,1.0,1.0,1.0,65,28,30,22,68,47,35,68,45,36,66,37,33,60,60,70.0,34.0,,43.0,40.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9285714285714286,0.8235294117647058,,0.6976744186046512,0.55,0.9066666666666666,0.0,0.9591836734693876,0.813953488372093,0.8947368421052632,0.8490566037735849,0.8780487804878049,0.8918918918918919,0.5873015873015873,0.8461538461538461,0.8823529411764706,0.8955223880597015,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,5.0,89.0,5.235294117647059,4.4,104.4,6.141176470588236
13,14,11,2022-11-14,23-135,OKC,@,BOS,L (-4),0,7:18,0.0,1.0,.000,0.0,1.0,.000,1,3.0,.333,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-2,0.0,0.0,,65,28,30,22,68,47,35,68,45,36,66,37,33,60,60,70.0,34.0,,43.0,40.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9285714285714286,0.8235294117647058,,0.6976744186046512,0.55,0.9066666666666666,0.0,0.9591836734693876,0.813953488372093,0.8947368421052632,0.8490566037735849,0.8780487804878049,0.8918918918918919,0.5873015873015873,0.8461538461538461,0.8823529411764706,0.8955223880597015,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,-1.0,68.0,4.0,-1.4000000000000004,80.0,4.705882352941177
14,15,,2022-11-16,23-137,OKC,@,WAS,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,65,28,30,22,68,47,35,68,45,36,66,37,33,60,60,70.0,34.0,,43.0,40.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9285714285714286,0.8235294117647058,,0.6976744186046512,0.55,0.9066666666666666,0.0,0.9591836734693876,0.813953488372093,0.8947368421052632,0.8490566037735849,0.8780487804878049,0.8918918918918919,0.5873015873015873,0.8461538461538461,0.8823529411764706,0.8955223880597015,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,,75.0,4.411764705882353,0.0,91.4,5.376470588235295
15,16,,2022-11-18,23-139,OKC,@,MEM,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,65,28,30,22,68,47,35,68,45,36,66,37,33,60,60,70.0,34.0,,43.0,40.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9285714285714286,0.8235294117647058,,0.6976744186046512,0.55,0.9066666666666666,0.0,0.9591836734693876,0.813953488372093,0.8947368421052632,0.8490566037735849,0.8780487804878049,0.8918918918918919,0.5873015873015873,0.8461538461538461,0.8823529411764706,0.8955223880597015,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,,81.0,4.764705882352941,0.0,83.39999999999998,4.905882352941175
16,17,12,2022-11-21,23-142,OKC,,NYK,L (-10),0,3:23,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.7,+4,0.0,0.0,,65,28,30,22,68,47,35,68,45,36,66,37,33,60,60,70.0,34.0,,43.0,40.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9285714285714286,0.8235294117647058,,0.6976744186046512,0.55,0.9066666666666666,0.0,0.9591836734693876,0.813953488372093,0.8947368421052632,0.8490566037735849,0.8780487804878049,0.8918918918918919,0.5873015873015873,0.8461538461538461,0.8823529411764706,0.8955223880597015,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,3.0,52.0,3.0588235294117645,1.7,73.70000000000002,4.335294117647059
17,18,13,2022-11-23,23-144,OKC,,DEN,L (-5),0,20:52,7.0,11.0,.636,7.0,10.0,.700,0,0.0,,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,21.0,16.4,+17,1.0,0.0,0.0,65,28,30,22,68,47,35,68,45,36,66,37,33,60,60,70.0,34.0,,43.0,40.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9285714285714286,0.8235294117647058,,0.6976744186046512,0.55,0.9066666666666666,0.0,0.9591836734693876,0.813953488372093,0.8947368421052632,0.8490566037735849,0.8780487804878049,0.8918918918918919,0.5873015873015873,0.8461538461538461,0.8823529411764706,0.8955223880597015,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,12.0,56.0,3.294117647058824,16.4,72.30000000000001,4.252941176470589
18,19,14,2022-11-25,23-146,OKC,,CHI,W (+4),0,15:24,2.0,6.0,.333,2.0,6.0,.333,2,2.0,1.000,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,4.8,+6,0.0,0.0,,65,28,30,22,68,47,35,68,45,36,66,37,33,60,60,70.0,34.0,,43.0,40.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9285714285714286,0.8235294117647058,,0.6976744186046512,0.55,0.9066666666666666,0.0,0.9591836734693876,0.813953488372093,0.8947368421052632,0.8490566037735849,0.8780487804878049,0.8918918918918919,0.5873015873015873,0.8461538461538461,0.8823529411764706,0.8955223880597015,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,2.0,57.0,3.3529411764705883,4.000000000000001,69.0,4.0588235294117645
19,20,15,2022-11-26,23-147,OKC,@,HOU,L (-13),0,13:42,2.0,8.0,.250,2.0,7.0,.286,0,0.0,,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,6.0,6.2,+2,1.0,0.0,0.0,65,28,30,22,68,47,35,68,45,36,66,37,33,60,60,70.0,34.0,,43.0,40.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9285714285714286,0.8235294117647058,,0.6976744186046512,0.55,0.9066666666666666,0.0,0.9591836734693876,0.813953488372093,0.8947368421052632,0.8490566037735849,0.8780487804878049,0.8918918918918919,0.5873015873015873,0.8461538461538461,0.8823529411764706,0.8955223880597015,17,9,,57.0,9.0,,0.2982456140350877,1.0,17,6.0,48.0,2.823529411764706,6.199999999999999,63.0,3.7058823529411766
