Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Mike Muscala,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Mike Muscala,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Shared Games with Dario Šarić,Shared Games with Olivier Sarr,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,0.0,0.0,0.0,0.0,0.0
21,21,11,2022-11-28,19-191,OKC,@,NOP,L (-4),0,11:23,2.0,4.0,.500,2.0,3.0,.667,0,0.0,,0.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,6.0,5.5,-1,1.0,0.0,0.0,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,7.0,38.0,2.235294117647059,5.5,54.299999999999976,3.194117647058822
22,22,12,2022-11-30,19-193,OKC,,SAS,W (+8),0,22:39,5.0,6.0,.833,0.0,1.0,.000,0,2.0,.000,0.0,7.0,7.0,1.0,0.0,0.0,0.0,2.0,10.0,9.0,+7,5.0,5.0,1.0,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,10.0,64.0,3.764705882352941,8.999999999999998,77.89999999999999,4.58235294117647
23,23,13,2022-12-03,19-196,OKC,@,MIN,W (+7),0,11:04,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.6,+2,1.0,0.0,0.0,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,4.0,75.0,4.411764705882353,2.6,104.9,6.170588235294118
24,24,14,2022-12-05,19-198,OKC,@,ATL,W (+7),0,18:35,6.0,8.0,.750,3.0,4.0,.750,0,0.0,,2.0,3.0,5.0,1.0,1.0,0.0,2.0,3.0,15.0,12.6,-1,4.0,3.0,0.75,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,12.0,56.0,3.294117647058824,12.599999999999994,68.8,4.047058823529412
25,25,,2022-12-07,19-200,OKC,@,MEM,L (-21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,43.0,2.5294117647058822,0.0,53.39999999999999,3.141176470588235
26,26,,2022-12-10,19-203,OKC,@,CLE,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,64.0,3.764705882352941,0.0,74.29999999999998,4.370588235294116
27,27,,2022-12-12,19-205,OKC,@,DAL,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,56.0,3.294117647058824,0.0,72.49999999999999,4.26470588235294
28,28,,2022-12-14,19-207,OKC,,MIA,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,60.0,3.5294117647058822,0.0,70.4,4.141176470588236
29,29,,2022-12-16,19-209,OKC,,MIN,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,47.0,2.764705882352941,0.0,55.69999999999998,3.276470588235293
30,30,,2022-12-17,19-210,OKC,,MEM,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,69.0,4.0588235294117645,0.0,75.80000000000001,4.458823529411766
31,31,,2022-12-19,19-212,OKC,,POR,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,44.0,2.588235294117647,0.0,71.7,4.2176470588235295
32,32,,2022-12-21,19-214,OKC,,POR,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,52.0,3.0588235294117645,0.0,67.4,3.9647058823529413
33,33,,2022-12-23,19-216,OKC,,NOP,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,64.0,3.764705882352941,0.0,79.20000000000002,4.658823529411766
34,34,,2022-12-27,19-220,OKC,,SAS,W (+16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,78.0,4.588235294117647,0.0,89.6,5.270588235294118
35,35,,2022-12-29,19-222,OKC,@,CHO,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,50.0,2.9411764705882355,0.0,69.99999999999999,4.117647058823529
36,36,,2022-12-31,19-224,OKC,,PHI,L (-19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,48.0,2.823529411764706,0.0,56.89999999999999,3.3470588235294114
37,37,,2023-01-03,19-227,OKC,,BOS,W (+33),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,112.0,6.588235294117647,0.0,134.6,7.917647058823529
38,38,,2023-01-04,19-228,OKC,@,ORL,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,45.0,2.647058823529412,0.0,66.70000000000002,3.923529411764707
39,39,,2023-01-06,19-230,OKC,,WAS,W (+17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,89.0,5.235294117647059,0.0,99.29999999999995,5.841176470588232
40,40,,2023-01-08,19-232,OKC,,DAL,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,78.0,4.588235294117647,0.0,87.6,5.152941176470588
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-10,19-234,OKC,@,MIA,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,58.0,3.411764705882353,0.0,69.6,4.094117647058823
43,42,,2023-01-12,19-236,OKC,@,PHI,W (+19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,107.0,6.294117647058823,0.0,124.0,7.294117647058823
44,43,,2023-01-13,19-237,OKC,@,CHI,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,86.0,5.0588235294117645,0.0,97.09999999999998,5.711764705882352
45,44,,2023-01-15,19-239,OKC,@,BRK,W (+10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,66.0,3.882352941176471,0.0,81.79999999999998,4.811764705882352
46,45,,2023-01-18,19-242,OKC,,IND,W (+20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,112.0,6.588235294117647,0.0,119.8,7.047058823529412
47,46,,2023-01-20,19-244,OKC,@,SAC,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,67.0,3.941176470588236,0.0,83.30000000000001,4.9
48,47,,2023-01-22,19-246,OKC,@,DEN,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,60.0,3.5294117647058822,0.0,67.4,3.9647058823529413
49,48,15,2023-01-25,19-249,OKC,,ATL,L (-5),0,10:39,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,-23,1.0,1.0,1.0,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,5.0,92.0,5.411764705882353,5.0,108.2,6.364705882352942
50,49,16,2023-01-27,19-251,OKC,,CLE,W (+12),0,10:05,0.0,0.0,,0.0,0.0,,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,-1.8,-11,0.0,0.0,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,0.0,74.0,4.352941176470588,-1.8000000000000005,89.0,5.235294117647059
