Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Danilo Gallinari,Dario Šarić,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,23-241,POR,@,SAC,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,55.0,4.230769230769231,0.0,63.399999999999984,4.876923076923076
1,2,,2022-10-21,23-243,POR,,PHO,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,54.0,4.153846153846154,0.0,64.09999999999998,4.930769230769229
2,3,,2022-10-23,23-245,POR,@,LAL,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,38.0,2.923076923076923,0.0,54.400000000000006,4.184615384615385
3,4,,2022-10-24,23-246,POR,,DEN,W (+25),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,53.0,4.076923076923077,0.0,68.2,5.246153846153846
4,5,,2022-10-26,23-248,POR,,MIA,L (-21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,69.0,5.307692307692308,0.0,82.7,6.361538461538462
5,6,,2022-10-28,23-250,POR,,HOU,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,64.0,4.923076923076923,0.0,75.7,5.823076923076924
6,7,,2022-11-02,23-255,POR,,MEM,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,74.0,5.6923076923076925,0.0,85.6,6.584615384615384
7,8,,2022-11-04,23-257,POR,@,PHO,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,56.0,4.307692307692308,0.0,79.3,6.1
8,9,,2022-11-05,23-258,POR,@,PHO,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,46.0,3.5384615384615383,0.0,47.100000000000016,3.6230769230769244
9,10,,2022-11-07,23-260,POR,@,MIA,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,47.0,3.615384615384616,0.0,57.9,4.453846153846154
