Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with DaQuan Jeffries,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Feron Hunt,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels
0,1,1,2022-10-19,23-048,NYK,@,MEM,L (-3),0,28.033333333333335,9.0,15.0,.600,3.0,6.0,.500,1,1,1.000,1,4,5,0,3,1,2,2,22,17.9,-1,9.0,6.0,0.6666666666666666,0,20,13,0,20,20,20,13,20,8,12,20,10,20,14,6,1,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,,0.7407407407407407,0.4814814814814814,,0.2469135802469135,0.2439024390243902,0.2941176470588235,0.25,0.2597402597402597,0.125,0.2033898305084746,0.2985074626865671,0.1408450704225352,0.273972602739726,0.7,0.1875,0.3333333333333333
1,2,2,2022-10-21,23-050,NYK,,DET,W (+24),0,18.583333333333332,3.0,8.0,.375,0.0,2.0,.000,0,0,,0,4,4,0,0,0,2,3,6,-0.4,+12,6.0,3.0,0.5,0,20,13,0,20,20,20,13,20,8,12,20,10,20,14,6,1,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,,0.7407407407407407,0.4814814814814814,,0.2469135802469135,0.2439024390243902,0.2941176470588235,0.25,0.2597402597402597,0.125,0.2033898305084746,0.2985074626865671,0.1408450704225352,0.273972602739726,0.7,0.1875,0.3333333333333333
2,3,3,2022-10-24,23-053,NYK,,ORL,W (+13),0,14.4,3.0,4.0,.750,1.0,1.0,1.000,0,0,,1,1,2,2,0,0,1,3,7,5.6,+2,3.0,2.0,0.6666666666666666,0,20,13,0,20,20,20,13,20,8,12,20,10,20,14,6,1,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,,0.7407407407407407,0.4814814814814814,,0.2469135802469135,0.2439024390243902,0.2941176470588235,0.25,0.2597402597402597,0.125,0.2033898305084746,0.2985074626865671,0.1408450704225352,0.273972602739726,0.7,0.1875,0.3333333333333333
3,4,4,2022-10-26,23-055,NYK,,CHO,W (+3),0,24.516666666666666,1.0,3.0,.333,1.0,2.0,.500,2,2,1.000,0,3,3,0,0,1,2,4,5,1.3,+1,1.0,0.0,0.0,0,20,13,0,20,20,20,13,20,8,12,20,10,20,14,6,1,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,,0.7407407407407407,0.4814814814814814,,0.2469135802469135,0.2439024390243902,0.2941176470588235,0.25,0.2597402597402597,0.125,0.2033898305084746,0.2985074626865671,0.1408450704225352,0.273972602739726,0.7,0.1875,0.3333333333333333
4,5,5,2022-10-28,23-057,NYK,@,MIL,L (-11),0,11.55,1.0,5.0,.200,0.0,2.0,.000,0,0,,0,2,2,1,0,0,0,0,2,0.2,-3,3.0,1.0,0.3333333333333333,0,20,13,0,20,20,20,13,20,8,12,20,10,20,14,6,1,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,,0.7407407407407407,0.4814814814814814,,0.2469135802469135,0.2439024390243902,0.2941176470588235,0.25,0.2597402597402597,0.125,0.2033898305084746,0.2985074626865671,0.1408450704225352,0.273972602739726,0.7,0.1875,0.3333333333333333
5,6,6,2022-10-30,23-059,NYK,@,CLE,L (-13),0,16.333333333333332,3.0,6.0,.500,1.0,2.0,.500,0,0,,0,0,0,1,0,1,0,1,7,5.0,-8,4.0,2.0,0.5,0,20,13,0,20,20,20,13,20,8,12,20,10,20,14,6,1,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,,0.7407407407407407,0.4814814814814814,,0.2469135802469135,0.2439024390243902,0.2941176470588235,0.25,0.2597402597402597,0.125,0.2033898305084746,0.2985074626865671,0.1408450704225352,0.273972602739726,0.7,0.1875,0.3333333333333333
6,7,7,2022-11-02,23-062,NYK,,ATL,L (-13),0,14.983333333333333,2.0,5.0,.400,1.0,4.0,.250,1,2,.500,0,0,0,1,0,0,0,0,6,3.6,0,1.0,1.0,1.0,0,20,13,0,20,20,20,13,20,8,12,20,10,20,14,6,1,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,,0.7407407407407407,0.4814814814814814,,0.2469135802469135,0.2439024390243902,0.2941176470588235,0.25,0.2597402597402597,0.125,0.2033898305084746,0.2985074626865671,0.1408450704225352,0.273972602739726,0.7,0.1875,0.3333333333333333
7,8,8,2022-11-04,23-064,NYK,@,PHI,W (+2),0,15.166666666666666,4.0,4.0,1.000,1.0,1.0,1.000,2,2,1.000,0,0,0,3,1,1,0,3,11,12.4,+19,3.0,3.0,1.0,0,20,13,0,20,20,20,13,20,8,12,20,10,20,14,6,1,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,,0.7407407407407407,0.4814814814814814,,0.2469135802469135,0.2439024390243902,0.2941176470588235,0.25,0.2597402597402597,0.125,0.2033898305084746,0.2985074626865671,0.1408450704225352,0.273972602739726,0.7,0.1875,0.3333333333333333
8,9,9,2022-11-05,23-065,NYK,,BOS,L (-15),1,37.083333333333336,1.0,6.0,.167,1.0,2.0,.500,1,2,.500,1,1,2,2,1,1,1,1,4,2.5,+4,4.0,0.0,0.0,0,20,13,0,20,20,20,13,20,8,12,20,10,20,14,6,1,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,,0.7407407407407407,0.4814814814814814,,0.2469135802469135,0.2439024390243902,0.2941176470588235,0.25,0.2597402597402597,0.125,0.2033898305084746,0.2985074626865671,0.1408450704225352,0.273972602739726,0.7,0.1875,0.3333333333333333
9,10,10,2022-11-07,23-067,NYK,@,MIN,W (+13),1,28.733333333333334,2.0,7.0,.286,2.0,5.0,.400,2,2,1.000,0,0,0,0,0,0,0,2,8,3.1,-2,2.0,0.0,0.0,0,20,13,0,20,20,20,13,20,8,12,20,10,20,14,6,1,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,,0.7407407407407407,0.4814814814814814,,0.2469135802469135,0.2439024390243902,0.2941176470588235,0.25,0.2597402597402597,0.125,0.2033898305084746,0.2985074626865671,0.1408450704225352,0.273972602739726,0.7,0.1875,0.3333333333333333
10,11,11,2022-11-09,23-069,NYK,@,BRK,L (-27),1,17.65,0.0,7.0,.000,0.0,4.0,.000,0,0,,0,0,0,1,0,0,0,2,0,-5.0,-17,3.0,0.0,0.0,0,20,13,0,20,20,20,13,20,8,12,20,10,20,14,6,1,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,,0.7407407407407407,0.4814814814814814,,0.2469135802469135,0.2439024390243902,0.2941176470588235,0.25,0.2597402597402597,0.125,0.2033898305084746,0.2985074626865671,0.1408450704225352,0.273972602739726,0.7,0.1875,0.3333333333333333
11,12,12,2022-11-11,23-071,NYK,,DET,W (+9),1,17.716666666666665,2.0,6.0,.333,0.0,3.0,.000,0,0,,0,3,3,1,0,0,0,1,4,1.8,+7,3.0,2.0,0.6666666666666666,0,20,13,0,20,20,20,13,20,8,12,20,10,20,14,6,1,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,,0.7407407407407407,0.4814814814814814,,0.2469135802469135,0.2439024390243902,0.2941176470588235,0.25,0.2597402597402597,0.125,0.2033898305084746,0.2985074626865671,0.1408450704225352,0.273972602739726,0.7,0.1875,0.3333333333333333
12,13,13,2022-11-13,23-073,NYK,,OKC,L (-10),1,32.63333333333333,10.0,17.0,.588,2.0,5.0,.400,4,4,1.000,1,2,3,2,4,1,1,0,26,24.5,+2,12.0,8.0,0.6666666666666666,0,20,13,0,20,20,20,13,20,8,12,20,10,20,14,6,1,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,,0.7407407407407407,0.4814814814814814,,0.2469135802469135,0.2439024390243902,0.2941176470588235,0.25,0.2597402597402597,0.125,0.2033898305084746,0.2985074626865671,0.1408450704225352,0.273972602739726,0.7,0.1875,0.3333333333333333
13,14,14,2022-11-15,23-075,NYK,@,UTA,W (+7),1,33.016666666666666,7.0,13.0,.538,2.0,5.0,.400,3,3,1.000,0,1,1,1,1,1,2,1,19,13.0,-7,8.0,5.0,0.625,0,20,13,0,20,20,20,13,20,8,12,20,10,20,14,6,1,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,,0.7407407407407407,0.4814814814814814,,0.2469135802469135,0.2439024390243902,0.2941176470588235,0.25,0.2597402597402597,0.125,0.2033898305084746,0.2985074626865671,0.1408450704225352,0.273972602739726,0.7,0.1875,0.3333333333333333
14,15,15,2022-11-16,23-076,NYK,@,DEN,W (+3),1,37.2,3.0,5.0,.600,0.0,1.0,.000,4,5,.800,1,2,3,0,2,1,0,3,10,10.1,+13,4.0,3.0,0.75,0,20,13,0,20,20,20,13,20,8,12,20,10,20,14,6,1,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,,0.7407407407407407,0.4814814814814814,,0.2469135802469135,0.2439024390243902,0.2941176470588235,0.25,0.2597402597402597,0.125,0.2033898305084746,0.2985074626865671,0.1408450704225352,0.273972602739726,0.7,0.1875,0.3333333333333333
