Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1,2022-10-19,24-167,NYK,MEM,0,40.23333333333333,7.0,11.0,0.636,0.0,3.0,0.0,2,2.0,1.0,7.0,1.0,8.0,4.0,0.0,1.0,3.0,5.0,16.0,14.8,1,8.0,7.0,0.875,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,13.0,66.0,3.882352941176471,14.0,62.40000000000001,3.6705882352941184,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,L (-3),L (-3)
2.0,2,2022-10-21,24-169,NYK,DET,0,21.166666666666668,2.0,4.0,0.5,1.0,2.0,0.5,1,2.0,0.5,4.0,7.0,11.0,0.0,2.0,1.0,1.0,4.0,6.0,8.6,21,2.0,1.0,0.5,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,13.0,81.0,4.764705882352941,8.199999999999998,98.0,5.764705882352941,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,W (+24),W (+24)
3.0,3,2022-10-24,24-172,NYK,ORL,0,18.316666666666663,2.0,5.0,0.4,0.0,0.0,,3,4.0,0.75,4.0,5.0,9.0,0.0,1.0,0.0,1.0,1.0,7.0,7.8,6,5.0,2.0,0.4,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,7.0,85.0,5.0,6.6,83.60000000000001,4.91764705882353,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,W (+13),W (+13)
4.0,4,2022-10-26,24-174,NYK,CHO,0,15.933333333333334,4.0,5.0,0.8,0.0,1.0,0.0,0,0.0,,2.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,8.0,8.7,-7,4.0,4.0,1.0,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,8.0,94.0,5.529411764705882,8.7,98.89999999999998,5.817647058823528,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,W (+3),W (+3)
5.0,5,2022-10-28,24-176,NYK,MIL,0,27.58333333333333,3.0,8.0,0.375,0.0,1.0,0.0,0,0.0,,2.0,6.0,8.0,2.0,1.0,2.0,1.0,3.0,6.0,6.4,-5,7.0,3.0,0.4285714285714285,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,10.0,65.0,3.823529411764706,6.4,77.79999999999998,4.576470588235293,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,L (-11),L (-11)
6.0,6,2022-10-30,24-178,NYK,CLE,0,27.23333333333333,6.0,10.0,0.6,0.0,1.0,0.0,0,0.0,,5.0,4.0,9.0,1.0,1.0,1.0,1.0,3.0,12.0,12.3,-6,9.0,6.0,0.6666666666666666,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,13.0,62.0,3.647058823529412,12.299999999999995,68.79999999999998,4.047058823529411,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,L (-13),L (-13)
7.0,7,2022-11-02,24-181,NYK,ATL,0,24.933333333333334,1.0,4.0,0.25,1.0,2.0,0.5,0,0.0,,2.0,4.0,6.0,1.0,1.0,4.0,1.0,2.0,3.0,5.9,-4,2.0,0.0,0.0,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,10.0,55.0,3.235294117647059,5.9,59.00000000000001,3.470588235294118,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,L (-13),L (-13)
8.0,8,2022-11-04,24-183,NYK,PHI,0,20.73333333333333,4.0,8.0,0.5,0.0,1.0,0.0,0,0.0,,4.0,6.0,10.0,0.0,1.0,3.0,0.0,1.0,8.0,11.3,2,7.0,4.0,0.5714285714285714,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,14.0,53.0,3.117647058823529,11.299999999999995,54.49999999999999,3.205882352941176,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,W (+2),W (+2)
9.0,9,2022-11-05,24-184,NYK,BOS,1,38.45,5.0,6.0,0.833,0.0,0.0,,0,0.0,,3.0,11.0,14.0,1.0,0.0,1.0,0.0,3.0,10.0,13.4,7,6.0,5.0,0.8333333333333334,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,20.0,66.0,3.882352941176471,13.4,82.39999999999999,4.847058823529411,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,L (-15),L (-15)
10.0,10,2022-11-07,24-186,NYK,MIN,0,20.85,1.0,3.0,0.333,0.0,1.0,0.0,2,2.0,1.0,2.0,4.0,6.0,2.0,0.0,1.0,1.0,4.0,4.0,4.4,9,2.0,1.0,0.5,20,27,27,81,68,52,77,64,59,67,71,73,11,13,3,40.0,,27.0,27.0,,81.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.40625,1.0,15,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,7.0,86.0,5.0588235294117645,3.6,92.3,5.429411764705883,14.2,4.6,-0.3,-1.5,1.2,0.0426739541727979,0.567,0.113,0.217,0.7,2.2,W (+13),W (+13)
