Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,24-222,NYK,@,BRK,L (-27),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,,41.0,2.411764705882353,0.0,45.6,2.682352941176471
11,12,,2022-11-11,24-224,NYK,,DET,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,,76.0,4.470588235294118,0.0,94.3,5.547058823529412
12,13,,2022-11-13,24-226,NYK,,OKC,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,,69.0,4.0588235294117645,0.0,76.10000000000001,4.476470588235294
13,14,,2022-11-15,24-228,NYK,@,UTA,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,,84.0,4.941176470588236,0.0,85.69999999999999,5.041176470588234
14,15,,2022-11-16,24-229,NYK,@,DEN,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,,73.0,4.294117647058823,0.0,82.69999999999999,4.864705882352941
15,16,,2022-11-18,24-231,NYK,@,GSW,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,,57.0,3.3529411764705883,0.0,66.2,3.894117647058824
16,17,9,2022-11-20,24-233,NYK,@,PHO,L (-21),0,16:38,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,4.0,4.0,0.0,1.0,2.0,0.0,1.0,2.0,4.2,0,2.0,1.0,0.5,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,7.0,62.0,3.647058823529412,4.199999999999999,74.0,4.352941176470588
17,18,10,2022-11-21,24-234,NYK,@,OKC,W (+10),1,13:10,1.0,1.0,1.000,0.0,0.0,,1,2.0,.500,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,3.8,+5,1.0,1.0,1.0,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,4.0,97.0,5.705882352941177,3.4000000000000004,100.1,5.888235294117647
18,19,11,2022-11-25,24-238,NYK,,POR,L (-3),1,23:05,6.0,7.0,.857,0.0,0.0,,0,2.0,.000,5.0,3.0,8.0,0.0,0.0,2.0,1.0,6.0,12.0,11.1,+7,7.0,6.0,0.8571428571428571,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,12.0,81.0,4.764705882352941,11.099999999999996,86.89999999999999,5.1117647058823525
19,20,12,2022-11-27,24-240,NYK,,MEM,L (-4),1,31:34,6.0,7.0,.857,0.0,0.0,,4,7.0,.571,4.0,3.0,7.0,0.0,0.0,5.0,0.0,4.0,16.0,17.9,+2,7.0,6.0,0.8571428571428571,12,19,17,59,59,47,29,55,47,44,52,51,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,67.0,71.0,73.0,20.0,32.0,3.0,0.3,,0.7037037037037037,0.6296296296296297,,0.7283950617283951,0.7195121951219512,0.6911764705882353,0.5576923076923077,0.7142857142857143,0.734375,0.6567164179104478,0.7323943661971831,0.6986301369863014,0.35,0.28125,1.0,14,20,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2631578947368421,17,14.0,71.0,4.176470588235294,16.299999999999997,78.60000000000002,4.623529411764707
