Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with DaQuan Jeffries,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Feron Hunt,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Trevor Keels
30,30,,2022-12-18,25-191,NYK,@,IND,W (+3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
31,31,11,2022-12-20,25-193,NYK,,GSW,W (+38),0,6.133333333333334,1.0,2.0,.500,1.0,2.0,.500,2,2,1.000,0,0,0,1,0,0,0,0,5,4.7,+8,0.0,0.0,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
32,32,,2022-12-21,25-194,NYK,,TOR,L (-7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
33,33,,2022-12-23,25-196,NYK,,CHI,L (-1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
34,34,,2022-12-25,25-198,NYK,,PHI,L (-7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
35,35,,2022-12-27,25-200,NYK,@,DAL,L (-5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
36,36,,2022-12-29,25-202,NYK,@,SAS,L (-7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
37,37,,2022-12-31,25-204,NYK,@,HOU,W (+20),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
38,38,12,2023-01-02,25-206,NYK,,PHO,W (+19),0,0.4666666666666667,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
39,39,,2023-01-04,25-208,NYK,,SAS,W (+3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
40,40,,2023-01-06,25-210,NYK,@,TOR,W (+4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
42,41,,2023-01-09,25-213,NYK,,MIL,L (-4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
43,42,,2023-01-11,25-215,NYK,,IND,W (+6),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
44,43,,2023-01-13,25-217,NYK,@,WAS,W (+4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
45,44,,2023-01-15,25-219,NYK,@,DET,W (+13),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
46,45,,2023-01-16,25-220,NYK,,TOR,L (-2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
47,46,,2023-01-18,25-222,NYK,,WAS,L (-11),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
48,47,13,2023-01-20,25-224,NYK,@,ATL,L (-15),0,1.3166666666666667,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,0.0,0.0,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
49,48,,2023-01-22,25-226,NYK,@,TOR,L (-9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
50,49,,2023-01-24,25-228,NYK,,CLE,W (+2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
51,50,,2023-01-26,25-230,NYK,@,BOS,W (+3),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
52,51,,2023-01-28,25-232,NYK,@,BRK,L (-7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
53,52,,2023-01-31,25-235,NYK,,LAL,L (-6),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
54,53,,2023-02-02,25-237,NYK,,MIA,W (+2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
55,54,,2023-02-04,25-239,NYK,,LAC,L (-6),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
56,55,,2023-02-05,25-240,NYK,,PHI,W (+11),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
57,56,,2023-02-07,25-242,NYK,@,ORL,W (+4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
58,57,,2023-02-10,25-245,CHO,@,BOS,L (-11),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
59,58,,2023-02-11,25-246,CHO,,DEN,L (-14),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
60,59,,2023-02-13,25-248,CHO,,ATL,W (+6),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
61,60,14,2023-02-15,25-250,CHO,,SAS,W (+10),0,24.866666666666667,5.0,12.0,.417,2.0,6.0,.333,0,1,.000,1,1,2,0,0,0,1,1,12,4.8,+4,6.0,3.0,0.5,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
62,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
63,61,15,2023-02-24,25-259,CHO,@,MIN,W (+8),0,6.583333333333333,0.0,1.0,.000,0.0,0.0,,0,0,,0,0,0,1,0,0,1,1,0,-1.4,-1,1.0,0.0,0.0,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
64,62,,2023-02-25,25-260,CHO,,MIA,W (+5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
65,63,,2023-02-27,25-262,CHO,,DET,W (+11),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,6,0,8,4,0,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333
