Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario Šarić,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario Šarić,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Kevin Durant,Shared Games with T.J. Warren,Blake Griffin,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Isaiah Roby,Jalen Brunson,Jericho Sims,Josh Hart,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Trevor Keels,co_inf with Blake Griffin,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Isaiah Roby,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Josh Hart,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Trevor Keels,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,,2022-11-09,22-230,PHO,MIN,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,,41.0,2.5625,0.0,0,0.0,0.0261830668526665,W (+12),W (+12)
12.0,5.0,2022-11-11,22-232,PHO,ORL,0,7.316666666666666,2.0,6.0,.333,1.0,4.0,.250,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,1.9,-2,2.0,1.0,0.5,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,76.0,4.75,1.9000000000000008,0,0.0,0.0261830668526665,L (-17),L (-17)
13.0,6.0,2022-11-14,22-235,PHO,MIA,0,19.05,8.0,14.0,.571,5.0,8.0,.625,0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,21.0,16.2,+12,6.0,3.0,0.5,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,10.0,59.0,3.6875,16.200000000000003,0,0.0,0.0261830668526665,L (-1),L (-1)
14.0,7.0,2022-11-16,22-237,PHO,GSW,0,13.55,2.0,6.0,.333,1.0,4.0,.250,0,2.0,.000,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,2.8,-7,2.0,1.0,0.5,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1.0,83.0,5.1875,2.8,0,0.0,0.0261830668526665,W (+11),W (+11)
15.0,8.0,2022-11-18,22-239,PHO,UTA,0,12.566666666666666,2.0,4.0,.500,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.3,-4,2.0,2.0,1.0,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1.0,72.0,4.5,2.3,0,0.0,0.0261830668526665,L (-1),L (-1)
16.0,9.0,2022-11-20,22-241,PHO,NYK,0,15.916666666666666,2.0,10.0,.200,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,5.0,-2.0,+6,7.0,1.0,0.1428571428571428,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,-4.0,61.0,3.8125,-2.0,0,0.0,0.0261830668526665,W (+21),W (+21)
17.0,10.0,2022-11-22,22-243,PHO,LAL,0,18.33333333333333,7.0,15.0,.467,1.0,5.0,.200,0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,15.0,7.6,+1,10.0,6.0,0.6,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2.0,67.0,4.1875,7.600000000000001,0,0.0,0.0261830668526665,W (+10),W (+10)
18.0,11.0,2022-11-25,22-246,PHO,DET,0,17.433333333333334,2.0,5.0,.400,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,5.0,0.5,-3,2.0,1.0,0.5,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,101.0,6.3125,0.5,0,0.0,0.0261830668526665,W (+6),W (+6)
19.0,12.0,2022-11-26,22-247,PHO,UTA,0,4.083333333333333,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-7,1.0,0.0,0.0,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,-2.0,95.0,5.9375,-1.4,0,0.0,0.0261830668526665,W (+1),W (+1)
20.0,13.0,2022-11-28,22-249,PHO,SAC,0,9.466666666666669,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,3.4,+7,1.0,1.0,1.0,24,6,16,14,31,18,26,15,23,25,26,14,31,30,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.3934426229508196,0.1428571428571428,0.3333333333333333,0.2372881355932203,0.4189189189189189,0.3157894736842105,0.3880597014925373,0.2830188679245283,0.3833333333333333,0.0,0.3623188405797101,0.3611111111111111,0.35,0.3734939759036144,0.379746835443038,12,8,41.0,,27.0,27.0,,81.0,82.0,42.0,68.0,52.0,76.0,77.0,64.0,59.0,67.0,71.0,73.0,3.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2.0,83.0,5.1875,3.4000000000000004,0,0.0,0.0261830668526665,W (+5),W (+5)
