Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,22-041,NYK,MEM,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,15,18,63,64,50,45,59,47,49,60,55,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.2,,0.5555555555555556,0.6666666666666666,,0.7777777777777778,0.7804878048780488,0.7352941176470589,0.8653846153846154,0.7662337662337663,0.7966101694915254,0.7313432835820896,0.8450704225352113,0.7534246575342466,0.55,0.40625,0.6666666666666666,11,19,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.25,17,,79.0,4.647058823529412,0.0,76.4,4.494117647058824,8.4,0.7,-2.3,-3.6,1.4,0.0233340340550767,0.475,0.623,0.195,-0.1,0.0,L (-3),L (-3)
2.0,1.0,2022-10-21,22-043,NYK,DET,0,3.4166666666666665,0.0,0.0,,0.0,0.0,,0,2.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.2,-2,0.0,0.0,,8,15,18,63,64,50,45,59,47,49,60,55,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.2,,0.5555555555555556,0.6666666666666666,,0.7777777777777778,0.7804878048780488,0.7352941176470589,0.8653846153846154,0.7662337662337663,0.7966101694915254,0.7313432835820896,0.8450704225352113,0.7534246575342466,0.55,0.40625,0.6666666666666666,11,19,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.25,17,-2.0,96.0,5.647058823529412,-1.2000000000000002,107.4,6.31764705882353,8.4,0.7,-2.3,-3.6,1.4,0.0233340340550767,0.475,0.623,0.195,-0.1,0.0,W (+24),W (+24)
3.0,,2022-10-24,22-046,NYK,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,15,18,63,64,50,45,59,47,49,60,55,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.2,,0.5555555555555556,0.6666666666666666,,0.7777777777777778,0.7804878048780488,0.7352941176470589,0.8653846153846154,0.7662337662337663,0.7966101694915254,0.7313432835820896,0.8450704225352113,0.7534246575342466,0.55,0.40625,0.6666666666666666,11,19,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.25,17,,92.0,5.411764705882353,0.0,90.2,5.305882352941176,8.4,0.7,-2.3,-3.6,1.4,0.0233340340550767,0.475,0.623,0.195,-0.1,0.0,W (+13),W (+13)
4.0,,2022-10-26,22-048,NYK,CHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,15,18,63,64,50,45,59,47,49,60,55,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.2,,0.5555555555555556,0.6666666666666666,,0.7777777777777778,0.7804878048780488,0.7352941176470589,0.8653846153846154,0.7662337662337663,0.7966101694915254,0.7313432835820896,0.8450704225352113,0.7534246575342466,0.55,0.40625,0.6666666666666666,11,19,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.25,17,,102.0,6.0,0.0,107.59999999999998,6.329411764705881,8.4,0.7,-2.3,-3.6,1.4,0.0233340340550767,0.475,0.623,0.195,-0.1,0.0,W (+3),W (+3)
5.0,2.0,2022-10-28,22-050,NYK,MIL,0,0.0166666666666666,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,8,15,18,63,64,50,45,59,47,49,60,55,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.2,,0.5555555555555556,0.6666666666666666,,0.7777777777777778,0.7804878048780488,0.7352941176470589,0.8653846153846154,0.7662337662337663,0.7966101694915254,0.7313432835820896,0.8450704225352113,0.7534246575342466,0.55,0.40625,0.6666666666666666,11,19,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.25,17,0.0,75.0,4.411764705882353,0.0,84.19999999999999,4.952941176470588,8.4,0.7,-2.3,-3.6,1.4,0.0233340340550767,0.475,0.623,0.195,-0.1,0.0,L (-11),L (-11)
6.0,,2022-10-30,22-052,NYK,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,15,18,63,64,50,45,59,47,49,60,55,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.2,,0.5555555555555556,0.6666666666666666,,0.7777777777777778,0.7804878048780488,0.7352941176470589,0.8653846153846154,0.7662337662337663,0.7966101694915254,0.7313432835820896,0.8450704225352113,0.7534246575342466,0.55,0.40625,0.6666666666666666,11,19,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.25,17,,75.0,4.411764705882353,0.0,81.09999999999998,4.770588235294117,8.4,0.7,-2.3,-3.6,1.4,0.0233340340550767,0.475,0.623,0.195,-0.1,0.0,L (-13),L (-13)
7.0,,2022-11-02,22-055,NYK,ATL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,15,18,63,64,50,45,59,47,49,60,55,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.2,,0.5555555555555556,0.6666666666666666,,0.7777777777777778,0.7804878048780488,0.7352941176470589,0.8653846153846154,0.7662337662337663,0.7966101694915254,0.7313432835820896,0.8450704225352113,0.7534246575342466,0.55,0.40625,0.6666666666666666,11,19,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.25,17,,65.0,3.823529411764706,0.0,64.9,3.8176470588235296,8.4,0.7,-2.3,-3.6,1.4,0.0233340340550767,0.475,0.623,0.195,-0.1,0.0,L (-13),L (-13)
8.0,,2022-11-04,22-057,NYK,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,15,18,63,64,50,45,59,47,49,60,55,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.2,,0.5555555555555556,0.6666666666666666,,0.7777777777777778,0.7804878048780488,0.7352941176470589,0.8653846153846154,0.7662337662337663,0.7966101694915254,0.7313432835820896,0.8450704225352113,0.7534246575342466,0.55,0.40625,0.6666666666666666,11,19,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.25,17,,67.0,3.941176470588236,0.0,65.79999999999998,3.8705882352941168,8.4,0.7,-2.3,-3.6,1.4,0.0233340340550767,0.475,0.623,0.195,-0.1,0.0,W (+2),W (+2)
9.0,,2022-11-05,22-058,NYK,BOS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,15,18,63,64,50,45,59,47,49,60,55,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.2,,0.5555555555555556,0.6666666666666666,,0.7777777777777778,0.7804878048780488,0.7352941176470589,0.8653846153846154,0.7662337662337663,0.7966101694915254,0.7313432835820896,0.8450704225352113,0.7534246575342466,0.55,0.40625,0.6666666666666666,11,19,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.25,17,,86.0,5.0588235294117645,0.0,95.79999999999998,5.6352941176470575,8.4,0.7,-2.3,-3.6,1.4,0.0233340340550767,0.475,0.623,0.195,-0.1,0.0,L (-15),L (-15)
10.0,3.0,2022-11-07,22-060,NYK,MIN,0,0.85,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0.0,0.0,,8,15,18,63,64,50,45,59,47,49,60,55,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.2,,0.5555555555555556,0.6666666666666666,,0.7777777777777778,0.7804878048780488,0.7352941176470589,0.8653846153846154,0.7662337662337663,0.7966101694915254,0.7313432835820896,0.8450704225352113,0.7534246575342466,0.55,0.40625,0.6666666666666666,11,19,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.25,17,0.0,93.0,5.470588235294118,0.0,95.9,5.641176470588236,8.4,0.7,-2.3,-3.6,1.4,0.0233340340550767,0.475,0.623,0.195,-0.1,0.0,W (+13),W (+13)
