Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,26-049,NYK,@,MEM,L (-3),1,36:05,7.0,18.0,.389,1.0,4.0,.250,0,0.0,,2.0,4.0,6.0,9.0,0.0,0.0,0.0,3.0,15.0,12.9,+3,14.0,6.0,0.4285714285714285,20,24,21,67,68,45,66,50,47,56,57,62,10,13,3,40.0,,27.0,27.0,,81.0,82.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8888888888888888,0.7777777777777778,,0.8271604938271605,0.8292682926829268,0.8653846153846154,0.8571428571428571,0.78125,0.7966101694915254,0.835820895522388,0.8028169014084507,0.8493150684931506,0.5,0.40625,1.0,14,16,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2105263157894736,17,12.0,67.0,3.941176470588236,12.9,63.50000000000001,3.7352941176470593
1,2,2,2022-10-21,26-051,NYK,,DET,W (+24),1,28:22,6.0,11.0,.545,2.0,4.0,.500,3,5.0,.600,0.0,2.0,2.0,6.0,1.0,0.0,0.0,2.0,17.0,15.9,+3,7.0,4.0,0.5714285714285714,20,24,21,67,68,45,66,50,47,56,57,62,10,13,3,40.0,,27.0,27.0,,81.0,82.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8888888888888888,0.7777777777777778,,0.8271604938271605,0.8292682926829268,0.8653846153846154,0.8571428571428571,0.78125,0.7966101694915254,0.835820895522388,0.8028169014084507,0.8493150684931506,0.5,0.40625,1.0,14,16,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2105263157894736,17,10.0,84.0,4.941176470588236,14.7,91.5,5.382352941176471
2,3,3,2022-10-24,26-054,NYK,,ORL,W (+13),1,33:02,8.0,16.0,.500,2.0,4.0,.500,3,3.0,1.000,0.0,3.0,3.0,6.0,2.0,0.0,3.0,5.0,21.0,15.1,+17,12.0,6.0,0.5,20,24,21,67,68,45,66,50,47,56,57,62,10,13,3,40.0,,27.0,27.0,,81.0,82.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8888888888888888,0.7777777777777778,,0.8271604938271605,0.8292682926829268,0.8653846153846154,0.8571428571428571,0.78125,0.7966101694915254,0.835820895522388,0.8028169014084507,0.8493150684931506,0.5,0.40625,1.0,14,16,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2105263157894736,17,10.0,82.0,4.823529411764706,13.9,76.30000000000001,4.488235294117648
3,4,4,2022-10-26,26-056,NYK,,CHO,W (+3),1,40:35,10.0,15.0,.667,2.0,5.0,.400,5,5.0,1.000,0.0,7.0,7.0,13.0,1.0,1.0,3.0,2.0,27.0,29.6,+7,10.0,8.0,0.8,20,24,21,67,68,45,66,50,47,56,57,62,10,13,3,40.0,,27.0,27.0,,81.0,82.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8888888888888888,0.7777777777777778,,0.8271604938271605,0.8292682926829268,0.8653846153846154,0.8571428571428571,0.78125,0.7966101694915254,0.835820895522388,0.8028169014084507,0.8493150684931506,0.5,0.40625,1.0,14,16,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2105263157894736,17,26.0,76.0,4.470588235294118,27.600000000000005,79.99999999999997,4.705882352941175
4,5,5,2022-10-28,26-058,NYK,@,MIL,L (-11),1,33:08,3.0,10.0,.300,1.0,4.0,.250,6,9.0,.667,0.0,3.0,3.0,2.0,1.0,0.0,3.0,3.0,13.0,5.1,-19,6.0,2.0,0.3333333333333333,20,24,21,67,68,45,66,50,47,56,57,62,10,13,3,40.0,,27.0,27.0,,81.0,82.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8888888888888888,0.7777777777777778,,0.8271604938271605,0.8292682926829268,0.8653846153846154,0.8571428571428571,0.78125,0.7966101694915254,0.835820895522388,0.8028169014084507,0.8493150684931506,0.5,0.40625,1.0,14,16,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2105263157894736,17,-3.0,78.0,4.588235294117647,2.7,81.49999999999999,4.7941176470588225
5,6,6,2022-10-30,26-060,NYK,@,CLE,L (-13),1,33:57,8.0,19.0,.421,0.0,3.0,.000,0,1.0,.000,0.0,4.0,4.0,7.0,3.0,0.0,1.0,2.0,16.0,12.8,+2,16.0,8.0,0.5,20,24,21,67,68,45,66,50,47,56,57,62,10,13,3,40.0,,27.0,27.0,,81.0,82.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8888888888888888,0.7777777777777778,,0.8271604938271605,0.8292682926829268,0.8653846153846154,0.8571428571428571,0.78125,0.7966101694915254,0.835820895522388,0.8028169014084507,0.8493150684931506,0.5,0.40625,1.0,14,16,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2105263157894736,17,9.0,66.0,3.882352941176471,12.799999999999995,68.29999999999998,4.0176470588235285
6,7,7,2022-11-02,26-063,NYK,,ATL,L (-13),1,31:00,8.0,15.0,.533,1.0,4.0,.250,3,4.0,.750,0.0,1.0,1.0,5.0,0.0,1.0,3.0,2.0,20.0,13.0,-4,11.0,7.0,0.6363636363636364,20,24,21,67,68,45,66,50,47,56,57,62,10,13,3,40.0,,27.0,27.0,,81.0,82.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8888888888888888,0.7777777777777778,,0.8271604938271605,0.8292682926829268,0.8653846153846154,0.8571428571428571,0.78125,0.7966101694915254,0.835820895522388,0.8028169014084507,0.8493150684931506,0.5,0.40625,1.0,14,16,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2105263157894736,17,5.0,60.0,3.5294117647058822,11.8,53.10000000000001,3.1235294117647063
7,8,8,2022-11-04,26-065,NYK,@,PHI,W (+2),1,35:49,7.0,15.0,.467,1.0,4.0,.250,8,9.0,.889,1.0,5.0,6.0,7.0,0.0,0.0,1.0,3.0,23.0,19.8,+11,11.0,6.0,0.5454545454545454,20,24,21,67,68,45,66,50,47,56,57,62,10,13,3,40.0,,27.0,27.0,,81.0,82.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8888888888888888,0.7777777777777778,,0.8271604938271605,0.8292682926829268,0.8653846153846154,0.8571428571428571,0.78125,0.7966101694915254,0.835820895522388,0.8028169014084507,0.8493150684931506,0.5,0.40625,1.0,14,16,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2105263157894736,17,11.0,56.0,3.294117647058824,16.599999999999998,49.19999999999999,2.894117647058823
8,9,9,2022-11-05,26-066,NYK,,BOS,L (-15),1,32:41,10.0,17.0,.588,0.0,2.0,.000,2,2.0,1.000,0.0,3.0,3.0,10.0,0.0,0.0,0.0,1.0,22.0,21.6,-3,15.0,10.0,0.6666666666666666,20,24,21,67,68,45,66,50,47,56,57,62,10,13,3,40.0,,27.0,27.0,,81.0,82.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8888888888888888,0.7777777777777778,,0.8271604938271605,0.8292682926829268,0.8653846153846154,0.8571428571428571,0.78125,0.7966101694915254,0.835820895522388,0.8028169014084507,0.8493150684931506,0.5,0.40625,1.0,14,16,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2105263157894736,17,16.0,70.0,4.117647058823529,20.8,74.99999999999999,4.411764705882352
9,10,10,2022-11-07,26-068,NYK,@,MIN,W (+13),1,33:35,9.0,14.0,.643,2.0,5.0,.400,3,3.0,1.000,1.0,4.0,5.0,8.0,0.0,0.0,3.0,3.0,23.0,20.1,+5,9.0,7.0,0.7777777777777778,20,24,21,67,68,45,66,50,47,56,57,62,10,13,3,40.0,,27.0,27.0,,81.0,82.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8888888888888888,0.7777777777777778,,0.8271604938271605,0.8292682926829268,0.8653846153846154,0.8571428571428571,0.78125,0.7966101694915254,0.835820895522388,0.8028169014084507,0.8493150684931506,0.5,0.40625,1.0,14,16,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2105263157894736,17,16.0,77.0,4.529411764705882,18.90000000000001,77.0,4.529411764705882
