Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,24-229,NYK,MEM,0,13.483333333333333,1.0,3.0,.333,0.0,0.0,,0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,-7,3.0,1.0,0.3333333333333333,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,2.0,77.0,4.529411764705882,0.5000000000000004,75.9,4.464705882352941,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,L (-3),L (-3)
2.0,2.0,2022-10-21,24-231,NYK,DET,0,20.73333333333333,7.0,12.0,.583,2.0,5.0,.400,0,0.0,,1.0,3.0,4.0,3.0,0.0,1.0,0.0,1.0,16.0,14.4,+25,7.0,5.0,0.7142857142857143,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,12.0,82.0,4.823529411764706,14.4,91.8,5.4,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,W (+24),W (+24)
3.0,3.0,2022-10-24,24-234,NYK,ORL,0,13.883333333333333,4.0,6.0,.667,0.0,1.0,.000,2,2.0,1.000,2.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,10.0,10.1,+9,5.0,4.0,0.8,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,7.0,85.0,5.0,9.3,80.9,4.758823529411765,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,W (+13),W (+13)
4.0,4.0,2022-10-26,24-236,NYK,CHO,0,13.166666666666666,3.0,6.0,.500,3.0,4.0,.750,0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,9.0,8.3,-3,2.0,0.0,0.0,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,8.0,94.0,5.529411764705882,8.299999999999999,99.29999999999998,5.841176470588234,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,W (+3),W (+3)
5.0,5.0,2022-10-28,24-238,NYK,MIL,0,16.766666666666666,4.0,7.0,.571,3.0,5.0,.600,0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,10.0,+3,2.0,1.0,0.5,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,9.0,66.0,3.882352941176471,10.0,74.19999999999999,4.364705882352941,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,L (-11),L (-11)
6.0,6.0,2022-10-30,24-240,NYK,CLE,0,15.2,4.0,7.0,.571,1.0,3.0,.333,0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,3.0,2.0,9.0,3.1,-5,4.0,3.0,0.75,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,3.0,72.0,4.235294117647059,3.1,77.99999999999999,4.588235294117646,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,L (-13),L (-13)
7.0,7.0,2022-11-02,24-243,NYK,ATL,0,18.45,5.0,13.0,.385,2.0,6.0,.333,0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,6.6,-3,7.0,3.0,0.4285714285714285,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,2.0,63.0,3.7058823529411766,6.600000000000001,58.3,3.429411764705882,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,L (-13),L (-13)
8.0,8.0,2022-11-04,24-245,NYK,PHI,0,20.23333333333333,6.0,10.0,.600,3.0,6.0,.500,2,2.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,17.0,9.5,+6,4.0,3.0,0.75,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,5.0,62.0,3.647058823529412,8.699999999999996,57.09999999999999,3.358823529411764,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,W (+2),W (+2)
9.0,9.0,2022-11-05,24-246,NYK,BOS,0,14.916666666666666,3.0,9.0,.333,1.0,5.0,.200,0,0.0,,2.0,4.0,6.0,0.0,1.0,1.0,0.0,1.0,7.0,5.8,-22,4.0,2.0,0.5,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,6.0,80.0,4.705882352941177,5.799999999999998,89.99999999999999,5.294117647058823,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,L (-15),L (-15)
10.0,10.0,2022-11-07,24-248,NYK,MIN,0,25.766666666666666,4.0,10.0,.400,3.0,8.0,.375,4,4.0,1.000,1.0,6.0,7.0,3.0,4.0,0.0,2.0,1.0,15.0,15.8,+13,2.0,1.0,0.5,20,22,22,66,67,56,37,62,49,44,57,63,7,9,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.8148148148148148,0.8148148148148148,,0.8148148148148148,0.8170731707317073,0.8235294117647058,0.7115384615384616,0.8051948051948052,0.765625,0.7457627118644068,0.8028169014084507,0.863013698630137,0.35,0.28125,1.0,12,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,13.0,80.0,4.705882352941177,14.200000000000005,81.70000000000002,4.805882352941177,13.6,2.1,-0.5,0.3,-0.8,0.0522388059701492,0.565,0.589,0.112,0.4,1.1,W (+13),W (+13)
