Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-19,22-164,NYK,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10,16,19,70,71,57,45,66,60,52,57,62,9,11,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,73.0,20.0,32.0,3.0,0.25,,0.5925925925925926,0.7037037037037037,,0.8641975308641975,0.8658536585365854,0.8382352941176471,0.8653846153846154,0.8571428571428571,0.9375,0.8813559322033898,0.8507462686567164,0.8493150684931506,0.45,0.34375,0.6666666666666666,14,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,,79.0,4.647058823529412,0.0,76.4,4.494117647058824,0.0839815009459743,L (-3),L (-3)
2.0,,2022-10-21,22-166,NYK,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10,16,19,70,71,57,45,66,60,52,57,62,9,11,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,73.0,20.0,32.0,3.0,0.25,,0.5925925925925926,0.7037037037037037,,0.8641975308641975,0.8658536585365854,0.8382352941176471,0.8653846153846154,0.8571428571428571,0.9375,0.8813559322033898,0.8507462686567164,0.8493150684931506,0.45,0.34375,0.6666666666666666,14,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,,94.0,5.529411764705882,0.0,106.2,6.247058823529412,0.0839815009459743,W (+24),W (+24)
3.0,,2022-10-24,22-169,NYK,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10,16,19,70,71,57,45,66,60,52,57,62,9,11,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,73.0,20.0,32.0,3.0,0.25,,0.5925925925925926,0.7037037037037037,,0.8641975308641975,0.8658536585365854,0.8382352941176471,0.8653846153846154,0.8571428571428571,0.9375,0.8813559322033898,0.8507462686567164,0.8493150684931506,0.45,0.34375,0.6666666666666666,14,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,,92.0,5.411764705882353,0.0,90.2,5.305882352941176,0.0839815009459743,W (+13),W (+13)
4.0,,2022-10-26,22-171,NYK,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10,16,19,70,71,57,45,66,60,52,57,62,9,11,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,73.0,20.0,32.0,3.0,0.25,,0.5925925925925926,0.7037037037037037,,0.8641975308641975,0.8658536585365854,0.8382352941176471,0.8653846153846154,0.8571428571428571,0.9375,0.8813559322033898,0.8507462686567164,0.8493150684931506,0.45,0.34375,0.6666666666666666,14,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,,102.0,6.0,0.0,107.59999999999998,6.329411764705881,0.0839815009459743,W (+3),W (+3)
5.0,,2022-10-28,22-173,NYK,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10,16,19,70,71,57,45,66,60,52,57,62,9,11,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,73.0,20.0,32.0,3.0,0.25,,0.5925925925925926,0.7037037037037037,,0.8641975308641975,0.8658536585365854,0.8382352941176471,0.8653846153846154,0.8571428571428571,0.9375,0.8813559322033898,0.8507462686567164,0.8493150684931506,0.45,0.34375,0.6666666666666666,14,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,,75.0,4.411764705882353,0.0,84.19999999999999,4.952941176470588,0.0839815009459743,L (-11),L (-11)
6.0,,2022-10-30,22-175,NYK,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10,16,19,70,71,57,45,66,60,52,57,62,9,11,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,73.0,20.0,32.0,3.0,0.25,,0.5925925925925926,0.7037037037037037,,0.8641975308641975,0.8658536585365854,0.8382352941176471,0.8653846153846154,0.8571428571428571,0.9375,0.8813559322033898,0.8507462686567164,0.8493150684931506,0.45,0.34375,0.6666666666666666,14,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,,75.0,4.411764705882353,0.0,81.09999999999998,4.770588235294117,0.0839815009459743,L (-13),L (-13)
7.0,1.0,2022-11-02,22-178,NYK,ATL,0,4.633333333333333,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.4,+6,0.0,0.0,,10,16,19,70,71,57,45,66,60,52,57,62,9,11,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,73.0,20.0,32.0,3.0,0.25,,0.5925925925925926,0.7037037037037037,,0.8641975308641975,0.8658536585365854,0.8382352941176471,0.8653846153846154,0.8571428571428571,0.9375,0.8813559322033898,0.8507462686567164,0.8493150684931506,0.45,0.34375,0.6666666666666666,14,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,0.0,65.0,3.823529411764706,-0.4,65.3,3.841176470588235,0.0839815009459743,L (-13),L (-13)
8.0,2.0,2022-11-04,22-180,NYK,PHI,1,15.016666666666667,0.0,1.0,.000,0.0,1.0,.000,2,2.0,1.000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.2,-20,0.0,0.0,,10,16,19,70,71,57,45,66,60,52,57,62,9,11,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,73.0,20.0,32.0,3.0,0.25,,0.5925925925925926,0.7037037037037037,,0.8641975308641975,0.8658536585365854,0.8382352941176471,0.8653846153846154,0.8571428571428571,0.9375,0.8813559322033898,0.8507462686567164,0.8493150684931506,0.45,0.34375,0.6666666666666666,14,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,2.0,65.0,3.823529411764706,1.4,64.39999999999998,3.7882352941176456,0.0839815009459743,W (+2),W (+2)
9.0,,2022-11-05,22-181,NYK,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10,16,19,70,71,57,45,66,60,52,57,62,9,11,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,73.0,20.0,32.0,3.0,0.25,,0.5925925925925926,0.7037037037037037,,0.8641975308641975,0.8658536585365854,0.8382352941176471,0.8653846153846154,0.8571428571428571,0.9375,0.8813559322033898,0.8507462686567164,0.8493150684931506,0.45,0.34375,0.6666666666666666,14,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,,86.0,5.0588235294117645,0.0,95.79999999999998,5.6352941176470575,0.0839815009459743,L (-15),L (-15)
10.0,,2022-11-07,22-183,NYK,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10,16,19,70,71,57,45,66,60,52,57,62,9,11,2,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,73.0,20.0,32.0,3.0,0.25,,0.5925925925925926,0.7037037037037037,,0.8641975308641975,0.8658536585365854,0.8382352941176471,0.8653846153846154,0.8571428571428571,0.9375,0.8813559322033898,0.8507462686567164,0.8493150684931506,0.45,0.34375,0.6666666666666666,14,25,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3289473684210526,17,,93.0,5.470588235294118,0.0,95.9,5.641176470588236,0.0839815009459743,W (+13),W (+13)
