Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,20-357,HOU,@,ORL,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,17,16,19,4,16,15,29,14,26,25,31,16,31,4,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,75.0,,0.3733333333333333,0.5483870967741935,0.4102564102564102,0.3333333333333333,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.4516129032258064,0.3421052631578947,0.390625,0.3780487804878049,0.2711864406779661,0.3780487804878049,0.8,0.3866666666666666,,4,9,36.0,10.0,34.0,0.1111111111111111,0.0,0.0,18,,74.0,4.111111111111111,0.0,84.00000000000001,4.666666666666668
11,12,,2022-11-09,20-359,HOU,@,TOR,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,17,16,19,4,16,15,29,14,26,25,31,16,31,4,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,75.0,,0.3733333333333333,0.5483870967741935,0.4102564102564102,0.3333333333333333,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.4516129032258064,0.3421052631578947,0.390625,0.3780487804878049,0.2711864406779661,0.3780487804878049,0.8,0.3866666666666666,,4,9,36.0,10.0,34.0,0.1111111111111111,0.0,0.0,18,,83.0,4.611111111111111,0.0,81.89999999999998,4.549999999999999
12,13,,2022-11-12,20-362,HOU,@,NOP,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,17,16,19,4,16,15,29,14,26,25,31,16,31,4,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,75.0,,0.3733333333333333,0.5483870967741935,0.4102564102564102,0.3333333333333333,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.4516129032258064,0.3421052631578947,0.390625,0.3780487804878049,0.2711864406779661,0.3780487804878049,0.8,0.3866666666666666,,4,9,36.0,10.0,34.0,0.1111111111111111,0.0,0.0,18,,65.0,3.611111111111111,0.0,62.3,3.461111111111111
13,14,1,2022-11-14,20-364,HOU,,LAC,L (-16),0,4:15,0.0,0.0,,0.0,0.0,,1,2.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,+6,0.0,0.0,,28,17,16,19,4,16,15,29,14,26,25,31,16,31,4,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,75.0,,0.3733333333333333,0.5483870967741935,0.4102564102564102,0.3333333333333333,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.4516129032258064,0.3421052631578947,0.390625,0.3780487804878049,0.2711864406779661,0.3780487804878049,0.8,0.3866666666666666,,4,9,36.0,10.0,34.0,0.1111111111111111,0.0,0.0,18,-1.0,51.0,2.833333333333333,0.1999999999999999,68.8,3.822222222222222
14,15,,2022-11-16,21-001,HOU,@,DAL,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,17,16,19,4,16,15,29,14,26,25,31,16,31,4,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,75.0,,0.3733333333333333,0.5483870967741935,0.4102564102564102,0.3333333333333333,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.4516129032258064,0.3421052631578947,0.390625,0.3780487804878049,0.2711864406779661,0.3780487804878049,0.8,0.3866666666666666,,4,9,36.0,10.0,34.0,0.1111111111111111,0.0,0.0,18,,92.0,5.111111111111111,0.0,76.1,4.227777777777778
15,16,,2022-11-18,21-003,HOU,,IND,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,17,16,19,4,16,15,29,14,26,25,31,16,31,4,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,75.0,,0.3733333333333333,0.5483870967741935,0.4102564102564102,0.3333333333333333,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.4516129032258064,0.3421052631578947,0.390625,0.3780487804878049,0.2711864406779661,0.3780487804878049,0.8,0.3866666666666666,,4,9,36.0,10.0,34.0,0.1111111111111111,0.0,0.0,18,,20.0,1.1111111111111112,0.0,26.6,1.4777777777777779
16,17,,2022-11-20,21-005,HOU,,GSW,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,17,16,19,4,16,15,29,14,26,25,31,16,31,4,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,75.0,,0.3733333333333333,0.5483870967741935,0.4102564102564102,0.3333333333333333,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.4516129032258064,0.3421052631578947,0.390625,0.3780487804878049,0.2711864406779661,0.3780487804878049,0.8,0.3866666666666666,,4,9,36.0,10.0,34.0,0.1111111111111111,0.0,0.0,18,,87.0,4.833333333333333,0.0,86.4,4.800000000000001
17,18,,2022-11-25,21-010,HOU,,ATL,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,17,16,19,4,16,15,29,14,26,25,31,16,31,4,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,75.0,,0.3733333333333333,0.5483870967741935,0.4102564102564102,0.3333333333333333,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.4516129032258064,0.3421052631578947,0.390625,0.3780487804878049,0.2711864406779661,0.3780487804878049,0.8,0.3866666666666666,,4,9,36.0,10.0,34.0,0.1111111111111111,0.0,0.0,18,,69.0,3.8333333333333335,0.0,69.6,3.8666666666666663
18,19,,2022-11-26,21-011,HOU,,OKC,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,17,16,19,4,16,15,29,14,26,25,31,16,31,4,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,75.0,,0.3733333333333333,0.5483870967741935,0.4102564102564102,0.3333333333333333,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.4516129032258064,0.3421052631578947,0.390625,0.3780487804878049,0.2711864406779661,0.3780487804878049,0.8,0.3866666666666666,,4,9,36.0,10.0,34.0,0.1111111111111111,0.0,0.0,18,,70.0,3.888888888888889,0.0,70.5,3.9166666666666665
19,20,,2022-11-28,21-013,HOU,@,DEN,L (-16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,17,16,19,4,16,15,29,14,26,25,31,16,31,4,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,75.0,,0.3733333333333333,0.5483870967741935,0.4102564102564102,0.3333333333333333,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.4516129032258064,0.3421052631578947,0.390625,0.3780487804878049,0.2711864406779661,0.3780487804878049,0.8,0.3866666666666666,,4,9,36.0,10.0,34.0,0.1111111111111111,0.0,0.0,18,,60.0,3.333333333333333,0.0,66.69999999999999,3.705555555555555
