Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,22-187,HOU,@,ORL,W (+7),1,37:57,7.0,14.0,.500,3.0,8.0,.375,0,1.0,.000,1.0,7.0,8.0,11.0,2.0,1.0,7.0,5.0,17.0,13.8,+13,6.0,4.0,0.6666666666666666,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,17.0,57.0,3.3529411764705883,13.800000000000004,70.2,4.129411764705883
11,12,12,2022-11-09,22-189,HOU,@,TOR,L (-7),1,40:27,4.0,11.0,.364,1.0,6.0,.167,3,4.0,.750,0.0,2.0,2.0,11.0,0.0,0.0,4.0,2.0,12.0,9.0,-8,5.0,3.0,0.6,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,6.0,77.0,4.529411764705882,7.799999999999999,74.1,4.358823529411764
12,13,13,2022-11-12,22-192,HOU,@,NOP,L (-13),1,33:32,9.0,16.0,.563,3.0,9.0,.333,2,4.0,.500,0.0,1.0,1.0,3.0,0.0,0.0,7.0,4.0,23.0,8.4,-28,7.0,6.0,0.8571428571428571,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,0.0,65.0,3.823529411764706,7.6,54.7,3.2176470588235295
13,14,14,2022-11-14,22-194,HOU,,LAC,L (-16),1,31:37,6.0,18.0,.333,0.0,4.0,.000,8,15.0,.533,2.0,5.0,7.0,3.0,3.0,0.0,2.0,4.0,20.0,11.4,-10,14.0,6.0,0.4285714285714285,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,-2.0,52.0,3.0588235294117645,8.199999999999998,60.8,3.576470588235294
14,15,15,2022-11-16,22-196,HOU,@,DAL,W (+9),1,36:30,6.0,14.0,.429,2.0,3.0,.667,3,4.0,.750,1.0,10.0,11.0,8.0,1.0,3.0,5.0,2.0,17.0,15.8,+16,11.0,4.0,0.3636363636363636,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,17.0,75.0,4.411764705882353,14.599999999999998,61.49999999999999,3.617647058823529
15,16,,2022-11-18,22-198,HOU,,IND,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,20.0,1.1764705882352942,0.0,26.6,1.5647058823529412
16,17,16,2022-11-20,22-200,HOU,,GSW,L (-7),1,34:45,10.0,19.0,.526,5.0,11.0,.455,5,6.0,.833,3.0,2.0,5.0,6.0,2.0,1.0,2.0,4.0,30.0,26.3,-14,8.0,5.0,0.625,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,17.0,70.0,4.117647058823529,24.30000000000001,62.1,3.652941176470588
17,18,17,2022-11-25,22-205,HOU,,ATL,W (+6),1,36:35,5.0,16.0,.313,0.0,6.0,.000,2,3.0,.667,3.0,4.0,7.0,10.0,1.0,0.0,4.0,0.0,12.0,9.7,+5,10.0,5.0,0.5,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,7.0,62.0,3.647058823529412,8.900000000000002,60.7,3.570588235294118
18,19,18,2022-11-26,22-206,HOU,,OKC,W (+13),1,33:20,6.0,13.0,.462,1.0,5.0,.200,3,5.0,.600,0.0,3.0,3.0,6.0,1.0,0.0,5.0,2.0,16.0,8.8,+17,8.0,5.0,0.625,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,3.0,67.0,3.941176470588236,7.599999999999996,62.900000000000006,3.7
19,20,19,2022-11-28,22-208,HOU,@,DEN,L (-16),1,29:29,4.0,9.0,.444,4.0,7.0,.571,0,0.0,,2.0,2.0,4.0,6.0,1.0,1.0,1.0,2.0,12.0,13.4,-13,2.0,0.0,0.0,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,14.0,46.0,2.7058823529411766,13.4,53.3,3.135294117647059
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,,0.0,0.0,0.0,0.0,0.0
21,21,20,2022-11-30,22-210,HOU,@,DEN,L (-20),1,32:03,8.0,18.0,.444,5.0,7.0,.714,2,2.0,1.000,2.0,4.0,6.0,5.0,1.0,0.0,3.0,5.0,23.0,15.7,-14,11.0,3.0,0.2727272727272727,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,12.0,42.0,2.4705882352941178,14.899999999999997,44.69999999999999,2.629411764705882
22,22,21,2022-12-02,22-212,HOU,@,PHO,W (+1),1,33:20,3.0,8.0,.375,1.0,4.0,.250,8,9.0,.889,1.0,5.0,6.0,7.0,0.0,0.0,6.0,3.0,15.0,10.1,-2,4.0,2.0,0.5,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,5.0,44.0,2.588235294117647,6.899999999999995,54.400000000000006,3.2
23,23,22,2022-12-03,22-213,HOU,@,GSW,L (-19),1,32:24,6.0,16.0,.375,1.0,9.0,.111,7,7.0,1.000,0.0,3.0,3.0,4.0,2.0,0.0,4.0,3.0,20.0,11.7,-17,7.0,5.0,0.7142857142857143,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,2.0,49.0,2.8823529411764706,8.899999999999999,48.8,2.8705882352941177
24,24,23,2022-12-05,22-215,HOU,,PHI,W (+9),1,43:57,7.0,17.0,.412,4.0,8.0,.500,6,8.0,.750,1.0,5.0,6.0,3.0,1.0,1.0,4.0,5.0,24.0,14.1,+13,9.0,3.0,0.3333333333333333,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,6.0,48.0,2.823529411764706,11.700000000000006,53.6,3.152941176470588
25,25,24,2022-12-08,22-218,HOU,@,SAS,L (-9),1,30:32,5.0,16.0,.313,0.0,4.0,.000,2,2.0,1.000,0.0,3.0,3.0,4.0,1.0,0.0,3.0,3.0,12.0,3.3,-14,12.0,5.0,0.4166666666666667,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,-1.0,59.0,3.4705882352941178,2.5,59.0,3.4705882352941178
26,26,25,2022-12-11,22-221,HOU,,MIL,W (+5),1,35:44,8.0,16.0,.500,0.0,3.0,.000,2,2.0,1.000,1.0,2.0,3.0,7.0,2.0,1.0,4.0,2.0,18.0,14.1,+3,13.0,8.0,0.6153846153846154,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,9.0,55.0,3.235294117647059,13.299999999999995,51.4,3.023529411764706
27,27,26,2022-12-13,22-223,HOU,,PHO,W (+14),1,33:15,6.0,16.0,.375,2.0,8.0,.250,4,5.0,.800,0.0,5.0,5.0,4.0,2.0,0.0,4.0,4.0,18.0,9.5,+22,8.0,4.0,0.5,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,4.0,60.0,3.5294117647058822,7.9,55.2,3.2470588235294118
28,28,27,2022-12-15,22-225,HOU,,MIA,L (-3),1,35:49,10.0,17.0,.588,0.0,2.0,.000,1,1.0,1.000,5.0,2.0,7.0,5.0,4.0,1.0,6.0,2.0,21.0,18.6,+4,15.0,10.0,0.6666666666666666,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,14.0,57.0,3.3529411764705883,18.200000000000006,60.69999999999998,3.5705882352941165
