Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,21-305,HOU,@,ORL,W (+7),0,25:51,8.0,14.0,.571,4.0,8.0,.500,1,2.0,.500,2.0,2.0,4.0,5.0,0.0,2.0,1.0,2.0,21.0,19.1,+14,6.0,4.0,0.6666666666666666,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,15.0,59.0,3.2777777777777777,18.7,65.3,3.6277777777777778
11,12,12,2022-11-09,21-307,HOU,@,TOR,L (-7),0,22:34,5.0,6.0,.833,2.0,3.0,.667,1,2.0,.500,2.0,4.0,6.0,0.0,0.0,2.0,0.0,3.0,13.0,13.2,+18,3.0,3.0,1.0,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,13.0,70.0,3.888888888888889,12.799999999999995,69.1,3.8388888888888886
12,13,13,2022-11-12,21-310,HOU,@,NOP,L (-13),0,25:43,4.0,7.0,.571,0.0,3.0,.000,1,1.0,1.000,3.0,4.0,7.0,1.0,0.0,0.0,3.0,2.0,9.0,5.9,+1,4.0,4.0,1.0,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,6.0,59.0,3.2777777777777777,5.499999999999998,56.8,3.1555555555555554
13,14,14,2022-11-14,21-312,HOU,,LAC,L (-16),0,20:36,4.0,7.0,.571,0.0,2.0,.000,0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,8.0,6.3,-8,5.0,4.0,0.8,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,6.0,44.0,2.4444444444444446,6.299999999999998,62.7,3.4833333333333334
14,15,15,2022-11-16,21-314,HOU,@,DAL,W (+9),0,24:49,4.0,5.0,.800,1.0,1.0,1.000,1,1.0,1.000,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,10.0,9.1,0,4.0,3.0,0.75,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,7.0,85.0,4.722222222222222,8.7,67.39999999999999,3.744444444444444
15,16,16,2022-11-18,21-316,HOU,,IND,L (-8),1,26:16,5.0,9.0,.556,0.0,2.0,.000,2,4.0,.500,4.0,4.0,8.0,1.0,1.0,0.0,2.0,4.0,12.0,9.0,+6,7.0,5.0,0.7142857142857143,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,7.0,13.0,0.7222222222222222,8.2,18.4,1.0222222222222221
16,17,17,2022-11-20,21-318,HOU,,GSW,L (-7),0,23:39,4.0,6.0,.667,1.0,2.0,.500,3,4.0,.750,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,12.0,11.9,+12,4.0,3.0,0.75,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,8.0,79.0,4.388888888888889,10.7,75.70000000000002,4.205555555555557
17,18,18,2022-11-25,21-323,HOU,,ATL,W (+6),1,33:42,10.0,13.0,.769,1.0,1.0,1.000,0,0.0,,5.0,10.0,15.0,2.0,1.0,0.0,5.0,3.0,21.0,18.6,+8,12.0,9.0,0.75,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,21.0,48.0,2.6666666666666665,18.6,50.99999999999999,2.833333333333333
18,19,19,2022-11-26,21-324,HOU,,OKC,W (+13),0,14:10,1.0,5.0,.200,0.0,2.0,.000,1,2.0,.500,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,3.0,0.1,-1,3.0,1.0,0.3333333333333333,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,0.0,70.0,3.888888888888889,-0.3,70.8,3.933333333333333
19,20,20,2022-11-28,21-326,HOU,@,DEN,L (-16),0,27:42,5.0,9.0,.556,2.0,5.0,.400,3,5.0,.600,2.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,15.0,13.2,-14,4.0,3.0,0.75,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,8.0,52.0,2.888888888888889,11.999999999999996,54.7,3.038888888888889
