Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
30,30,30,2022-12-19,21-347,HOU,,SAS,L (-19),0,19:56,4.0,6.0,.667,0.0,1.0,.000,0,4.0,.000,4.0,3.0,7.0,1.0,1.0,0.0,1.0,1.0,8.0,7.8,-10,5.0,4.0,0.8,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,6.0,55.0,3.055555555555556,7.799999999999999,74.5,4.138888888888889
31,31,31,2022-12-21,21-349,HOU,,ORL,L (-6),0,28:14,7.0,11.0,.636,2.0,4.0,.500,2,2.0,1.000,2.0,3.0,5.0,4.0,0.0,0.0,0.0,2.0,18.0,17.4,-14,7.0,5.0,0.7142857142857143,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,14.0,55.0,3.055555555555556,16.599999999999998,54.100000000000016,3.0055555555555564
32,32,32,2022-12-23,21-351,HOU,,DAL,L (-6),1,29:38,4.0,7.0,.571,2.0,2.0,1.000,0,0.0,,0.0,3.0,3.0,1.0,3.0,0.0,1.0,2.0,10.0,9.5,+13,5.0,2.0,0.4,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,9.0,53.0,2.9444444444444446,9.5,65.1,3.6166666666666663
33,33,33,2022-12-26,21-354,HOU,@,CHI,W (+15),0,21:32,4.0,8.0,.500,0.0,4.0,.000,2,2.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,10.0,5.1,-10,4.0,4.0,1.0,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,2.0,90.0,5.0,4.300000000000001,99.4,5.522222222222222
34,34,34,2022-12-27,21-355,HOU,@,BOS,L (-24),1,31:28,6.0,10.0,.600,1.0,4.0,.250,4,4.0,1.000,0.0,3.0,3.0,2.0,0.0,0.0,2.0,1.0,17.0,12.3,-19,6.0,5.0,0.8333333333333334,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,6.0,47.0,2.611111111111111,10.699999999999996,52.7,2.927777777777778
35,35,35,2022-12-29,21-357,HOU,@,DAL,L (-15),0,17:12,2.0,3.0,.667,0.0,1.0,.000,0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,2.0,3.0,4.0,0.7,-4,2.0,2.0,1.0,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,3.0,62.0,3.4444444444444446,0.7000000000000002,68.2,3.788888888888889
36,36,36,2022-12-31,21-359,HOU,,NYK,L (-20),0,19:35,2.0,5.0,.400,1.0,3.0,.333,0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,2.0,2.0,5.0,2.8,-1,2.0,1.0,0.5,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,4.0,41.0,2.2777777777777777,2.8,41.49999999999999,2.3055555555555554
37,37,37,2023-01-02,21-361,HOU,,DAL,L (-5),0,19:50,2.0,8.0,.250,0.0,2.0,.000,1,1.0,1.000,2.0,4.0,6.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,+2,6.0,2.0,0.3333333333333333,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,0.0,54.0,3.0,-0.400000000000001,58.20000000000001,3.233333333333334
38,38,38,2023-01-04,21-363,HOU,@,NOP,L (-11),0,24:34,7.0,7.0,1.000,2.0,2.0,1.000,0,3.0,.000,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,16.0,16.7,+2,5.0,5.0,1.0,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,12.0,51.0,2.833333333333333,16.700000000000003,48.49999999999999,2.694444444444444
39,39,39,2023-01-05,21-364,HOU,,UTA,L (-17),0,22:43,2.0,6.0,.333,1.0,3.0,.333,2,2.0,1.000,1.0,4.0,5.0,2.0,0.0,0.0,1.0,0.0,7.0,5.9,0,3.0,1.0,0.3333333333333333,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,5.0,47.0,2.611111111111111,5.1000000000000005,56.8,3.1555555555555554
40,40,40,2023-01-08,22-002,HOU,,MIN,L (-8),0,21:36,5.0,8.0,.625,1.0,3.0,.333,1,2.0,.500,2.0,3.0,5.0,2.0,0.0,0.0,1.0,2.0,12.0,9.9,-6,5.0,4.0,0.8,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,8.0,45.0,2.5,9.499999999999998,48.3,2.683333333333333
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,,0.0,0.0,0.0,0.0,0.0
42,41,41,2023-01-11,22-005,HOU,@,SAC,L (-20),0,26:50,9.0,13.0,.692,3.0,7.0,.429,0,2.0,.000,1.0,4.0,5.0,1.0,0.0,0.0,2.0,1.0,21.0,14.9,-21,6.0,6.0,1.0,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,10.0,64.0,3.555555555555556,14.900000000000002,51.900000000000006,2.8833333333333337
43,42,42,2023-01-13,22-007,HOU,@,SAC,L (-25),1,34:04,1.0,6.0,.167,1.0,4.0,.250,3,6.0,.500,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,-13,2.0,0.0,0.0,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,-2.0,53.0,2.9444444444444446,-0.1999999999999993,66.19999999999999,3.677777777777777
44,43,43,2023-01-15,22-009,HOU,@,LAC,L (-21),1,32:34,9.0,14.0,.643,1.0,3.0,.333,3,4.0,.750,3.0,6.0,9.0,2.0,0.0,0.0,1.0,2.0,22.0,18.9,-8,11.0,8.0,0.7272727272727273,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,14.0,28.0,1.5555555555555556,17.7,31.3,1.738888888888889
45,44,44,2023-01-16,22-010,HOU,@,LAL,L (-8),1,30:20,7.0,15.0,.467,2.0,5.0,.400,1,2.0,.500,2.0,5.0,7.0,0.0,0.0,2.0,2.0,4.0,17.0,9.6,-13,10.0,5.0,0.5,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,7.0,67.0,3.7222222222222223,9.199999999999998,68.8,3.822222222222222
46,45,45,2023-01-18,22-012,HOU,,CHO,L (-5),1,32:18,4.0,8.0,.500,3.0,4.0,.750,0,1.0,.000,2.0,5.0,7.0,3.0,0.0,0.0,0.0,4.0,11.0,10.0,-11,4.0,1.0,0.25,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,12.0,52.0,2.888888888888889,10.000000000000002,63.6,3.533333333333333
47,46,46,2023-01-21,22-015,HOU,@,MIN,L (-9),1,30:27,6.0,12.0,.500,0.0,3.0,.000,3,4.0,.750,2.0,7.0,9.0,2.0,0.0,0.0,2.0,2.0,15.0,10.7,-12,9.0,6.0,0.6666666666666666,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,8.0,41.0,2.2777777777777777,9.499999999999998,43.3,2.4055555555555554
48,47,47,2023-01-23,22-017,HOU,,MIN,W (+5),1,32:56,2.0,5.0,.400,0.0,1.0,.000,2,2.0,1.000,0.0,7.0,7.0,2.0,3.0,0.0,1.0,2.0,6.0,8.0,+22,4.0,2.0,0.5,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,10.0,44.0,2.4444444444444446,7.199999999999999,61.99999999999999,3.444444444444444
49,48,48,2023-01-25,22-019,HOU,,WAS,L (-5),1,33:46,8.0,13.0,.615,0.0,0.0,,0,2.0,.000,4.0,9.0,13.0,1.0,0.0,1.0,1.0,1.0,16.0,14.8,+12,13.0,8.0,0.6153846153846154,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,15.0,53.0,2.9444444444444446,14.8,57.50000000000001,3.1944444444444446
50,49,49,2023-01-26,22-020,HOU,,CLE,L (-18),1,26:51,6.0,7.0,.857,1.0,2.0,.500,1,3.0,.333,1.0,5.0,6.0,2.0,1.0,0.0,1.0,2.0,14.0,13.5,-9,5.0,5.0,1.0,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,12.0,38.0,2.111111111111111,13.099999999999998,45.9,2.55
51,50,50,2023-01-28,22-022,HOU,@,DET,W (+3),1,26:42,7.0,11.0,.636,0.0,1.0,.000,1,2.0,.500,3.0,10.0,13.0,1.0,0.0,1.0,1.0,3.0,15.0,14.0,0,10.0,7.0,0.7,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,16.0,36.0,2.0,13.599999999999998,44.2,2.4555555555555557
52,51,51,2023-02-01,22-026,HOU,,OKC,W (+6),1,31:42,7.0,13.0,.538,1.0,4.0,.250,3,5.0,.600,3.0,4.0,7.0,4.0,0.0,0.0,0.0,1.0,18.0,16.6,+4,9.0,6.0,0.6666666666666666,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,11.0,46.0,2.555555555555556,15.399999999999997,43.8,2.433333333333333
53,52,52,2023-02-03,22-028,HOU,,TOR,L (-6),1,34:35,8.0,9.0,.889,1.0,1.0,1.000,3,3.0,1.000,0.0,6.0,6.0,3.0,0.0,1.0,1.0,3.0,20.0,19.3,+11,8.0,7.0,0.875,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,17.0,24.0,1.3333333333333333,18.1,36.29999999999999,2.016666666666666
54,53,53,2023-02-04,22-029,HOU,@,OKC,L (-32),1,31:06,1.0,4.0,.250,0.0,2.0,.000,2,2.0,1.000,2.0,3.0,5.0,3.0,0.0,1.0,1.0,0.0,4.0,5.7,-27,2.0,1.0,0.5,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,6.0,47.0,2.611111111111111,4.9,71.19999999999999,3.955555555555555
55,54,54,2023-02-06,22-031,HOU,,SAC,L (-20),1,32:12,8.0,10.0,.800,2.0,2.0,1.000,0,1.0,.000,3.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,18.0,18.1,-8,8.0,6.0,0.75,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,16.0,39.0,2.1666666666666665,18.1,52.99999999999999,2.944444444444444
56,55,55,2023-02-08,22-033,HOU,,SAC,L (-2),1,34:57,5.0,8.0,.625,1.0,3.0,.333,4,4.0,1.000,1.0,4.0,5.0,0.0,1.0,2.0,2.0,3.0,15.0,12.5,+4,5.0,4.0,0.8,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,9.0,55.0,3.055555555555556,10.9,73.5,4.083333333333333
57,56,56,2023-02-10,22-035,HOU,@,MIA,L (-2),1,37:53,6.0,9.0,.667,1.0,3.0,.333,4,5.0,.800,1.0,5.0,6.0,3.0,2.0,2.0,5.0,2.0,17.0,14.6,-19,6.0,5.0,0.8333333333333334,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,11.0,45.0,2.5,12.999999999999991,51.2,2.8444444444444446
58,57,57,2023-02-13,22-038,HOU,@,PHI,L (-19),1,31:27,6.0,10.0,.600,0.0,1.0,.000,3,4.0,.750,3.0,4.0,7.0,2.0,1.0,0.0,2.0,1.0,15.0,13.3,-16,9.0,6.0,0.6666666666666666,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,9.0,31.0,1.7222222222222223,12.099999999999998,51.89999999999999,2.883333333333333
59,58,58,2023-02-15,22-040,HOU,@,OKC,L (-37),1,27:58,1.0,9.0,.111,0.0,3.0,.000,2,4.0,.500,2.0,4.0,6.0,2.0,0.0,1.0,1.0,2.0,4.0,0.2,-24,6.0,1.0,0.1666666666666666,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,-1.0,26.0,1.4444444444444444,-0.6000000000000003,38.89999999999999,2.1611111111111105
60,59,59,2023-02-24,22-049,HOU,@,GSW,L (-15),1,35:40,7.0,12.0,.583,0.0,3.0,.000,8,9.0,.889,4.0,4.0,8.0,2.0,1.0,2.0,0.0,2.0,22.0,23.0,-24,9.0,7.0,0.7777777777777778,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,14.0,55.0,3.055555555555556,19.8,61.2,3.4000000000000004
61,60,60,2023-02-26,22-051,HOU,@,POR,L (-17),1,32:54,5.0,10.0,.500,0.0,1.0,.000,4,5.0,.800,0.0,8.0,8.0,4.0,1.0,0.0,2.0,4.0,14.0,11.2,-7,9.0,5.0,0.5555555555555556,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,10.0,47.0,2.611111111111111,9.6,67.29999999999998,3.738888888888888
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,,0.0,0.0,0.0,0.0,0.0
63,61,61,2023-02-28,22-053,HOU,,DEN,L (-21),1,26:50,7.0,13.0,.538,0.0,2.0,.000,1,1.0,1.000,2.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,15.0,13.0,-3,11.0,7.0,0.6363636363636364,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,8.0,66.0,3.6666666666666665,12.599999999999998,74.99999999999999,4.166666666666666
64,62,62,2023-03-01,22-054,HOU,,MEM,L (-14),1,34:28,8.0,12.0,.667,2.0,5.0,.400,1,2.0,.500,2.0,4.0,6.0,0.0,0.0,0.0,1.0,3.0,19.0,13.8,-21,7.0,6.0,0.8571428571428571,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,10.0,38.0,2.111111111111111,13.4,49.39999999999999,2.744444444444444
