Player,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
Eric Bledsoe,Career,756,13.7,3.9,4.7,45.2,33.6,78.4,50.4,17.0,46.1
Keljin Blevins,Career,48,2.2,1.1,0.5,29.8,28.8,54.5,38.5,3.8,-0.7
Leon Blevins,Career,2,1.0,1.0,0.5,25.0,,0.0,,-,0.0
John Block,Career,597,11.9,6.6,1.3,43.3,,77.8,,15.4,32.7
Mike Bloom,Career,93,6.8,-,0.8,25.5,,71.3,,-,2.5
Jaron Blossomgame,Career,27,4.2,3.6,0.5,44.3,25.6,76.9,49.1,10.2,0.3
Corie Blount,Career,644,3.6,4.2,0.7,47.1,11.5,58.7,47.1,11.1,18.2
Mark Blount,Career,605,8.2,4.6,0.8,50.4,35.9,72.3,50.8,12.5,18.8
Vander Blue,Career,10,3.0,1.3,1.2,30.8,15.4,33.3,33.3,1.7,-0.4
Ray Blume,Career,49,4.6,0.8,1.4,45.9,22.2,64.3,46.8,9.7,-0.1
Nelson Bobb,Career,227,4.6,2.4,2.1,35.0,,61.2,,12.3,6.0
Tony Bobbitt,Career,2,2.5,1.5,0.0,40.0,50.0,-,50.0,11.7,0.0
Bucky Bockhorn,Career,474,11.5,4.7,3.5,40.3,,74.8,,10.4,7.9
Buddy Boeheim,Career,10,1.6,0.6,0.4,18.5,16.0,100.0,25.9,0.5,-0.2
Tom Boerwinkle,Career,635,7.2,9.0,3.2,45.3,,67.5,,16.3,38.0
Keith Bogans,Career,671,6.3,2.7,1.3,39.4,35.3,71.6,48.9,9.6,20.4
Bogdan Bogdanović,Career,370,14.2,3.4,3.3,44.0,38.7,82.3,54.2,14.8,19.0
Bojan Bogdanović,Career,662,15.6,3.6,1.7,46.0,39.4,86.5,54.9,14.3,36.5
Muggsy Bogues,Career,889,7.7,2.6,7.6,45.8,27.8,82.7,46.7,15.0,54.0
Andrew Bogut,Career,706,9.6,8.7,2.2,53.5,12.0,55.7,53.5,16.4,50.6
Etdrick Bohannon,Career,26,1.4,1.7,0.2,42.9,-,67.9,42.9,10.2,0.1
Bol Bol,Career,123,6.3,3.8,0.7,53.3,29.3,73.9,57.0,13.9,2.5
Manute Bol,Career,624,2.6,4.2,0.3,40.7,21.0,56.1,42.0,9.4,12.3
Jonah Bolden,Career,51,4.3,3.4,0.8,48.6,34.0,48.4,58.4,12.2,1.4
Marques Bolden,Career,7,1.0,1.1,0.0,33.3,-,62.5,33.3,13.9,0.1
Bill Bolger,Career,20,2.8,1.8,0.6,40.7,,61.5,,10.8,0.2
Leandro Bolmaro,Career,49,1.1,1.0,0.6,27.0,22.7,84.6,30.4,3.1,-0.3
Joel Bolomboy,Career,18,1.7,1.5,0.1,54.5,20.0,50.0,56.8,16.4,0.3
Doug Bolstorff,Career,3,1.3,0.0,0.0,40.0,,-,,2.2,0.0
George Bon Salle,Career,3,1.3,0.7,0.0,25.0,,-,,0.1,-0.1
Phil Bond,Career,7,0.6,0.6,0.3,33.3,,-,,5.3,0.0
Walter Bond,Career,153,5.7,1.9,1.2,40.9,29.9,76.7,43.4,9.2,0.7
Jordan Bone,Career,24,2.8,1.2,1.1,37.8,28.6,-,45.9,7.1,0.1
Dexter Boney,Career,8,2.4,0.8,0.0,31.6,16.7,75.0,34.2,10.2,0.0
Isaac Bonga,Career,143,3.1,2.2,0.8,43.2,30.0,75.9,48.6,8.4,1.7
Ron Bonham,Career,118,6.1,1.4,0.4,38.8,0.0,82.4,38.8,16.7,2.7
Anthony Bonner,Career,318,6.9,5.4,1.4,46.8,12.5,59.0,46.9,11.5,10.8
Matt Bonner,Career,792,5.8,3.0,0.7,46.4,41.4,78.0,57.0,13.6,38.5
Butch Booker,Career,12,5.8,7.6,0.5,49.2,0.0,55.6,49.2,15.7,0.4
Devin Booker,Career,530,23.9,4.0,4.8,46.1,35.6,86.8,51.7,18.4,35.9
Melvin Booker,Career,32,5.2,1.2,2.3,40.0,26.8,87.1,44.8,8.2,-0.1
Trevor Booker,Career,532,6.9,5.5,1.1,51.5,30.5,63.6,52.8,15.0,26.2
Josh Boone,Career,256,5.2,4.9,0.5,54.4,-,44.5,54.4,14.2,9.1
Ron Boone,Career,1041,16.8,4.2,3.7,46.1,30.4,83.7,46.6,15.4,59.3
Calvin Booth,Career,366,3.3,2.8,0.4,45.1,22.2,74.8,45.2,12.4,8.0
Keith Booth,Career,45,2.9,2.2,0.9,32.5,9.1,56.3,32.8,7.3,-0.8
Bob Boozer,Career,874,14.8,8.1,1.4,46.2,,76.1,,16.1,64.2
Carlos Boozer,Career,861,16.2,9.5,2.2,52.1,7.1,72.2,52.1,19.5,80.3
Curtis Borchardt,Career,83,3.1,3.3,0.8,42.1,0.0,74.2,42.1,9.0,1.0
Jake Bornheimer,Career,75,4.6,-,0.7,29.5,,67.1,,-,1.2
Lazaro Borrell,Career,17,3.6,2.4,0.6,44.4,0.0,54.5,44.4,15.0,0.3
Ike Borsavage,Career,24,2.7,1.0,0.2,35.1,,66.7,,-,0.1
Vince Boryla,Career,285,11.2,3.7,2.1,37.1,,81.6,,10.4,16.0
Chris Bosh,Career,893,19.2,8.5,2.0,49.4,33.5,79.9,50.6,20.6,106.0
Jim Bostic,Career,4,6.5,4.0,0.8,54.5,,40.0,,18.9,0.1
Brandon Boston Jr.,Career,73,6.7,1.9,1.0,39.4,32.9,80.0,44.5,11.8,0.6
Lawrence Boston,Career,13,4.3,3.0,0.2,46.2,-,61.5,46.2,12.6,0.2
Tom Boswell,Career,366,7.7,4.7,1.6,53.3,54.5,72.4,53.4,13.7,15.2
Chris Boucher,Career,307,9.1,5.4,0.5,48.6,33.4,78.0,55.2,19.5,21.5
James Bouknight,Career,65,5.1,1.9,1.0,35.3,31.6,77.0,42.8,7.7,-0.4
Ruben Boumtje-Boumtje,Career,44,1.0,1.3,0.1,36.8,-,55.6,36.8,6.4,0.2
Jamaree Bouyea,Career,5,3.0,1.2,0.8,42.9,33.3,50.0,50.0,6.5,0.0
Don Boven,Career,195,9.0,4.2,2.0,33.9,,70.6,,12.0,7.4
Cal Bowdler,Career,142,3.0,1.9,0.2,40.4,18.2,76.8,40.7,11.3,1.8
Brian Bowen,Career,12,0.8,0.8,0.0,28.6,0.0,100.0,28.6,0.4,-0.1
Bruce Bowen,Career,873,6.1,2.8,1.2,40.9,39.3,57.5,49.4,8.2,42.9
Ryan Bowen,Career,507,2.6,2.1,0.5,45.6,20.6,69.3,46.2,10.5,12.4
Tommie Bowens,Career,211,5.4,4.8,0.6,40.9,20.0,66.1,40.9,9.3,2.8
Anthony Bowie,Career,461,6.4,2.2,1.8,47.5,31.8,82.4,48.7,11.7,12.3
Sam Bowie,Career,511,10.9,7.5,2.1,45.2,30.2,74.8,45.6,14.6,26.9
Orb Bowling,Career,11,1.9,2.6,0.1,32.1,-,25.0,32.1,1.7,-0.2
Ira Bowman,Career,17,0.9,0.3,0.5,63.6,0.0,50.0,63.6,13.4,0.2
Ky Bowman,Career,45,7.4,2.7,2.9,41.7,30.8,82.9,46.9,9.1,-0.1
Nate Bowman,Career,261,2.9,3.4,0.7,38.8,0.0,52.9,38.8,9.2,1.0
Donnie Boyce,Career,30,2.6,0.8,0.5,34.9,25.0,50.0,38.4,9.3,-0.3
Dennis Boyd,Career,5,1.2,0.4,1.4,25.0,,-,,-4.0,-0.2
