Season,average STL,average AST,average FGA,average FGM,average FG3M,average OREB,average FG3A,average DREB,average FTM,average FTA,average TO,average BLK
2000-2001,7.821698907,21.77712363,80.59882254,35.68755257,4.846089151,11.99285114,13.70773759,30.47476871,18.58915055,24.86837679,14.39949537,5.25862069
2001-2002,7.795626577,21.92220353,81.27123633,36.16947014,5.215306981,12.23465097,14.74936922,30.16610597,17.92220353,23.82253995,13.81539108,5.22371741
2002-2003,7.941126997,21.50252313,80.78595458,35.71783011,5.130361648,12.04962153,14.68124474,30.25651808,18.51471825,24.43355761,14.26955425,5.015979815
2003-2004,7.932716569,21.30277544,79.81581161,35.01009251,5.181244743,12.09125315,14.92514718,30.11269975,18.19512195,24.20689655,14.24137931,5.055508831
2004-2005,7.515853659,21.27723577,80.33577236,35.94918699,5.600406504,12.0097561,15.75121951,29.84796748,19.7,26.05487805,13.85528455,4.86300813
2005-2006,7.167479675,20.61422764,78.9898374,35.8398374,5.72601626,11.17520325,15.98089431,29.78170732,19.60284553,26.30081301,13.77073171,4.699186992
2006-2007,7.238617886,21.28658537,79.70447154,36.52845528,6.067479675,11.12195122,16.9398374,29.93252033,19.61504065,26.07682927,14.51747967,4.605284553
2007-2008,7.275203252,21.7504065,81.50447154,37.26382114,6.554471545,11.1995935,18.10731707,30.7804878,18.84105691,24.94430894,13.53211382,4.736178862
2008-2009,7.269512195,20.97764228,80.91626016,37.11788618,6.647154472,11.03943089,18.12317073,30.25569106,19.06788618,24.73943089,13.43292683,4.803658537
2009-2010,7.219105691,21.24308943,81.70284553,37.69512195,6.431707317,10.95731707,18.13902439,30.76626016,18.62520325,24.54349593,13.55934959,4.856504065
2010-2011,7.326422764,21.49878049,81.21544715,37.24552846,6.457723577,10.91219512,18.01341463,30.47642276,18.60162602,24.36463415,13.5898374,4.864227642
2011-2012,7.676767677,20.97626263,81.42676768,36.47373737,6.410606061,11.36969697,18.38131313,30.80858586,16.90151515,22.46060606,13.94949495,5.093939394
2012-2013,7.795934959,22.1199187,81.95487805,37.10650407,7.155691057,11.16097561,19.94593496,30.94268293,16.68943089,22.16788618,13.94065041,5.130894309
2013-2014,7.680894309,22.00447154,82.99674797,37.71504065,7.745528455,10.91300813,21.53414634,31.83536585,17.83333333,23.58902439,14.05121951,4.71300813
2014-2015,7.736178862,22.03333333,83.56504065,37.51504065,7.845528455,10.88658537,22.41341463,32.40772358,17.13861789,22.84471545,13.70934959,4.795528455
2015-2016,7.846747967,22.28902439,84.57276423,38.23780488,8.517479675,10.41626016,24.08170732,33.34186992,17.67845528,23.36138211,13.79512195,4.956504065
2016-2017,7.703252033,22.62601626,85.41219512,39.04918699,9.653658537,10.13658537,27.0004065,33.37764228,17.83861789,23.11178862,13.37276423,4.743495935
2017-2018,7.716666667,23.23699187,86.0597561,39.60772358,10.49065041,9.711382114,28.9995935,33.80447154,16.62723577,21.67682927,13.67398374,4.81504065
2018-2019,7.633739837,24.58658537,89.21056911,41.08211382,11.36382114,10.34715447,32.00894309,34.81829268,17.6804878,23.07235772,13.53373984,4.953252033
2019-2020,7.648725212,24.38574127,88.8177526,40.86402266,12.21057602,10.07554297,34.11331445,34.75779037,17.85930123,23.10812087,13.91406988,4.899905571
2020-2021,7.572222222,24.80416667,88.41805556,41.21296296,12.69768519,9.82962963,34.63981481,34.46944444,16.96759259,21.82175926,13.22592593,4.872222222
2021-2022,7.630894309,24.64878049,88.09837398,40.62195122,12.43821138,10.33414634,35.17682927,34.11585366,16.93373984,21.86219512,13.05569106,4.71300813
2022-2023,7.289837398,25.31666667,88.3004065,41.97560976,12.34105691,10.43455285,34.21341463,33.00365854,18.39349593,23.52886179,13.43089431,4.653658537
