Player,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
Precious Achiuwa,2022-23,55,9.2,6.0,0.9,48.5,26.9,70.2,52.1,15.2,2.2
Steven Adams,2022-23,42,8.6,11.5,2.3,59.7,0.0,36.4,59.7,17.5,3.4
Bam Adebayo,2022-23,75,20.4,9.2,3.2,54.0,8.3,80.6,54.1,20.1,7.4
Ochai Agbaji,2022-23,59,7.9,2.1,1.1,42.7,35.5,81.2,53.2,9.5,1.3
Santi Aldama,2022-23,77,9.0,4.8,1.3,47.0,35.3,75.0,56.0,13.9,4.6
Nickeil Alexander-Walker,2022-23,59,6.2,1.7,1.8,44.4,38.4,66.7,54.7,11.6,1.1
Grayson Allen,2022-23,72,10.4,3.3,2.3,44.0,39.9,90.5,57.1,12.3,5.1
Jarrett Allen,2022-23,68,14.3,9.8,1.7,64.4,10.0,73.3,64.5,19.9,9.5
Jose Alvarado,2022-23,61,9.0,2.3,3.0,41.1,33.6,81.3,49.6,11.8,1.8
Kyle Anderson,2022-23,69,9.4,5.3,4.9,50.9,41.0,73.5,55.3,14.8,5.1
Giannis Antetokounmpo,2022-23,63,31.1,11.8,5.7,55.3,27.5,64.5,57.2,29.0,8.6
Thanasis Antetokounmpo,2022-23,37,1.4,1.2,0.4,43.5,0.0,50.0,43.5,6.7,0.1
Cole Anthony,2022-23,60,13.0,4.8,3.9,45.4,36.4,89.4,51.6,16.0,3.7
OG Anunoby,2022-23,67,16.8,5.0,2.0,47.6,38.7,83.8,55.6,14.6,4.7
Ryan Arcidiacono,2022-23,20,1.3,0.8,1.2,24.3,34.8,-,35.1,2.7,-0.2
Deni Avdija,2022-23,76,9.2,6.4,2.8,43.7,29.7,73.9,49.7,11.2,2.3
Deandre Ayton,2022-23,67,18.0,10.0,1.7,58.9,29.2,76.0,59.2,19.9,6.2
Udoka Azubuike,2022-23,36,3.5,3.3,0.3,81.9,-,35.0,81.9,16.1,1.0
Marvin Bagley III,2022-23,42,12.0,6.4,0.9,52.9,28.8,75.0,55.4,17.2,2.0
Patrick Baldwin Jr.,2022-23,31,3.9,1.3,0.4,39.4,38.1,66.7,54.1,11.3,0.1
LaMelo Ball,2022-23,36,23.3,6.4,8.4,41.1,37.6,83.6,51.0,17.9,1.8
Mo Bamba,2022-23,49,6.6,4.6,0.9,48.5,38.7,66.1,58.5,15.7,2.2
Paolo Banchero,2022-23,72,20.0,6.9,3.7,42.7,29.8,73.8,46.5,14.9,2.4
Desmond Bane,2022-23,58,21.5,5.0,4.4,47.9,40.8,88.3,56.8,19.1,5.8
Dalano Banton,2022-23,31,4.6,1.5,1.2,42.3,29.4,70.8,48.1,14.9,0.4
Dominick Barlow,2022-23,28,3.9,3.6,0.9,53.5,0.0,72.0,53.5,12.4,0.7
Harrison Barnes,2022-23,82,15.0,4.5,1.6,47.3,37.4,84.7,55.6,14.1,6.5
Scottie Barnes,2022-23,77,15.3,6.6,4.8,45.6,28.1,77.2,48.7,15.5,5.0
RJ Barrett,2022-23,73,19.6,5.0,2.8,43.4,31.0,74.0,48.5,12.9,2.2
Will Barton,2022-23,56,6.8,2.4,2.0,37.9,36.7,78.7,47.0,10.0,0.4
Charles Bassey,2022-23,35,5.7,5.5,1.3,64.4,37.5,59.5,65.6,18.8,1.3
Keita Bates-Diop,2022-23,67,9.7,3.7,1.5,50.8,39.4,79.3,56.8,14.9,2.7
Nicolas Batum,2022-23,78,6.1,3.8,1.6,42.0,39.1,70.8,58.3,11.0,3.6
Darius Bazley,2022-23,43,5.2,3.2,0.9,45.4,37.7,54.3,50.8,13.1,1.0
Bradley Beal,2022-23,50,23.2,3.9,5.4,50.6,36.5,84.2,55.1,19.7,3.4
