Player,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
Alaa Abdelnaby,Career,256,5.7,3.3,0.3,50.2,0,70.1,50.2,13,4.8
Zaid Abdul-Aziz,Career,505,9,8,1.2,42.8,,72.8,,15.1,17.5
Kareem Abdul-Jabbar,Career,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4
Mahmoud Abdul-Rauf,Career,586,14.6,1.9,3.5,44.2,35.4,90.5,47.2,15.4,25.2
Tariq Abdul-Wahad,Career,236,7.8,3.3,1.1,41.7,23.7,70.3,42.2,11.4,3.5
Shareef Abdur-Rahim,Career,830,18.1,7.5,2.5,47.2,29.7,81,47.9,19,71.2
Tom Abernethy,Career,319,5.6,3.2,1.2,49.2,0,74.7,49.2,12.9,13.4
Forest Able,Career,1,0,1,1,0,,-,,-41.5,0
John Abramovic,Career,56,9.5,-,0.7,23.7,,68.6,,-,-1.9
¨¢lex Abrines,Career,174,5.3,1.4,0.5,38.7,36.8,88,52.5,8.8,5
Alex Acker,Career,30,2.7,1,0.5,37,32,50,41.3,8.5,-0.2
Don Ackerman,Career,28,1.5,0.5,0.8,22.2,,53.6,,1,-0.6
Mark Acres,Career,375,3.6,4.1,0.5,50.6,53.8,66.5,50.9,9,9.3
Bud Acton,Career,23,3.3,2,0.5,39.2,,65.5,,9.5,0.1
Quincy Acy,Career,337,4.9,3.5,0.6,44.4,35,75.9,51.3,11.2,8.7
Alvan Adams,Career,988,14.1,7,4.1,49.8,13.3,78.8,49.8,18.3,73.5
Don Adams,Career,523,8.8,5.6,1.9,40.2,0,74.1,40.2,10.7,11.7
George Adams,Career,215,7.7,4.1,1.5,49.7,23.5,79.4,49.9,14,6.6
Hassan Adams,Career,73,2.5,1.2,0.2,53.4,0,64.3,53.4,11.8,0.8
Jaylen Adams,Career,41,2.7,1.5,1.6,33.1,32.9,77.8,43.6,7,0
Jordan Adams,Career,32,3.2,0.9,0.6,40.2,38.5,60.7,45.7,13.1,0.4
Michael Adams,Career,653,14.7,2.9,6.4,41.5,33.2,84.9,47.5,16.6,46.9
Rafael Addison,Career,379,5.8,2.1,0.9,44.9,28.2,77.2,46.6,10.5,4.9
Deng Adel,Career,19,1.7,1,0.3,30.6,26.1,100,38.9,2.7,-0.2
Rick Adelman,Career,462,7.7,2.4,3.5,41.5,,71.3,,11.3,10
Jeff Adrien,Career,153,4.6,4.3,0.7,47.4,0,62.8,47.4,15,4.4
Arron Afflalo,Career,762,10.8,2.9,1.8,45,38.6,82.5,51.4,11.9,33.5
Maurice Ager,Career,82,2.1,0.6,0.2,33.9,25,56.6,36.8,2.8,-0.9
Mark Aguirre,Career,923,20,5,3.1,48.4,31.2,74.1,49.8,19,67.8
Blake Ahearn,Career,19,4.6,1.2,1.2,27.3,29.8,97,36.4,7.2,-0.2
Danny Ainge,Career,1042,11.5,2.7,4,46.9,37.8,84.6,51.9,14.7,71.5
Matt Aitch,Career,45,5.6,3.6,0.4,40.5,0,67.5,40.5,11.9,0.5
Alexis Ajin?a,Career,293,5.3,3.9,0.5,50.3,28.6,79.7,50.7,14.9,7.5
Henry Akin,Career,88,3.5,2.1,0.5,35,0,67.6,35,7.4,-1.2
Josh Akognon,Career,3,1.7,0.3,0.3,50,50,-,62.5,15.3,0
DeVaughn Akoon-Purcell,Career,7,1,0.6,0.9,30,0,50,30,8.2,0
Solomon Alabi,Career,26,1.5,2.3,0.2,31.4,-,70,31.4,10.3,0
Mark Alarie,Career,325,7.5,3.4,1.1,47.5,25.2,77.5,48.3,13,8.4
Gary Alcorn,Career,78,3.3,4.2,0.3,29.3,,59.8,,6.5,-1.3
Furkan Aldemir,Career,41,2.3,4.3,0.7,51.3,0,48.1,51.3,12,1.4
Cole Aldrich,Career,339,3.1,3.3,0.5,52.7,-,73.8,52.7,16.6,9.6
LaMarcus Aldridge,Career,1076,19.1,8.1,1.9,49.3,32,81.3,49.9,20.7,115.7
Chuck Aleksinas,Career,74,5.1,3.6,0.5,47.8,0,73.3,47.8,9.1,0.4
Cliff Alexander,Career,8,1.3,0.8,0,50,-,-,50,11.6,0
Cory Alexander,Career,307,5.5,1.6,2.7,38.9,35.4,75.6,46.8,12.4,3
Courtney Alexander,Career,187,9,2.2,1.2,42.2,33.9,81.3,43.5,11.5,4.1
Gary Alexander,Career,11,1.7,1.4,0.2,57.1,-,33.3,57.1,8.6,0
Joe Alexander,Career,67,4.2,1.8,0.7,41,34,69.8,44.2,9.9,0.5
Kyle Alexander,Career,2,1,1.5,0,50,-,-,50,4.7,0
Ty-Shon Alexander,Career,15,0.6,0.7,0.4,25,22.2,50,33.3,4.2,0
Victor Alexander,Career,286,8.9,4.8,0.9,51.8,28.6,63.4,52.2,13.7,8.8
Steve Alford,Career,169,4.4,0.9,1,45.9,32.4,87,48.7,14.4,3.2
Rawle Alkins,Career,10,3.7,2.6,1.3,33.3,25,66.7,37.2,8.1,-0.1
Bill Allen,Career,38,7.9,7.1,0.6,42.9,100,58.6,43.2,11.9,0.6
Bob Allen,Career,27,1.8,2.1,0.4,32.6,,55.6,,6.8,0.1
Jerome Allen,Career,117,2.9,1.1,1.7,35,31.7,63,41.1,8.5,0.2
Kadeem Allen,Career,47,5.5,1.5,2.3,43.5,34.9,75.7,48.8,13.5,1
Lavoy Allen,Career,388,4.8,4.8,1,47.1,13.3,68.2,47.2,12.5,13.8
Lucius Allen,Career,702,13.4,3.1,4.5,46.3,,76,,15.5,42
Malik Allen,Career,478,4.9,2.8,0.5,43.9,18.8,77.8,44,9.9,6.6
Randy Allen,Career,70,3.6,2.1,0.3,44.2,0,53.3,44.2,8.3,0.2
Ray Allen,Career,1300,18.9,4.1,3.4,45.2,40,89.4,53,18.6,145.1
Tony Allen,Career,820,8.1,3.5,1.3,47.5,28.2,70.9,48.7,14.2,38.7
Willie Allen,Career,7,1.9,2,0.6,30.8,-,83.3,30.8,5.7,0
Odis Allison,Career,36,1.9,1.3,0.3,21.8,,54.1,,4.7,-0.6
Lance Allred,Career,3,1,0.3,0,25,-,50,25,-1,0
Darrell Allums,Career,22,2.7,3,1.1,34.3,0,59.1,34.3,5.3,-0.3
Morris Almond,Career,38,3.1,1.2,0.3,38.1,29.2,74.3,41.2,7,0
Derrick Alston,Career,139,5.4,3.8,0.7,48.9,14.3,48.7,49,11.7,2.6
Rafer Alston,Career,671,10.1,2.8,4.8,38.3,35.4,72.9,46.1,13.2,32.9
Peter Aluma,Career,2,1,1,0,50,-,-,50,3.1,0
John Amaechi,Career,294,6.2,2.6,0.8,40.3,7.7,67.1,40.3,8.9,0.5
Ashraf Amaya,Career,85,4.5,4.2,0.4,45.5,50,63.3,45.7,11.5,1.9
Al-Farouq Aminu,Career,711,7.5,6,1.2,42,33.2,74.6,47.8,12.2,27.6
Lou Amundson,Career,428,3.7,3.6,0.4,47.4,0,44.4,47.4,12,6.9
Bob Anderegg,Career,33,4,2.1,0.9,38.5,,54.8,,9.3,0
Chris Andersen,Career,695,5.4,5,0.5,53.2,22.1,65.4,53.5,16.7,39.7
David Andersen,Career,103,4.9,2.8,0.6,44,34.7,67.4,47.8,11.7,1.5
Alan Anderson,Career,330,7.3,2.2,1.1,40.5,34.4,81.6,48.4,10.3,7.4
Andy Anderson,Career,194,10.7,2.7,1.7,41,15.9,75.5,41.3,10.9,3.5
Antonio Anderson,Career,1,2,1,0,33.3,-,-,33.3,-1.7,0
Cliff Anderson,Career,84,3,1.3,0.9,35.4,-,58.5,35.4,10.6,0.3
Dan Anderson,Career,95,3.7,1,1.7,47.2,,84.6,,12.3,1.6
Derek Anderson,Career,615,12,3.2,3.4,40.8,34.1,85.3,46.3,15.3,43.9
Dwight Anderson,Career,5,4.2,0.4,0.6,50,-,70,50,10.6,0
Eric Anderson,Career,27,1.6,1.1,0.2,34.3,100,59.3,37.1,13.1,0.2
Greg Anderson,Career,680,7.3,6.2,0.6,49.2,8.7,55.7,49.2,13,18.7
J.J. Anderson,Career,157,4.8,2.8,0.7,46.5,0,55.8,46.5,12.1,2.7
James Anderson,Career,247,5.8,2.3,1.2,41.1,32.1,75.5,48.8,9.9,3.3
Jerome Anderson,Career,49,2.6,0.5,0.3,49,,69.4,,11.4,0.4
Justin Anderson,Career,242,5.3,2.6,0.8,41,29.2,77.5,48.2,12.4,4.9
Kenny Anderson,Career,858,12.6,3.1,6.1,42.1,34.6,79,44.9,16.4,62.5
Kim Anderson,Career,21,3,2.1,0.7,31.2,,53.6,,3,-0.4
